date,Open,High,Low,Close,Volume
"March 19, 2020",6.40,6.91,6.15,6.48,98.49M
"March 18, 2020",6.51,6.80,5.90,6.60,138.93M
"March 17, 2020",6.91,7.33,6.30,7.08,120.23M
"March 16, 2020",6.99,7.15,6.65,6.66,115.91M
"March 13, 2020",7.80,8.04,7.19,7.85,110.14M
"March 12, 2020",7.23,7.78,6.83,7.23,157.42M
"March 11, 2020",8.62,8.66,8.16,8.21,103.54M
"March 10, 2020",8.78,8.85,8.16,8.85,98.94M
"March 9, 2020",8.33,8.665,8.11,8.21,122.40M
"March 6, 2020",9.74,9.76,9.18,9.40,148.46M
"March 5, 2020",10.60,10.73,9.95,10.08,108.09M
"March 4, 2020",11.06,11.12,10.70,10.95,83.06M
"March 3, 2020",11.25,11.38,10.67,10.88,109.25M
"March 2, 2020",11.21,11.34,10.76,11.21,124.80M
"Feb. 28, 2020",9.95,11.18,9.86,10.88,151.37M
"Feb. 27, 2020",10.62,10.94,10.31,10.39,94.25M
"Feb. 26, 2020",11.37,11.54,10.80,10.95,93.17M
"Feb. 25, 2020",11.97,12.00,11.18,11.32,81.09M
"Feb. 24, 2020",11.69,12.06,11.60,11.86,70.98M
"Feb. 21, 2020",12.45,12.46,12.22,12.25,42.92M
"Feb. 20, 2020",12.65,12.68,12.41,12.53,39.56M
"Feb. 19, 2020",12.70,12.94,12.58,12.61,54.88M
"Feb. 18, 2020",12.71,12.95,12.67,12.75,44.02M
"Feb. 14, 2020",12.97,13.06,12.75,12.83,36.97M
"Feb. 13, 2020",13.08,13.16,12.90,12.94,51.01M
"Feb. 12, 2020",12.95,13.26,12.88,13.16,65.71M
"Feb. 11, 2020",12.95,12.98,12.78,12.85,40.88M
"Feb. 10, 2020",12.84,12.97,12.77,12.91,33.50M
"Feb. 7, 2020",13.02,13.09,12.81,12.83,66.64M
"Feb. 6, 2020",12.94,13.00,12.83,12.95,63.61M
"Feb. 5, 2020",12.76,12.86,12.57,12.86,50.07M
"Feb. 4, 2020",12.49,12.62,12.39,12.58,44.39M
"Feb. 3, 2020",12.46,12.68,12.25,12.26,50.40M
"Jan. 31, 2020",12.68,12.74,12.34,12.45,77.98M
"Jan. 30, 2020",12.89,12.99,12.50,12.73,95.47M
"Jan. 29, 2020",12.57,13.00,12.49,12.94,220.82M
"Jan. 28, 2020",11.52,11.82,11.47,11.73,62.93M
"Jan. 27, 2020",11.45,11.59,11.38,11.44,47.86M
"Jan. 24, 2020",11.88,11.89,11.62,11.71,59.38M
"Jan. 23, 2020",11.73,11.85,11.60,11.77,73.16M
"Jan. 22, 2020",11.71,11.71,11.35,11.37,61.95M
"Jan. 21, 2020",11.74,11.80,11.61,11.66,43.74M
"Jan. 17, 2020",11.85,11.93,11.76,11.81,46.58M
"Jan. 16, 2020",11.94,11.98,11.82,11.84,36.67M
"Jan. 15, 2020",12.02,12.02,11.83,11.87,46.05M
"Jan. 14, 2020",12.16,12.19,11.99,12.03,45.07M
"Jan. 13, 2020",11.74,12.15,11.68,12.12,66.21M
"Jan. 10, 2020",11.84,11.91,11.59,11.67,58.67M
"Jan. 9, 2020",12.07,12.09,11.83,11.91,39.39M
"Jan. 8, 2020",11.99,12.05,11.87,11.94,55.47M
"Jan. 7, 2020",12.15,12.24,11.92,12.05,69.79M
"Jan. 6, 2020",11.84,12.21,11.84,12.14,111.97M
"Jan. 3, 2020",11.57,12.00,11.53,11.97,85.92M
"Jan. 2, 2020",11.23,11.96,11.23,11.93,87.53M
"Dec. 31, 2019",11.00,11.16,10.96,11.16,56.67M
"Dec. 30, 2019",11.07,11.16,11.03,11.08,48.15M
"Dec. 27, 2019",11.17,11.21,11.13,11.18,30.01M
"Dec. 26, 2019",11.18,11.23,11.13,11.23,30.38M
"Dec. 24, 2019",11.10,11.20,11.09,11.19,20.77M
"Dec. 23, 2019",11.00,11.17,11.00,11.16,44.04M
"Dec. 20, 2019",11.08,11.14,10.90,11.03,73.65M
"Dec. 19, 2019",10.98,11.15,10.97,11.04,45.31M
"Dec. 18, 2019",11.02,11.14,10.92,10.96,75.46M
"Dec. 17, 2019",11.15,11.23,11.08,11.10,41.78M
"Dec. 16, 2019",11.28,11.36,11.13,11.17,55.55M
"Dec. 13, 2019",11.50,11.60,11.33,11.34,52.81M
"Dec. 12, 2019",11.35,11.57,11.24,11.44,99.93M
"Dec. 11, 2019",10.97,11.09,10.95,10.97,36.85M
"Dec. 10, 2019",10.99,11.03,10.92,11.01,24.78M
"Dec. 9, 2019",10.98,11.13,10.97,10.99,28.49M
"Dec. 6, 2019",10.90,11.11,10.85,11.10,50.61M
"Dec. 5, 2019",10.89,10.96,10.76,10.79,47.29M
"Dec. 4, 2019",11.17,11.18,10.87,10.90,43.79M
"Dec. 3, 2019",11.00,11.11,10.81,10.99,66.01M
"Dec. 2, 2019",11.31,11.52,11.14,11.16,68.77M
"Nov. 29, 2019",11.28,11.36,11.22,11.27,22.74M
"Nov. 27, 2019",11.39,11.47,11.26,11.29,45.51M
"Nov. 26, 2019",11.62,11.67,11.31,11.35,64.23M
"Nov. 25, 2019",11.66,11.84,11.57,11.58,56.72M
"Nov. 22, 2019",11.49,11.72,11.49,11.55,38.48M
"Nov. 21, 2019",11.33,11.62,11.31,11.53,41.69M
"Nov. 20, 2019",11.44,11.49,11.26,11.39,46.70M
"Nov. 19, 2019",11.43,11.54,11.26,11.50,46.84M
"Nov. 18, 2019",11.41,11.50,11.33,11.44,50.99M
"Nov. 15, 2019",11.34,11.55,11.33,11.52,38.25M
"Nov. 14, 2019",11.18,11.35,11.18,11.29,30.84M
"Nov. 13, 2019",11.29,11.36,11.18,11.29,54.32M
"Nov. 12, 2019",11.32,11.58,11.29,11.42,48.94M
"Nov. 11, 2019",11.40,11.50,11.24,11.35,45.59M
"Nov. 8, 2019",11.23,11.55,11.14,11.52,62.54M
"Nov. 7, 2019",11.10,11.32,11.09,11.29,71.08M
