date,cash_dividend_payout_ratio
"Dec. 31, 2019",262.8%
"Sept. 30, 2019",112.7%
"June 30, 2019",418.0%
"March 31, 2019",326.1%
"Dec. 31, 2018",-1.44K%
"Sept. 30, 2018",-120.9%
"June 30, 2018",-118.6%
"March 31, 2018",-217.6%
"Dec. 31, 2017",-1.13K%
"Sept. 30, 2017",-1.40K%
"June 30, 2017",122.6%
"March 31, 2017",161.5%
"Dec. 31, 2016",71.63%
"Sept. 30, 2016",59.60%
"June 30, 2016",235.8%
"March 31, 2016",663.6%
"Dec. 31, 2015",-1.49K%
"Sept. 30, 2015",-395.6%
"June 30, 2015",540.2%
"March 31, 2015",617.6%
"Dec. 31, 2014",-306.2%
"Sept. 30, 2014",-129.3%
"June 30, 2014",-106.7%
"March 31, 2014",-196.0%
"Dec. 31, 2013",-330.6%
"Sept. 30, 2013",976.2%
"June 30, 2013",358.6%
"March 31, 2013",-273.5%
"Dec. 31, 2012",-102.7%
"Sept. 30, 2012",-231.3%
"June 30, 2012",-105.7%
"March 31, 2012",-672.1%
"Dec. 31, 2011",799.5%
"Sept. 30, 2011",174.1%
"June 30, 2011",77.65%
"March 31, 2011",72.03%
"Dec. 31, 2010",59.37%
"Sept. 30, 2010",219.0%
"June 30, 2010",-356.1%
"March 31, 2010",-118.0%
"Dec. 31, 2009",-436.6%
"Sept. 30, 2009",-22.18%
"June 30, 2009",-22.01%
"March 31, 2009",-18.80%
"Dec. 31, 2008",-16.28%
"Sept. 30, 2008",-63.57%
"June 30, 2008",-95.93%
"March 31, 2008",-208.9%
"Dec. 31, 2007",-8.52K%
"Sept. 30, 2007",171.2%
"June 30, 2007",353.1%
"March 31, 2007",146.2%
"Dec. 31, 2006",121.2%
"Sept. 30, 2006",219.5%
"June 30, 2006",150.9%
"March 31, 2006",594.8%
"Dec. 31, 2005",-1.24K%
"Sept. 30, 2005",-183.1%
"June 30, 2005",-130.0%
"March 31, 2005",1.07K%
"Dec. 31, 2004",294.0%
"Sept. 30, 2004",204.4%
"June 30, 2004",93.20%
"March 31, 2004",99.84%
"Dec. 31, 2003",100.1%
"Sept. 30, 2003",54.05%
"June 30, 2003",47.05%
"March 31, 2003",59.10%
"Dec. 31, 2002",63.50%
"Sept. 30, 2002",78.74%
"June 30, 2002",78.30%
"March 31, 2002",52.94%
"Dec. 31, 2001",44.93%
"Sept. 30, 2001",143.4%
"June 30, 2001",147.7%
"March 31, 2001",197.9%
"Dec. 31, 2000",176.8%
"Sept. 30, 2000",58.11%
"June 30, 2000",73.24%
"March 31, 2000",65.84%
"Dec. 31, 1999",100.6%
"Sept. 30, 1999",82.18%
"June 30, 1999",64.70%
"March 31, 1999",140.6%
"Dec. 31, 1998",124.3%
"Sept. 30, 1998",200.5%
"June 30, 1998",-259.7%
"March 31, 1998",-1.04K%
"Dec. 31, 1997",-1.58K%
"Sept. 30, 1997",-301.5%
"June 30, 1997",-240.1%
"March 31, 1997",-145.6%
"Dec. 31, 1996",-117.2%
"Sept. 30, 1996",134.7%
"June 30, 1996",120.3%
"March 31, 1996",187.2%
"Dec. 31, 1995",274.4%
"Sept. 30, 1995",-101.9%
"June 30, 1995",-163.1%
"March 31, 1995",-108.6%
"Dec. 31, 1994",-67.95%
