Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/25/2020,02/26/2020,03/10/2020,02/11/2020,Normal,0.33
11/21/2019,11/22/2019,12/10/2019,11/01/2019,Normal,0.32
08/21/2019,08/22/2019,09/10/2019,08/01/2019,Normal,0.32
05/22/2019,05/23/2019,06/12/2019,05/06/2019,Normal,0.32
02/25/2019,02/26/2019,03/13/2019,02/19/2019,Normal,0.32
11/20/2018,11/21/2018,12/11/2018,11/01/2018,Normal,0.31
08/20/2018,08/21/2018,09/10/2018,08/02/2018,Normal,0.31
05/22/2018,05/23/2018,06/12/2018,05/07/2018,Normal,0.31
02/21/2018,02/22/2018,03/13/2018,02/01/2018,Normal,0.31
11/21/2017,11/22/2017,12/12/2017,11/01/2017,Normal,0.31
08/21/2017,08/23/2017,09/12/2017,08/02/2017,Normal,0.31
05/22/2017,05/24/2017,06/12/2017,05/04/2017,Normal,0.31
02/22/2017,02/24/2017,03/10/2017,02/14/2017,Normal,0.31
11/18/2016,11/22/2016,12/13/2016,11/02/2016,Normal,0.31
08/22/2016,08/24/2016,09/12/2016,08/04/2016,Normal,0.31
05/26/2016,05/31/2016,06/15/2016,05/04/2016,Normal,0.31
02/18/2016,02/22/2016,03/10/2016,02/10/2016,Normal,0.31
11/19/2015,11/23/2015,12/10/2015,11/05/2015,Normal,0.31
08/20/2015,08/24/2015,09/10/2015,08/10/2015,Normal,0.31
05/20/2015,05/22/2015,06/10/2015,05/06/2015,Normal,0.31
02/20/2015,02/24/2015,03/10/2015,02/11/2015,Normal,0.31
11/19/2014,11/21/2014,12/10/2014,11/06/2014,Normal,0.31
08/20/2014,08/22/2014,09/10/2014,08/08/2014,Normal,0.31
05/20/2014,05/22/2014,06/10/2014,05/06/2014,Normal,0.31
02/21/2014,02/25/2014,03/12/2014,02/11/2014,Normal,0.31
11/18/2013,11/20/2013,12/11/2013,11/07/2013,Normal,0.31
08/19/2013,08/21/2013,09/11/2013,08/07/2013,Normal,0.31
05/20/2013,05/22/2013,06/12/2013,05/09/2013,Normal,0.31
02/19/2013,02/21/2013,03/13/2013,02/06/2013,Normal,0.31
11/15/2012,11/19/2012,12/12/2012,11/07/2012,Normal,0.31
08/13/2012,08/15/2012,09/12/2012,08/03/2012,Normal,0.31
05/17/2012,05/21/2012,06/13/2012,05/10/2012,Normal,0.31
02/16/2012,02/21/2012,03/13/2012,02/10/2012,Normal,0.31
11/17/2011,11/21/2011,12/13/2011,11/04/2011,Normal,0.31
08/11/2011,08/15/2011,09/13/2011,08/05/2011,Normal,0.31
05/18/2011,05/20/2011,06/14/2011,05/11/2011,Normal,0.31
02/17/2011,02/22/2011,03/10/2011,02/11/2011,Normal,0.31
11/10/2010,11/15/2010,12/10/2010,11/02/2010,Normal,0.31
08/19/2010,08/23/2010,09/10/2010,08/10/2010,Normal,0.31
05/19/2010,05/21/2010,06/10/2010,05/11/2010,Normal,0.31
02/18/2010,02/22/2010,03/10/2010,02/15/2010,Normal,0.31
11/12/2009,11/16/2009,12/10/2009,11/03/2009,Normal,0.31
08/20/2009,08/24/2009,09/10/2009,08/10/2009,Normal,0.31
05/19/2009,05/21/2009,06/10/2009,05/06/2009,Normal,0.31
02/26/2009,03/02/2009,03/10/2009,02/20/2009,Normal,0.31
11/13/2008,11/17/2008,12/10/2008,11/05/2008,Normal,0.31
08/14/2008,08/18/2008,09/10/2008,08/05/2008,Normal,0.31
05/14/2008,05/16/2008,06/10/2008,05/05/2008,Normal,0.31
02/28/2008,03/03/2008,03/11/2008,02/21/2008,Normal,0.31
11/13/2007,11/15/2007,12/11/2007,11/01/2007,Normal,0.31
08/16/2007,08/20/2007,09/11/2007,08/07/2007,Normal,0.31
05/11/2007,05/15/2007,06/13/2007,05/03/2007,Normal,0.31
02/22/2007,02/26/2007,03/13/2007,02/14/2007,Normal,0.31
11/13/2006,11/15/2006,12/12/2006,10/31/2006,Normal,0.31
08/11/2006,08/15/2006,09/12/2006,08/01/2006,Normal,0.31
05/11/2006,05/15/2006,06/14/2006,05/02/2006,Normal,0.31
02/21/2006,02/23/2006,03/10/2006,01/31/2006,Normal,0.31
11/17/2005,11/21/2005,12/12/2005,11/11/2005,Normal,0.31
08/08/2005,08/10/2005,09/12/2005,07/28/2005,Normal,0.31
05/06/2005,05/10/2005,06/13/2005,04/27/2005,Normal,0.31
02/14/2005,02/16/2005,03/10/2005,01/05/2005,Normal,0.31
11/08/2004,11/10/2004,12/10/2004,10/27/2004,Normal,0.31
08/06/2004,08/10/2004,09/10/2004,07/20/2004,Normal,0.31
05/06/2004,05/10/2004,06/10/2004,04/20/2004,Normal,0.31
02/09/2004,02/11/2004,03/10/2004,12/31/2003,Normal,0.31
11/06/2003,11/10/2003,12/10/2003,10/28/2003,Normal,0.31
08/07/2003,08/11/2003,09/10/2003,07/22/2003,Normal,0.31
05/08/2003,05/12/2003,06/10/2003,04/22/2003,Normal,0.31
02/10/2003,02/12/2003,03/10/2003,01/21/2003,Normal,0.31
11/07/2002,11/12/2002,12/10/2002,10/22/2002,Normal,0.31
08/08/2002,08/12/2002,09/10/2002,07/23/2002,Normal,0.31
05/08/2002,05/10/2002,06/10/2002,04/24/2002,Normal,0.31
02/11/2002,02/13/2002,03/11/2002,01/02/2002,Normal,0.31
11/08/2001,11/13/2001,12/10/2001,10/24/2001,Normal,0.31
08/08/2001,08/10/2001,09/10/2001,07/24/2001,Normal,0.31
05/08/2001,05/10/2001,06/12/2001,04/24/2001,Normal,0.31
02/12/2001,02/14/2001,03/12/2001,01/23/2001,Normal,0.31
11/09/2000,11/13/2000,12/11/2000,10/25/2000,Normal,0.31
08/08/2000,08/10/2000,09/11/2000,07/25/2000,Normal,0.31
05/08/2000,05/10/2000,06/13/2000,04/25/2000,Normal,0.31
02/14/2000,02/16/2000,03/10/2000,01/25/2000,Normal,0.31
11/08/1999,11/10/1999,12/10/1999,10/19/1999,Normal,0.31
08/06/1999,08/10/1999,09/10/1999,07/20/1999,Normal,0.31
05/06/1999,05/04/1999,--,03/25/1999,Normal,0.31
02/12/1999,02/17/1999,03/10/1999,01/19/1999,Normal,0.31
11/06/1998,11/10/1998,12/10/1998,10/20/1998,Normal,0.31
08/06/1998,08/10/1998,09/10/1998,07/21/1998,Normal,0.31
05/07/1998,05/11/1998,06/10/1998,04/28/1998,Normal,0.31
02/13/1998,02/18/1998,03/10/1998,01/20/1998,Normal,0.31
11/06/1997,11/10/1997,12/10/1997,10/28/1997,Normal,0.305
08/07/1997,08/11/1997,09/10/1997,07/15/1997,Normal,0.305
05/08/1997,05/12/1997,06/10/1997,04/22/1997,Normal,0.305
02/10/1997,02/12/1997,03/10/1997,01/21/1997,Normal,0.305
11/08/1996,11/12/1996,12/10/1996,10/15/1996,Normal,0.305
08/08/1996,08/12/1996,09/10/1996,07/16/1996,Normal,0.30
05/08/1996,05/10/1996,06/10/1996,04/23/1996,Normal,0.30
02/12/1996,02/14/1996,03/11/1996,01/16/1996,Normal,0.30
11/09/1995,11/13/1995,12/11/1995,10/17/1995,Normal,0.30
08/08/1995,08/10/1995,09/11/1995,07/19/1995,Normal,0.295
05/04/1995,05/10/1995,06/13/1995,04/26/1995,Normal,0.295
02/09/1995,02/15/1995,03/10/1995,01/17/1995,Normal,0.295
11/04/1994,11/10/1994,12/12/1994,10/18/1994,Normal,0.295
08/04/1994,08/10/1994,09/12/1994,07/19/1994,Normal,0.29
05/04/1994,05/10/1994,06/13/1994,04/19/1994,Normal,0.29
02/04/1994,02/10/1994,03/10/1994,01/18/1994,Normal,0.29
11/04/1993,11/10/1993,12/10/1993,10/20/1993,Normal,0.29
08/04/1993,08/10/1993,09/10/1993,07/20/1993,Normal,0.285
05/04/1993,05/10/1993,06/10/1993,04/20/1993,Normal,0.285
02/04/1993,02/10/1993,03/10/1993,01/20/1993,Normal,0.285
11/04/1992,11/10/1992,12/10/1992,10/20/1992,Normal,0.285
08/04/1992,08/10/1992,09/10/1992,07/21/1992,Normal,0.28
05/05/1992,05/11/1992,06/10/1992,04/22/1992,Normal,0.28
02/06/1992,02/12/1992,03/10/1992,01/22/1992,Normal,0.28
11/05/1991,11/12/1991,12/10/1991,10/16/1991,Normal,0.28
08/06/1991,08/12/1991,09/10/1991,07/16/1991,Normal,0.275
05/06/1991,05/10/1991,06/10/1991,04/16/1991,Normal,0.275
02/05/1991,02/11/1991,03/11/1991,01/15/1991,Normal,0.275
11/06/1990,11/13/1990,12/10/1990,10/17/1990,Normal,0.275
08/06/1990,08/10/1990,09/10/1990,07/17/1990,Normal,0.27
05/04/1990,05/10/1990,06/12/1990,04/17/1990,Normal,0.27
02/06/1990,02/12/1990,03/12/1990,01/16/1990,Normal,0.27
11/07/1989,11/13/1989,12/08/1989,10/17/1989,Normal,0.27
08/07/1989,08/11/1989,09/08/1989,07/19/1989,Normal,0.255
05/08/1989,05/12/1989,06/09/1989,04/19/1989,Normal,0.255
02/06/1989,02/10/1989,03/10/1989,01/18/1989,Normal,0.255
10/31/1988,11/04/1988,12/09/1988,10/19/1988,Normal,0.255
08/01/1988,08/05/1988,09/09/1988,07/20/1988,Normal,0.24
05/02/1988,05/06/1988,06/10/1988,04/19/1988,Normal,0.24
02/01/1988,02/05/1988,03/10/1988,01/20/1988,Normal,0.24
11/04/1987,11/10/1987,12/10/1987,10/20/1987,Normal,0.24
08/04/1987,08/10/1987,09/10/1987,07/24/1987,Normal,0.225
05/04/1987,05/08/1987,06/10/1987,04/23/1987,Normal,0.225
02/02/1987,02/06/1987,03/10/1987,01/20/1987,Normal,0.225
11/04/1986,11/10/1986,12/10/1986,10/21/1986,Normal,0.225
08/04/1986,08/08/1986,09/10/1986,07/15/1986,Normal,0.215
05/05/1986,05/09/1986,06/10/1986,04/15/1986,Normal,0.215
02/03/1986,02/07/1986,03/10/1986,01/23/1986,Normal,0.215
11/05/1985,11/12/1985,12/10/1985,10/16/1985,Normal,0.215
08/05/1985,08/09/1985,09/10/1985,07/17/1985,Normal,0.205
05/06/1985,05/10/1985,06/10/1985,04/17/1985,Normal,0.205
02/05/1985,02/11/1985,03/11/1985,01/15/1985,Normal,0.205
