date,enterprise_value
"March 19, 2020",6.122B
"March 18, 2020",6.646B
"March 17, 2020",6.209B
"March 16, 2020",5.618B
"March 13, 2020",5.597B
"March 12, 2020",5.184B
"March 11, 2020",5.412B
"March 10, 2020",5.548B
"March 9, 2020",5.550B
"March 6, 2020",5.929B
"March 5, 2020",5.881B
"March 4, 2020",5.945B
"March 3, 2020",5.732B
"March 2, 2020",5.749B
"Feb. 28, 2020",5.504B
"Feb. 27, 2020",5.724B
"Feb. 26, 2020",5.961B
"Feb. 25, 2020",6.074B
"Feb. 24, 2020",6.210B
"Feb. 21, 2020",6.257B
"Feb. 20, 2020",6.264B
"Feb. 19, 2020",6.246B
"Feb. 18, 2020",6.317B
"Feb. 14, 2020",6.328B
"Feb. 13, 2020",6.256B
"Feb. 12, 2020",6.126B
"Feb. 11, 2020",6.082B
"Feb. 10, 2020",6.103B
"Feb. 7, 2020",6.082B
"Feb. 6, 2020",6.088B
"Feb. 5, 2020",6.107B
"Feb. 4, 2020",6.108B
"Feb. 3, 2020",6.162B
"Jan. 31, 2020",6.165B
"Jan. 30, 2020",6.212B
"Jan. 29, 2020",6.158B
"Jan. 28, 2020",6.141B
"Jan. 27, 2020",6.095B
"Jan. 24, 2020",6.115B
"Jan. 23, 2020",6.097B
"Jan. 22, 2020",6.050B
"Jan. 21, 2020",6.031B
"Jan. 17, 2020",6.010B
"Jan. 16, 2020",5.986B
"Jan. 15, 2020",5.955B
"Jan. 14, 2020",5.884B
"Jan. 13, 2020",5.861B
"Jan. 10, 2020",5.793B
"Jan. 9, 2020",5.787B
"Jan. 8, 2020",5.811B
"Jan. 7, 2020",5.800B
"Jan. 6, 2020",5.830B
"Jan. 3, 2020",5.843B
"Jan. 2, 2020",5.850B
"Dec. 31, 2019",5.942B
"Dec. 30, 2019",5.891B
"Dec. 27, 2019",5.876B
"Dec. 26, 2019",5.879B
"Dec. 24, 2019",5.869B
"Dec. 23, 2019",5.880B
"Dec. 20, 2019",5.958B
"Dec. 19, 2019",5.880B
"Dec. 18, 2019",5.861B
"Dec. 17, 2019",5.812B
"Dec. 16, 2019",5.786B
"Dec. 13, 2019",5.728B
"Dec. 12, 2019",5.703B
"Dec. 11, 2019",5.704B
"Dec. 10, 2019",5.647B
"Dec. 9, 2019",5.631B
"Dec. 6, 2019",5.628B
"Dec. 5, 2019",5.621B
"Dec. 4, 2019",5.591B
"Dec. 3, 2019",5.533B
"Dec. 2, 2019",5.514B
"Nov. 29, 2019",5.550B
"Nov. 27, 2019",5.578B
"Nov. 26, 2019",5.566B
"Nov. 25, 2019",5.529B
"Nov. 22, 2019",5.557B
"Nov. 21, 2019",5.558B
"Nov. 20, 2019",5.618B
"Nov. 19, 2019",5.559B
"Nov. 18, 2019",5.563B
"Nov. 15, 2019",5.544B
"Nov. 14, 2019",5.569B
"Nov. 13, 2019",5.556B
"Nov. 12, 2019",5.492B
"Nov. 11, 2019",5.474B
"Nov. 8, 2019",5.522B
"Nov. 7, 2019",5.527B
"Nov. 6, 2019",5.604B
"Nov. 5, 2019",5.569B
"Nov. 4, 2019",5.611B
"Nov. 1, 2019",5.710B
"Oct. 31, 2019",5.711B
"Oct. 30, 2019",5.708B
"Oct. 29, 2019",5.667B
