date,forward_pe_ratio_1y
"March 19, 2020",23.16
"March 18, 2020",25.45
"March 17, 2020",23.54
"March 16, 2020",20.95
"March 13, 2020",20.85
"March 12, 2020",19.05
"March 11, 2020",20.05
"March 10, 2020",20.63
"March 9, 2020",20.64
"March 6, 2020",22.30
"March 5, 2020",22.09
"March 4, 2020",22.37
"March 3, 2020",21.44
"March 2, 2020",21.51
"Feb. 28, 2020",20.44
"Feb. 27, 2020",21.40
"Feb. 26, 2020",22.44
"Feb. 25, 2020",22.94
"Feb. 24, 2020",23.53
"Feb. 21, 2020",23.74
"Feb. 20, 2020",23.77
"Feb. 19, 2020",23.69
"Feb. 18, 2020",24.00
"Feb. 14, 2020",24.05
"Feb. 13, 2020",23.73
"Feb. 12, 2020",23.16
"Feb. 11, 2020",22.97
"Feb. 10, 2020",23.06
"Feb. 7, 2020",22.97
"Feb. 6, 2020",23.00
"Feb. 5, 2020",23.08
"Feb. 4, 2020",23.08
"Feb. 3, 2020",23.32
"Jan. 31, 2020",23.34
"Jan. 30, 2020",23.54
"Jan. 29, 2020",23.30
"Jan. 28, 2020",23.23
"Jan. 27, 2020",23.03
"Jan. 24, 2020",23.12
"Jan. 23, 2020",23.04
"Jan. 22, 2020",22.83
"Jan. 21, 2020",22.75
"Jan. 17, 2020",22.65
"Jan. 16, 2020",22.55
"Jan. 15, 2020",22.42
"Jan. 14, 2020",22.10
"Jan. 13, 2020",22.00
"Jan. 10, 2020",21.70
"Jan. 9, 2020",21.68
"Jan. 8, 2020",21.79
"Jan. 7, 2020",21.74
"Jan. 6, 2020",21.87
"Jan. 3, 2020",21.92
"Jan. 2, 2020",21.96
"Dec. 31, 2019",22.36
"Dec. 30, 2019",23.51
"Dec. 27, 2019",23.44
"Dec. 26, 2019",23.45
"Dec. 24, 2019",23.41
"Dec. 23, 2019",23.46
"Dec. 20, 2019",23.82
"Dec. 19, 2019",23.46
"Dec. 18, 2019",23.37
"Dec. 17, 2019",23.14
"Dec. 16, 2019",23.02
"Dec. 13, 2019",22.76
"Dec. 12, 2019",22.64
"Dec. 11, 2019",22.65
"Dec. 10, 2019",22.38
"Dec. 9, 2019",22.31
"Dec. 6, 2019",22.30
"Dec. 5, 2019",22.27
"Dec. 4, 2019",22.12
"Dec. 3, 2019",21.86
"Dec. 2, 2019",21.77
"Nov. 29, 2019",21.93
"Nov. 27, 2019",22.06
"Nov. 26, 2019",22.01
"Nov. 25, 2019",21.84
"Nov. 22, 2019",21.97
"Nov. 21, 2019",21.97
"Nov. 20, 2019",22.25
"Nov. 19, 2019",21.98
"Nov. 18, 2019",21.99
"Nov. 15, 2019",21.91
"Nov. 14, 2019",22.02
"Nov. 13, 2019",21.96
"Nov. 12, 2019",21.67
"Nov. 11, 2019",21.59
"Nov. 8, 2019",21.81
"Nov. 7, 2019",21.83
"Nov. 6, 2019",22.18
"Nov. 5, 2019",22.02
"Nov. 4, 2019",22.22
"Nov. 1, 2019",22.67
"Oct. 31, 2019",22.68
"Oct. 30, 2019",22.66
"Oct. 29, 2019",22.48
"Oct. 28, 2019",22.42
"Oct. 25, 2019",22.76
"Oct. 24, 2019",22.91
"Oct. 23, 2019",22.89
"Oct. 22, 2019",22.81
"Oct. 21, 2019",22.82
"Oct. 18, 2019",22.73
"Oct. 17, 2019",22.57
"Oct. 16, 2019",22.36
"Oct. 15, 2019",22.26
"Oct. 14, 2019",22.38
