date,historical_monthly_var_1_all
"Feb. 29, 2020",12.89%
"Jan. 31, 2020",12.89%
"Dec. 31, 2019",12.89%
"Nov. 30, 2019",12.89%
"Oct. 31, 2019",12.90%
"Sept. 30, 2019",12.91%
"Aug. 31, 2019",12.91%
"July 31, 2019",12.92%
"June 30, 2019",12.93%
"May 31, 2019",12.95%
"April 30, 2019",12.96%
"March 31, 2019",12.98%
"Feb. 28, 2019",12.99%
"Jan. 31, 2019",12.99%
"Dec. 31, 2018",12.99%
"Nov. 30, 2018",12.99%
"Oct. 31, 2018",12.99%
"Sept. 30, 2018",12.99%
"Aug. 31, 2018",13.00%
"July 31, 2018",13.01%
"June 30, 2018",13.01%
"May 31, 2018",13.02%
"April 30, 2018",13.03%
"March 31, 2018",13.03%
"Feb. 28, 2018",13.04%
"Jan. 31, 2018",13.04%
"Dec. 31, 2017",13.05%
"Nov. 30, 2017",13.05%
"Oct. 31, 2017",13.05%
"Sept. 30, 2017",13.06%
"Aug. 31, 2017",13.06%
"July 31, 2017",13.08%
"June 30, 2017",13.09%
"May 31, 2017",13.11%
"April 30, 2017",13.13%
"March 31, 2017",13.14%
"Feb. 28, 2017",13.15%
"Jan. 31, 2017",13.16%
"Dec. 31, 2016",13.17%
"Nov. 30, 2016",13.18%
"Oct. 31, 2016",13.18%
"Sept. 30, 2016",13.18%
"Aug. 31, 2016",13.18%
"July 31, 2016",13.19%
"June 30, 2016",13.19%
"May 31, 2016",13.21%
"April 30, 2016",13.23%
"March 31, 2016",13.26%
"Feb. 29, 2016",13.28%
"Jan. 31, 2016",13.30%
"Dec. 31, 2015",13.31%
"Nov. 30, 2015",13.32%
"Oct. 31, 2015",13.32%
"Sept. 30, 2015",13.33%
"Aug. 31, 2015",13.34%
"July 31, 2015",13.36%
"June 30, 2015",13.37%
"May 31, 2015",13.38%
"April 30, 2015",13.39%
"March 31, 2015",13.41%
"Feb. 28, 2015",13.42%
"Jan. 31, 2015",13.42%
"Dec. 31, 2014",13.44%
"Nov. 30, 2014",13.45%
"Oct. 31, 2014",13.46%
"Sept. 30, 2014",13.48%
"Aug. 31, 2014",13.49%
"July 31, 2014",13.50%
"June 30, 2014",13.51%
"May 31, 2014",13.51%
"April 30, 2014",13.51%
"March 31, 2014",13.51%
"Feb. 28, 2014",13.51%
"Jan. 31, 2014",13.51%
"Dec. 31, 2013",13.51%
"Nov. 30, 2013",13.51%
"Oct. 31, 2013",13.51%
"Sept. 30, 2013",13.54%
"Aug. 31, 2013",13.56%
"July 31, 2013",13.59%
"June 30, 2013",13.62%
"May 31, 2013",13.52%
"April 30, 2013",13.55%
"March 31, 2013",13.57%
"Feb. 28, 2013",13.60%
"Jan. 31, 2013",13.62%
"Dec. 31, 2012",13.64%
"Nov. 30, 2012",13.65%
"Oct. 31, 2012",13.66%
"Sept. 30, 2012",13.68%
"Aug. 31, 2012",13.69%
"July 31, 2012",13.69%
"June 30, 2012",13.69%
"May 31, 2012",13.69%
"April 30, 2012",13.69%
"March 31, 2012",13.69%
"Feb. 29, 2012",13.70%
"Jan. 31, 2012",13.70%
"Dec. 31, 2011",13.71%
"Nov. 30, 2011",13.71%
"Oct. 31, 2011",13.72%
"Sept. 30, 2011",13.72%
"Aug. 31, 2011",13.73%
"July 31, 2011",13.71%
"June 30, 2011",13.72%
"May 31, 2011",13.72%
"April 30, 2011",13.72%
"March 31, 2011",13.73%
"Feb. 28, 2011",13.73%
"Jan. 31, 2011",13.74%
"Dec. 31, 2010",13.74%
"Nov. 30, 2010",13.75%
"Oct. 31, 2010",13.76%
"Sept. 30, 2010",13.76%
"Aug. 31, 2010",13.77%
"July 31, 2010",13.78%
"June 30, 2010",13.79%
"May 31, 2010",13.81%
"April 30, 2010",13.82%
"March 31, 2010",13.82%
"Feb. 28, 2010",13.83%
"Jan. 31, 2010",13.83%
"Dec. 31, 2009",13.84%
"Nov. 30, 2009",13.86%
"Oct. 31, 2009",13.88%
"Sept. 30, 2009",13.90%
"Aug. 31, 2009",13.92%
"July 31, 2009",13.94%
"June 30, 2009",13.94%
"May 31, 2009",13.94%
"April 30, 2009",13.94%
"March 31, 2009",13.95%
"Feb. 28, 2009",13.34%
"Jan. 31, 2009",13.03%
"Dec. 31, 2008",12.96%
"Nov. 30, 2008",12.49%
"Oct. 31, 2008",12.50%
