date,net_income_ttm
"Dec. 31, 2019",219.77M
"Sept. 30, 2019",203.08M
"June 30, 2019",205.56M
"March 31, 2019",209.10M
"Dec. 31, 2018",203.66M
"Sept. 30, 2018",186.46M
"June 30, 2018",180.63M
"March 31, 2018",173.24M
"Dec. 31, 2017",167.19M
"Sept. 30, 2017",179.45M
"June 30, 2017",246.52M
"March 31, 2017",251.99M
"Dec. 31, 2016",250.15M
"Sept. 30, 2016",247.83M
"June 30, 2016",171.36M
"March 31, 2016",162.25M
"Dec. 31, 2015",161.77M
"Sept. 30, 2015",152.70M
"June 30, 2015",149.84M
"March 31, 2015",156.10M
"Dec. 31, 2014",170.02M
"Sept. 30, 2014",175.97M
"June 30, 2014",176.40M
"March 31, 2014",175.71M
"Dec. 31, 2013",163.60M
"Sept. 30, 2013",138.23M
"June 30, 2013",137.70M
"March 31, 2013",135.91M
"Dec. 31, 2012",140.55M
"Sept. 30, 2012",160.94M
"June 30, 2012",161.64M
"March 31, 2012",149.97M
"Dec. 31, 2011",140.12M
"Sept. 30, 2011",130.59M
"June 30, 2011",114.64M
"March 31, 2011",116.76M
"Dec. 31, 2010",115.42M
"Sept. 30, 2010",104.38M
"June 30, 2010",105.42M
"March 31, 2010",91.63M
"Dec. 31, 2009",84.90M
"Sept. 30, 2009",83.25M
"June 30, 2009",87.05M
"March 31, 2009",76.71M
"Dec. 31, 2008",90.28M
"Sept. 30, 2008",118.39M
"June 30, 2008",100.52M
"March 31, 2008",112.46M
"Dec. 31, 2007",84.78M
"Sept. 30, 2007",60.31M
"June 30, 2007",72.75M
"March 31, 2007",82.43M
"Dec. 31, 2006",108.00M
"Sept. 30, 2006",129.41M
"June 30, 2006",134.58M
"March 31, 2006",134.93M
"Dec. 31, 2005",126.69M
"Sept. 30, 2005",113.98M
"June 30, 2005",119.16M
"March 31, 2005",102.82M
"Dec. 31, 2004",109.65M
"Sept. 30, 2004",122.28M
"June 30, 2004",110.13M
"March 31, 2004",120.78M
"Dec. 31, 2003",114.18M
"Sept. 30, 2003",103.11M
"June 30, 2003",106.10M
"March 31, 2003",115.67M
"Dec. 31, 2002",118.26M
"Sept. 30, 2002",115.13M
"June 30, 2002",88.75M
"March 31, 2002",82.88M
"Dec. 31, 2001",83.70M
"Sept. 30, 2001",78.71M
"June 30, 2001",93.63M
"March 31, 2001",87.14M
"Dec. 31, 2000",88.37M
"Sept. 30, 2000",81.42M
"June 30, 2000",80.97M
"March 31, 2000",84.68M
"Dec. 31, 1999",76.50M
"Sept. 30, 1999",86.30M
"June 30, 1999",83.80M
"March 31, 1999",83.40M
"Dec. 31, 1998",84.80M
"Sept. 30, 1998",86.50M
"June 30, 1998",91.50M
"March 31, 1998",88.90M
"Dec. 31, 1997",86.40M
"Sept. 30, 1997",84.70M
"June 30, 1997",78.00M
"March 31, 1997",79.60M
"Dec. 31, 1996",78.80M
"Sept. 30, 1996",73.30M
"June 30, 1996",81.10M
"March 31, 1996",78.60M
"Dec. 31, 1995",77.50M
"Sept. 30, 1995",82.80M
"June 30, 1995",80.30M
"March 31, 1995",79.00M
"Dec. 31, 1994",73.00M
"Sept. 30, 1994",54.60M
"June 30, 1994",48.00M
"March 31, 1994",49.40M
"Dec. 31, 1993",48.70M
"Sept. 30, 1993",41.80M
"June 30, 1993",-11.30M
"March 31, 1993",-14.60M
"Dec. 31, 1992",-11.70M
"Sept. 30, 1992",6.70M
"June 30, 1992",58.70M
"March 31, 1992",56.10M
"Dec. 31, 1991",54.80M
"Sept. 30, 1991",42.70M
"June 30, 1991",44.30M
"March 31, 1991",45.00M
"Dec. 31, 1990",43.60M
"Sept. 30, 1990",54.80M
"June 30, 1990",56.80M
"March 31, 1990",58.00M
"Dec. 31, 1989",64.00M
"Sept. 30, 1989",63.40M
"June 30, 1989",60.70M
"March 31, 1989",59.30M
"Dec. 31, 1988",55.40M
"Sept. 30, 1988",44.90M
"June 30, 1988",41.30M
"March 31, 1988",39.80M
"Dec. 31, 1987",37.80M
"Sept. 30, 1987",45.60M
"June 30, 1987",44.70M
"March 31, 1987",43.60M
"Dec. 31, 1986",43.10M
"Sept. 30, 1986",43.10M
"June 30, 1986",42.40M
"March 31, 1986",40.80M
"Dec. 31, 1985",39.00M
"Sept. 30, 1985",37.60M
"June 30, 1985",36.90M
"March 31, 1985",36.10M
"Dec. 31, 1984",35.30M
