date,payout_ratio
"Dec. 31, 2019",64.32%
"Sept. 30, 2019",69.05%
"June 30, 2019",67.68%
"March 31, 2019",65.99%
"Dec. 31, 2018",67.21%
"Sept. 30, 2018",73.39%
"June 30, 2018",75.74%
"March 31, 2018",78.96%
"Dec. 31, 2017",81.80%
"Sept. 30, 2017",76.17%
"June 30, 2017",53.14%
"March 31, 2017",49.67%
"Dec. 31, 2016",47.64%
"Sept. 30, 2016",47.94%
"June 30, 2016",72.42%
"March 31, 2016",79.84%
"Dec. 31, 2015",82.62%
"Sept. 30, 2015",86.53%
"June 30, 2015",87.14%
"March 31, 2015",82.48%
"Dec. 31, 2014",75.49%
"Sept. 30, 2014",68.97%
"June 30, 2014",64.78%
"March 31, 2014",61.08%
"Dec. 31, 2013",61.29%
"Sept. 30, 2013",72.13%
"June 30, 2013",72.01%
"March 31, 2013",72.57%
"Dec. 31, 2012",69.79%
"Sept. 30, 2012",64.37%
"June 30, 2012",67.57%
"March 31, 2012",72.66%
"Dec. 31, 2011",77.58%
"Sept. 30, 2011",78.42%
"June 30, 2011",83.75%
"March 31, 2011",81.76%
"Dec. 31, 2010",82.24%
"Sept. 30, 2010",90.43%
"June 30, 2010",89.03%
"March 31, 2010",108.1%
"Dec. 31, 2009",116.3%
"Sept. 30, 2009",116.4%
"June 30, 2009",109.3%
"March 31, 2009",114.8%
"Dec. 31, 2008",94.70%
"Sept. 30, 2008",71.34%
"June 30, 2008",83.02%
"March 31, 2008",72.92%
"Dec. 31, 2007",96.12%
"Sept. 30, 2007",142.8%
"June 30, 2007",124.9%
"March 31, 2007",116.1%
"Dec. 31, 2006",93.21%
"Sept. 30, 2006",77.70%
"June 30, 2006",74.64%
"March 31, 2006",74.37%
"Dec. 31, 2005",79.12%
"Sept. 30, 2005",87.85%
"June 30, 2005",83.92%
"March 31, 2005",97.10%
"Dec. 31, 2004",85.60%
"Sept. 30, 2004",71.84%
"June 30, 2004",74.21%
"March 31, 2004",62.53%
"Dec. 31, 2003",65.79%
"Sept. 30, 2003",72.45%
"June 30, 2003",70.01%
"March 31, 2003",60.42%
"Dec. 31, 2002",62.07%
"Sept. 30, 2002",36.66%
"June 30, 2002",45.77%
"March 31, 2002",51.91%
"Dec. 31, 2001",44.67%
"Sept. 30, 2001",70.33%
"June 30, 2001",62.75%
"March 31, 2001",71.25%
"Dec. 31, 2000",78.77%
"Sept. 30, 2000",88.68%
"June 30, 2000",93.83%
"March 31, 2000",94.40%
"Dec. 31, 1999",104.3%
"Sept. 30, 1999",106.4%
"June 30, 1999",104.5%
"March 31, 1999",100.1%
"Dec. 31, 1998",93.63%
"Sept. 30, 1998",86.94%
"June 30, 1998",77.49%
"March 31, 1998",74.69%
"Dec. 31, 1997",71.53%
"Sept. 30, 1997",72.26%
"June 30, 1997",77.56%
"March 31, 1997",72.99%
"Dec. 31, 1996",70.18%
"Sept. 30, 1996",72.03%
"June 30, 1996",62.02%
"March 31, 1996",63.10%
"Dec. 31, 1995",63.74%
"Sept. 30, 1995",59.18%
"June 30, 1995",60.52%
"March 31, 1995",61.01%
"Dec. 31, 1994",65.34%
"Sept. 30, 1994",65.02%
"June 30, 1994",49.17%
"March 31, 1994",23.68%
"Dec. 31, 1993",0.00%
"Sept. 30, 1993",0.00%
"June 30, 1993",0.00%
"March 31, 1993",0.00%
"Dec. 31, 1992",0.00%
"Sept. 30, 1992",0.00%
"June 30, 1992",0.00%
"March 31, 1992",0.00%
"Dec. 31, 1991",0.00%
"Sept. 30, 1991",0.00%
"June 30, 1991",0.00%
"March 31, 1991",0.00%
"Dec. 31, 1990",0.00%
"Sept. 30, 1990",0.00%
"June 30, 1990",0.00%
"March 31, 1990",0.00%
"Dec. 31, 1989",0.00%
"Sept. 30, 1989",0.00%
"June 30, 1989",0.00%
"March 31, 1989",0.00%
"Dec. 31, 1988",0.00%
"Sept. 30, 1988",0.00%
"June 30, 1988",0.00%
"March 31, 1988",0.00%
"Dec. 31, 1987",0.00%
"Sept. 30, 1987",0.00%
"June 30, 1987",0.00%
"March 31, 1987",0.00%
"Dec. 31, 1986",0.00%
"Sept. 30, 1986",0.00%
"June 30, 1986",0.00%
"March 31, 1986",0.00%
"Dec. 31, 1985",0.00%
"Sept. 30, 1985",0.00%
"June 30, 1985",0.00%
"March 31, 1985",0.00%
"Dec. 31, 1984",0.00%
