date,profit_margin
"Dec. 31, 2019",9.19%
"Sept. 30, 2019",8.28%
"June 30, 2019",6.01%
"March 31, 2019",6.98%
"Dec. 31, 2018",6.57%
"Sept. 30, 2018",8.64%
"June 30, 2018",6.79%
"March 31, 2018",6.30%
"Dec. 31, 2017",4.99%
"Sept. 30, 2017",8.99%
"June 30, 2017",6.19%
"March 31, 2017",5.86%
"Dec. 31, 2016",7.31%
"Sept. 30, 2016",19.75%
"June 30, 2016",7.88%
"March 31, 2016",5.96%
"Dec. 31, 2015",6.86%
"Sept. 30, 2015",7.13%
"June 30, 2015",5.69%
"March 31, 2015",5.07%
"Dec. 31, 2014",4.27%
"Sept. 30, 2014",5.57%
"June 30, 2014",5.23%
"March 31, 2014",5.90%
"Dec. 31, 2013",4.77%
"Sept. 30, 2013",5.87%
"June 30, 2013",5.17%
"March 31, 2013",4.37%
"Dec. 31, 2012",1.71%
"Sept. 30, 2012",5.55%
"June 30, 2012",4.60%
"March 31, 2012",4.76%
"Dec. 31, 2011",4.08%
"Sept. 30, 2011",5.51%
"June 30, 2011",3.48%
"March 31, 2011",4.07%
"Dec. 31, 2010",3.62%
"Sept. 30, 2010",4.74%
"June 30, 2010",4.54%
"March 31, 2010",4.46%
"Dec. 31, 2009",2.28%
"Sept. 30, 2009",5.47%
"June 30, 2009",3.03%
"March 31, 2009",3.84%
"Dec. 31, 2008",1.56%
"Sept. 30, 2008",4.12%
"June 30, 2008",0.72%
"March 31, 2008",4.72%
"Dec. 31, 2007",5.73%
"Sept. 30, 2007",2.95%
"June 30, 2007",2.92%
"March 31, 2007",1.22%
"Dec. 31, 2006",2.65%
"Sept. 30, 2006",4.80%
"June 30, 2006",4.50%
"March 31, 2006",5.62%
"Dec. 31, 2005",6.01%
"Sept. 30, 2005",6.29%
"June 30, 2005",5.28%
"March 31, 2005",5.10%
"Dec. 31, 2004",4.79%
"Sept. 30, 2004",8.42%
"June 30, 2004",2.43%
"March 31, 2004",7.08%
"Dec. 31, 2003",8.24%
"Sept. 30, 2003",6.73%
"June 30, 2003",4.88%
"March 31, 2003",5.73%
"Dec. 31, 2002",6.05%
"Sept. 30, 2002",7.77%
"June 30, 2002",7.69%
"March 31, 2002",7.13%
"Dec. 31, 2001",5.54%
"Sept. 30, 2001",1.59%
"June 30, 2001",5.99%
"March 31, 2001",6.38%
"Dec. 31, 2000",
"Sept. 30, 2000",4.95%
"June 30, 2000",4.62%
"March 31, 2000",7.21%
"Dec. 31, 1999",-17.66%
"Sept. 30, 1999",5.50%
"June 30, 1999",6.17%
"March 31, 1999",5.91%
"Dec. 31, 1998",5.67%
"Sept. 30, 1998",5.06%
"June 30, 1998",6.21%
"March 31, 1998",5.92%
"Dec. 31, 1997",6.08%
"Sept. 30, 1997",6.51%
"June 30, 1997",5.50%
"March 31, 1997",5.48%
"Dec. 31, 1996",5.85%
"Sept. 30, 1996",4.73%
"June 30, 1996",6.16%
"March 31, 1996",5.79%
"Dec. 31, 1995",4.69%
"Sept. 30, 1995",7.48%
"June 30, 1995",5.91%
"March 31, 1995",5.81%
"Dec. 31, 1994",6.54%
"Sept. 30, 1994",7.11%
"June 30, 1994",6.19%
"March 31, 1994",4.45%
"Dec. 31, 1993",0.89%
"Sept. 30, 1993",5.38%
"June 30, 1993",6.75%
"March 31, 1993",3.97%
"Dec. 31, 1992",-2.04%
"Sept. 30, 1992",-12.65%
"June 30, 1992",6.26%
"March 31, 1992",5.68%
"Dec. 31, 1991",5.33%
"Sept. 30, 1991",5.47%
"June 30, 1991",5.03%
"March 31, 1991",4.43%
"Dec. 31, 1990",0.69%
"Sept. 30, 1990",6.82%
"June 30, 1990",5.43%
"March 31, 1990",4.76%
"Dec. 31, 1989",5.75%
"Sept. 30, 1989",7.75%
"June 30, 1989",6.92%
"March 31, 1989",8.65%
"Dec. 31, 1988",6.41%
"Sept. 30, 1988",8.12%
"June 30, 1988",7.84%
"March 31, 1988",7.88%
"Dec. 31, 1987",0.91%
"Sept. 30, 1987",8.18%
"June 30, 1987",8.70%
"March 31, 1987",9.11%
"Dec. 31, 1986",7.39%
"Sept. 30, 1986",8.84%
"June 30, 1986",8.19%
"March 31, 1986",6.72%
"Dec. 31, 1985",6.02%
"Sept. 30, 1985",6.74%
"June 30, 1985",5.77%
"March 31, 1985",5.56%
"Dec. 31, 1984",4.94%
"Sept. 30, 1984",5.88%
"June 30, 1984",5.24%
"March 31, 1984",5.16%
