date,revenue_per_employee_annual
"Dec. 31, 2019",742886.9
"Dec. 31, 2018",735625.9
"Dec. 31, 2017",665874.2
"Dec. 31, 2016",617229.5
"Dec. 31, 2015",779686.1
"Dec. 31, 2014",963432.6
"Dec. 31, 2013",826562.0
"Dec. 31, 2012",897127.9
"Dec. 31, 2011",915784.5
"Dec. 31, 2010",774929.3
"Dec. 31, 2009",658847.5
"Dec. 31, 2008",909299.4
"Dec. 31, 2007",728123.4
"Dec. 31, 2006",720616.1
"Dec. 31, 2005",673423.7
"Dec. 31, 2004",601832.0
"Dec. 31, 2003",555186.5
"Dec. 31, 2002",516055.9
"Dec. 31, 2001",547039.4
"Dec. 31, 2000",498190.6
"Dec. 31, 1999",368728.5
"Dec. 31, 1998",401731.1
"Dec. 31, 1997",501511.0
"Dec. 31, 1996",515704.3
"Dec. 31, 1995",394370.1
"Dec. 31, 1994",361685.9
"Dec. 31, 1993",352204.7
"Dec. 31, 1992",321408.5
"Dec. 31, 1991",336793.0
"Dec. 31, 1990",315283.8
