date,revenues_ttm
"Dec. 31, 2019",2.875B
"Sept. 30, 2019",2.910B
"June 30, 2019",2.907B
"March 31, 2019",2.877B
"Dec. 31, 2018",2.861B
"Sept. 30, 2018",2.758B
"June 30, 2018",2.663B
"March 31, 2018",2.610B
"Dec. 31, 2017",2.556B
"Sept. 30, 2017",2.514B
"June 30, 2017",2.487B
"March 31, 2017",2.421B
"Dec. 31, 2016",2.381B
"Sept. 30, 2016",2.387B
"June 30, 2016",2.458B
"March 31, 2016",2.516B
"Dec. 31, 2015",2.603B
"Sept. 30, 2015",2.769B
"June 30, 2015",2.919B
"March 31, 2015",3.094B
"Dec. 31, 2014",3.240B
"Sept. 30, 2014",3.282B
"June 30, 2014",3.244B
"March 31, 2014",3.240B
"Dec. 31, 2013",3.238B
"Sept. 30, 2013",3.244B
"June 30, 2013",3.283B
"March 31, 2013",3.342B
"Dec. 31, 2012",3.375B
"Sept. 30, 2012",3.388B
"June 30, 2012",3.407B
"March 31, 2012",3.347B
"Dec. 31, 2011",3.242B
"Sept. 30, 2011",3.087B
"June 30, 2011",2.895B
"March 31, 2011",2.757B
"Dec. 31, 2010",2.665B
"Sept. 30, 2010",2.589B
"June 30, 2010",2.515B
"March 31, 2010",2.385B
"Dec. 31, 2009",2.310B
"Sept. 30, 2009",2.490B
"June 30, 2009",2.785B
"March 31, 2009",3.033B
"Dec. 31, 2008",3.219B
"Sept. 30, 2008",3.127B
"June 30, 2008",2.885B
"March 31, 2008",2.712B
"Dec. 31, 2007",2.536B
"Sept. 30, 2007",2.435B
"June 30, 2007",2.436B
"March 31, 2007",2.440B
"Dec. 31, 2006",2.461B
"Sept. 30, 2006",2.479B
"June 30, 2006",2.401B
"March 31, 2006",2.318B
"Dec. 31, 2005",2.216B
"Sept. 30, 2005",2.109B
"June 30, 2005",2.020B
"March 31, 2005",1.960B
"Dec. 31, 2004",1.924B
"Sept. 30, 2004",1.860B
"June 30, 2004",1.807B
"March 31, 2004",1.794B
"Dec. 31, 2003",1.781B
"Sept. 30, 2003",1.763B
"June 30, 2003",1.741B
"March 31, 2003",1.701B
"Dec. 31, 2002",1.654B
"Sept. 30, 2002",1.637B
"June 30, 2002",1.653B
"March 31, 2002",1.671B
"Dec. 31, 2001",1.729B
"Sept. 30, 2001",1.319B
"June 30, 2001",1.318B
"March 31, 2001",1.304B
"Dec. 31, 2000",1.271B
"Sept. 30, 2000",1.197B
"June 30, 2000",1.144B
"March 31, 2000",1.100B
"Dec. 31, 1999",1.050B
"Sept. 30, 1999",1.487B
"June 30, 1999",1.472B
"March 31, 1999",1.462B
"Dec. 31, 1998",1.485B
"Sept. 30, 1998",1.488B
"June 30, 1998",1.481B
"March 31, 1998",1.481B
"Dec. 31, 1997",1.465B
"Sept. 30, 1997",1.450B
"June 30, 1997",1.448B
"March 31, 1997",1.435B
"Dec. 31, 1996",1.402B
"Sept. 30, 1996",1.374B
"June 30, 1996",1.343B
"March 31, 1996",1.316B
"Dec. 31, 1995",1.296B
"Sept. 30, 1995",1.283B
"June 30, 1995",1.265B
"March 31, 1995",1.230B
"Dec. 31, 1994",1.188B
"Sept. 30, 1994",1.150B
"June 30, 1994",1.131B
"March 31, 1994",1.128B
"Dec. 31, 1993",1.142B
"Sept. 30, 1993",1.076B
"June 30, 1993",1.069B
"March 31, 1993",1.038B
"Dec. 31, 1992",1.005B
"Sept. 30, 1992",1.052B
"June 30, 1992",1.034B
"March 31, 1992",1.044B
"Dec. 31, 1991",1.084B
"Sept. 30, 1991",1.097B
"June 30, 1991",1.066B
"March 31, 1991",1.060B
"Dec. 31, 1990",1.011B
"Sept. 30, 1990",963.00M
"June 30, 1990",959.50M
"March 31, 1990",922.20M
"Dec. 31, 1989",884.70M
"Sept. 30, 1989",852.10M
"June 30, 1989",807.80M
"March 31, 1989",764.40M
"Dec. 31, 1988",734.30M
"Sept. 30, 1988",759.60M
"June 30, 1988",714.30M
"March 31, 1988",679.90M
"Dec. 31, 1987",635.10M
"Sept. 30, 1987",547.30M
"June 30, 1987",525.80M
"March 31, 1987",521.00M
"Dec. 31, 1986",558.10M
"Sept. 30, 1986",588.20M
"June 30, 1986",618.10M
"March 31, 1986",646.80M
"Dec. 31, 1985",648.30M
"Sept. 30, 1985",655.70M
"June 30, 1985",667.10M
"March 31, 1985",668.20M
"Dec. 31, 1984",665.20M
