date,shareholders_equity
"Dec. 31, 2019",2.280B
"Sept. 30, 2019",2.243B
"June 30, 2019",2.209B
"March 31, 2019",2.184B
"Dec. 31, 2018",2.162B
"Sept. 30, 2018",2.132B
"June 30, 2018",2.103B
"March 31, 2018",2.092B
"Dec. 31, 2017",2.097B
"Sept. 30, 2017",2.103B
"June 30, 2017",2.075B
"March 31, 2017",2.066B
"Dec. 31, 2016",2.067B
"Sept. 30, 2016",2.068B
"June 30, 2016",1.966B
"March 31, 2016",1.942B
"Dec. 31, 2015",1.928B
"Sept. 30, 2015",1.921B
"June 30, 2015",1.899B
"March 31, 2015",1.898B
"Dec. 31, 2014",1.791B
"Sept. 30, 2014",1.801B
"June 30, 2014",1.761B
"March 31, 2014",1.746B
"Dec. 31, 2013",1.727B
"Sept. 30, 2013",1.655B
"June 30, 2013",1.625B
"March 31, 2013",1.607B
"Dec. 31, 2012",1.594B
"Sept. 30, 2012",1.607B
"June 30, 2012",1.576B
"March 31, 2012",1.554B
"Dec. 31, 2011",1.529B
"Sept. 30, 2011",1.538B
"June 30, 2011",1.512B
"March 31, 2011",1.497B
"Dec. 31, 2010",1.484B
"Sept. 30, 2010",1.480B
"June 30, 2010",1.467B
"March 31, 2010",1.453B
"Dec. 31, 2009",1.442B
"Sept. 30, 2009",1.422B
"June 30, 2009",1.402B
"March 31, 2009",1.404B
"Dec. 31, 2008",1.389B
"Sept. 30, 2008",1.321B
"June 30, 2008",1.297B
"March 31, 2008",1.304B
"Dec. 31, 2007",1.275B
"Sept. 30, 2007",1.130B
"June 30, 2007",1.108B
"March 31, 2007",1.097B
"Dec. 31, 2006",1.095B
"Sept. 30, 2006",1.238B
"June 30, 2006",1.205B
"March 31, 2006",1.212B
"Dec. 31, 2005",1.217B
"Sept. 30, 2005",1.213B
"June 30, 2005",1.216B
"March 31, 2005",1.183B
"Dec. 31, 2004",1.211B
"Sept. 30, 2004",1.212B
"June 30, 2004",1.170B
"March 31, 2004",1.228B
"Dec. 31, 2003",1.089B
"Sept. 30, 2003",1.067B
"June 30, 2003",1.061B
"March 31, 2003",1.053B
"Dec. 31, 2002",1.046B
"Sept. 30, 2002",1.036B
"June 30, 2002",997.98M
"March 31, 2002",949.05M
"Dec. 31, 2001",929.66M
"Sept. 30, 2001",882.08M
"June 30, 2001",868.62M
"March 31, 2001",845.20M
"Dec. 31, 2000",825.01M
"Sept. 30, 2000",872.87M
"June 30, 2000",867.04M
"March 31, 2000",859.16M
"Dec. 31, 1999",847.60M
"Sept. 30, 1999",835.80M
"June 30, 1999",833.30M
"March 31, 1999",829.50M
"Dec. 31, 1998",827.00M
"Sept. 30, 1998",823.50M
"June 30, 1998",824.20M
"March 31, 1998",821.20M
"Dec. 31, 1997",814.70M
"Sept. 30, 1997",803.40M
"June 30, 1997",788.30M
"March 31, 1997",779.00M
"Dec. 31, 1996",772.90M
"Sept. 30, 1996",761.90M
"June 30, 1996",754.20M
"March 31, 1996",740.80M
"Dec. 31, 1995",729.60M
"Sept. 30, 1995",720.70M
"June 30, 1995",704.50M
"March 31, 1995",692.70M
"Dec. 31, 1994",682.10M
"Sept. 30, 1994",670.30M
"June 30, 1994",656.40M
"March 31, 1994",646.90M
