date,sustainable_growth_rate
"Dec. 31, 2019",3.54%
"Sept. 30, 2019",2.88%
"June 30, 2019",3.08%
"March 31, 2019",3.33%
"Dec. 31, 2018",3.15%
"Sept. 30, 2018",2.36%
"June 30, 2018",2.09%
"March 31, 2018",1.75%
"Dec. 31, 2017",1.46%
"Sept. 30, 2017",2.06%
"June 30, 2017",5.64%
"March 31, 2017",6.27%
"Dec. 31, 2016",6.57%
"Sept. 30, 2016",6.57%
"June 30, 2016",2.45%
"March 31, 2016",1.71%
"Dec. 31, 2015",1.49%
"Sept. 30, 2015",1.10%
"June 30, 2015",1.05%
"March 31, 2015",1.52%
"Dec. 31, 2014",2.36%
"Sept. 30, 2014",3.14%
"June 30, 2014",3.65%
"March 31, 2014",4.09%
"Dec. 31, 2013",3.86%
"Sept. 30, 2013",2.38%
"June 30, 2013",2.41%
"March 31, 2013",2.35%
"Dec. 31, 2012",2.70%
"Sept. 30, 2012",3.67%
"June 30, 2012",3.40%
"March 31, 2012",2.69%
"Dec. 31, 2011",2.08%
"Sept. 30, 2011",1.88%
"June 30, 2011",1.25%
"March 31, 2011",1.44%
"Dec. 31, 2010",1.40%
"Sept. 30, 2010",0.69%
"June 30, 2010",0.80%
"March 31, 2010",-0.52%
"Dec. 31, 2009",-0.98%
"Sept. 30, 2009",-0.99%
"June 30, 2009",-0.59%
"March 31, 2009",-0.85%
"Dec. 31, 2008",0.36%
"Sept. 30, 2008",2.68%
"June 30, 2008",1.40%
"March 31, 2008",2.57%
"Dec. 31, 2007",0.29%
"Sept. 30, 2007",-2.28%
"June 30, 2007",-1.58%
"March 31, 2007",-1.14%
"Dec. 31, 2006",0.61%
"Sept. 30, 2006",2.37%
"June 30, 2006",2.81%
"March 31, 2006",2.86%
"Dec. 31, 2005",2.19%
"Sept. 30, 2005",1.15%
"June 30, 2005",1.60%
"March 31, 2005",0.25%
"Dec. 31, 2004",1.34%
"Sept. 30, 2004",2.99%
"June 30, 2004",2.53%
"March 31, 2004",4.12%
"Dec. 31, 2003",3.67%
"Sept. 30, 2003",2.70%
"June 30, 2003",3.06%
"March 31, 2003",4.50%
"Dec. 31, 2002",4.52%
"Sept. 30, 2002",7.60%
"June 30, 2002",5.20%
"March 31, 2002",4.45%
"Dec. 31, 2001",5.32%
"Sept. 30, 2001",2.72%
"June 30, 2001",4.08%
"March 31, 2001",2.93%
"Dec. 31, 2000",2.20%
"Sept. 30, 2000",1.08%
"June 30, 2000",0.59%
"March 31, 2000",0.56%
"Dec. 31, 1999",-0.40%
"Sept. 30, 1999",-0.66%
"June 30, 1999",-0.46%
"March 31, 1999",-0.01%
"Dec. 31, 1998",0.66%
"Sept. 30, 1998",1.38%
"June 30, 1998",2.54%
"March 31, 1998",2.81%
"Dec. 31, 1997",3.11%
"Sept. 30, 1997",3.01%
"June 30, 1997",2.27%
"March 31, 1997",2.82%
"Dec. 31, 1996",3.13%
"Sept. 30, 1996",2.76%
"June 30, 1996",4.22%
"March 31, 1996",4.04%
"Dec. 31, 1995",3.98%
"Sept. 30, 1995",4.87%
"June 30, 1995",4.65%
"March 31, 1995",4.60%
"Dec. 31, 1994",3.81%
"Sept. 30, 1994",2.90%
