Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,1.545B,1.863B,2.208B,2.30B,2.694B,3.004B,2.908B,3.726B,4.847B,2.526B,2.492B,2.686B,2.732B,3.529B,3.095B,3.557B,2.716B,3.013B,931.00M,1.506B,2.444B,4.12B,2.205B,1.288B,1.814B,321.00M,725.00M,444.00M,642.00M,528.00M,409.00M,396.00M,351.00M,827.00M,2.194B,1.968B,1.608B,2.353B,1.363B,1.37B,1.362B,957.00M,1.063B,1.157B,908.00M,1.38B,1.479B,902.00M,607.00M,565.00M,482.00M,249.00M,383.00M,546.00M,486.00M,504.00M,315.00M,759.00M,916.00M,834.00M,877.00M,937.00M,601.00M,492.00M,518.00M,339.00M,677.00M,196.00M,197.00M,48.00M,35.00M,61.00M,37.00M,65.00M,58.00M,700.00M,312.00M,259.00M,178.00M,26.00M,40.90M,25.60M,82.30M,54.60M,74.00M,67.20M,40.90M,79.50M,91.20M,130.60M,187.00M,299.70M,112.50M,84.80M,34.20M,71.70M,56.10M,88.70M,48.30M,37.80M,53.10M,36.40M,34.80M,84.30M,79.60M,69.10M,109.10M,159.70M,141.00M,81.60M,126.70M,88.80M,120.20M,125.30M,82.50M,150.90M,129.90M,162.30M,99.80M,84.20M,120.30M,213.20M,226.50M,92.70M,171.10M,152.50M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00M,,119.00M,10.00M,65.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,1.545B,1.863B,2.208B,2.30B,2.694B,3.004B,2.908B,3.726B,4.847B,2.526B,2.492B,2.686B,2.732B,3.529B,3.095B,3.557B,2.716B,3.013B,931.00M,1.506B,2.444B,4.12B,2.205B,1.288B,1.814B,321.00M,725.00M,444.00M,642.00M,528.00M,409.00M,396.00M,351.00M,827.00M,2.194B,1.968B,1.608B,2.353B,1.363B,1.37B,1.362B,957.00M,1.063B,1.157B,908.00M,1.38B,1.479B,902.00M,607.00M,565.00M,482.00M,249.00M,383.00M,546.00M,486.00M,504.00M,315.00M,759.00M,916.00M,844.00M,877.00M,1.056B,611.00M,557.00M,518.00M,339.00M,677.00M,196.00M,197.00M,48.00M,35.00M,61.00M,37.00M,65.00M,58.00M,700.00M,312.00M,259.00M,178.00M,26.00M,40.90M,25.60M,82.30M,54.60M,74.00M,67.20M,40.90M,79.50M,91.20M,130.60M,187.00M,299.70M,112.50M,84.80M,34.20M,71.70M,56.10M,88.70M,48.30M,37.80M,53.10M,36.40M,34.80M,84.30M,79.60M,69.10M,109.10M,159.70M,141.00M,81.60M,126.70M,88.80M,120.20M,125.30M,82.50M,150.90M,129.90M,162.30M,99.80M,84.20M,120.30M,213.20M,226.50M,92.70M,171.10M,152.50M
Accounts Receivable,1.17B,1.122B,1.06B,1.116B,1.001B,1.182B,1.075B,997.00M,1.024B,933.00M,801.00M,775.00M,940.00M,771.00M,843.00M,612.00M,847.00M,1.211B,1.492B,1.405B,1.642B,2.674B,2.348B,2.808B,3.093B,1.418B,1.64B,1.567B,4.057B,3.908B,4.187B,4.743B,4.761B,3.828B,4.133B,4.917B,4.478B,3.939B,3.871B,4.503B,3.65B,3.552B,4.097B,3.899B,4.059B,4.652B,6.266B,4.85B,4.708B,3.076B,3.266B,3.457B,3.659B,3.229B,3.046B,3.102B,3.517B,3.082B,2.417B,2.548B,2.372B,2.065B,1.948B,2.099B,1.717B,1.502B,1.72B,2.316B,1.785B,1.773B,1.535B,1.827B,2.841B,2.914B,2.827B,2.80B,2.949B,1.848B,1.896B,1.602B,1.175B,1.342B,1.480B,1.274B,1.013B,1.084B,656.10M,726.70M,993.00M,636.80M,520.30M,673.60M,848.10M,601.90M,690.50M,769.10M,798.30M,675.90M,564.90M,575.20M,570.50M,477.50M,518.80M,492.70M,555.00M,,,,757.40M,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,110.00M,137.00M,137.00M,86.00M,82.00M,205.00M,240.00M,312.00M,311.00M,302.00M,306.00M,431.00M,385.00M,350.00M,417.00M,432.00M,359.00M,314.00M,273.00M,281.00M,336.00M,321.00M,241.00M,250.00M,335.00M,320.00M,240.00M,240.00M,,,,274.00M,,,,238.00M,,,,,,,,214.00M,,,,138.00M,,,,182.00M,,,,185.00M,,,,187.00M,,,,121.00M,,,,47.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.17B,1.122B,1.06B,1.116B,1.001B,1.182B,1.075B,997.00M,1.024B,1.043B,938.00M,912.00M,1.026B,853.00M,1.048B,852.00M,1.159B,1.522B,1.794B,1.711B,2.073B,3.059B,2.698B,3.225B,3.525B,1.777B,1.954B,1.84B,4.338B,4.244B,4.508B,4.984B,5.011B,4.163B,4.453B,5.157B,4.718B,3.939B,3.871B,4.503B,3.924B,3.552B,4.097B,3.899B,4.297B,4.652B,6.266B,4.85B,4.708B,3.076B,3.266B,3.457B,3.873B,3.229B,3.046B,3.102B,3.655B,3.082B,2.417B,2.548B,2.554B,2.065B,1.948B,2.099B,1.902B,1.502B,1.72B,2.316B,1.972B,1.773B,1.535B,1.827B,2.962B,2.914B,2.827B,2.80B,2.996B,1.848B,1.896B,1.602B,1.175B,1.342B,1.480B,1.274B,1.013B,1.084B,656.10M,726.70M,993.00M,636.80M,520.30M,673.60M,848.10M,601.90M,690.50M,769.10M,798.30M,675.90M,564.90M,575.20M,570.50M,477.50M,518.80M,492.70M,555.00M,484.60M,480.20M,549.80M,757.40M,843.10M,813.30M,870.30M,1.195B,888.30M,1.00B,1.040B,1.627B,929.00M,383.30M,500.70M,702.80M,449.10M,447.80M,346.20M,514.50M,514.70M
Raw Materials Inventory,169.00M,217.00M,196.00M,178.00M,171.00M,182.00M,173.00M,175.00M,173.00M,262.00M,242.00M,240.00M,246.00M,299.00M,282.00M,272.00M,255.00M,318.00M,280.00M,262.00M,281.00M,318.00M,316.00M,431.00M,384.00M,361.00M,390.00M,402.00M,527.00M,1.06B,1.066B,1.115B,486.00M,1.087B,946.00M,967.00M,919.00M,798.00M,917.00M,915.00M,824.00M,834.00M,829.00M,838.00M,820.00M,519.00M,509.00M,380.00M,338.00M,346.00M,268.00M,300.00M,496.00M,261.00M,483.00M,447.00M,362.00M,466.00M,399.00M,190.00M,342.00M,194.00M,179.00M,167.00M,305.00M,132.00M,130.00M,287.00M,256.00M,173.00M,153.00M,121.00M,221.00M,117.00M,90.00M,83.00M,180.00M,,,,,,,,,,,,,,,,,,,,,,,,,,122.00M,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,92.00M,72.00M,82.00M,96.00M,74.00M,81.00M,58.00M,64.00M,59.00M,110.00M,134.00M,137.00M,77.00M,104.00M,95.00M,144.00M,144.00M,217.00M,289.00M,284.00M,246.00M,543.00M,800.00M,954.00M,909.00M,334.00M,293.00M,284.00M,1.855B,1.367B,1.497B,1.698B,2.213B,1.747B,1.788B,1.829B,1.528B,1.71B,1.561B,1.352B,1.429B,1.299B,1.193B,721.00M,988.00M,2.193B,2.03B,1.524B,1.577B,1.484B,1.182B,1.089B,1.185B,1.411B,1.518B,912.00M,1.149B,1.271B,862.00M,623.00M,700.00M,564.00M,486.00M,392.00M,567.00M,512.00M,,382.00M,497.00M,477.00M,431.00M,417.00M,440.00M,478.00M,478.00M,385.00M,502.00M,,,,,,,,,,,,,,,,,,,,,,,,,,444.80M,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.00M,415.00M,379.00M,364.00M,358.00M,337.00M,326.00M,,287.00M,,,,,,183.00M,,170.00M,144.00M,117.00M,,173.00M,156.00M,,,94.00M,121.00M,93.00M,,143.00M,133.00M,110.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,390.60M,,,,,,,,,,,,,,,,,,,,,,,
