date,ev_ebitda
"March 19, 2020",5.902
"March 18, 2020",5.792
"March 17, 2020",5.845
"March 16, 2020",5.894
"March 13, 2020",6.327
"March 12, 2020",6.094
"March 11, 2020",6.526
"March 10, 2020",6.861
"March 9, 2020",6.110
"March 6, 2020",7.986
"March 5, 2020",8.520
"March 4, 2020",8.802
"March 3, 2020",8.881
"March 2, 2020",8.823
"Feb. 28, 2020",8.710
"Feb. 27, 2020",8.580
"Feb. 26, 2020",8.677
"Feb. 25, 2020",8.846
"Feb. 24, 2020",9.163
"Feb. 21, 2020",9.634
"Feb. 20, 2020",9.668
"Feb. 19, 2020",9.539
"Feb. 18, 2020",9.266
"Feb. 14, 2020",9.176
"Feb. 13, 2020",9.137
"Feb. 12, 2020",9.000
"Feb. 11, 2020",8.708
"Feb. 10, 2020",8.572
"Feb. 7, 2020",8.628
"Feb. 6, 2020",8.806
"Feb. 5, 2020",9.061
"Feb. 4, 2020",8.877
"Feb. 3, 2020",8.738
"Jan. 31, 2020",8.754
"Jan. 30, 2020",8.971
"Jan. 29, 2020",8.889
"Jan. 28, 2020",9.370
"Jan. 27, 2020",9.374
"Jan. 24, 2020",9.627
"Jan. 23, 2020",9.864
"Jan. 22, 2020",9.939
"Jan. 21, 2020",10.08
"Jan. 17, 2020",10.24
"Jan. 16, 2020",10.29
"Jan. 15, 2020",10.26
"Jan. 14, 2020",10.26
"Jan. 13, 2020",10.17
"Jan. 10, 2020",10.09
"Jan. 9, 2020",10.15
"Jan. 8, 2020",10.09
"Jan. 7, 2020",10.36
"Jan. 6, 2020",10.35
"Jan. 3, 2020",10.23
"Jan. 2, 2020",9.997
"Dec. 31, 2019",9.895
"Dec. 30, 2019",9.326
"Dec. 27, 2019",9.360
"Dec. 26, 2019",9.468
"Dec. 24, 2019",9.445
"Dec. 23, 2019",9.406
"Dec. 20, 2019",9.183
"Dec. 19, 2019",9.058
"Dec. 18, 2019",9.207
"Dec. 17, 2019",9.165
"Dec. 16, 2019",9.157
"Dec. 13, 2019",8.909
"Dec. 12, 2019",9.024
"Dec. 11, 2019",8.831
"Dec. 10, 2019",8.845
"Dec. 9, 2019",8.847
"Dec. 6, 2019",8.902
"Dec. 5, 2019",8.760
"Dec. 4, 2019",8.789
"Dec. 3, 2019",8.634
"Dec. 2, 2019",8.786
"Nov. 29, 2019",8.884
"Nov. 27, 2019",8.996
"Nov. 26, 2019",9.045
"Nov. 25, 2019",9.174
"Nov. 22, 2019",9.132
"Nov. 21, 2019",9.409
"Nov. 20, 2019",9.433
"Nov. 19, 2019",9.331
"Nov. 18, 2019",9.396
"Nov. 15, 2019",9.530
"Nov. 14, 2019",9.511
"Nov. 13, 2019",9.633
"Nov. 12, 2019",9.942
"Nov. 11, 2019",10.05
"Nov. 8, 2019",9.946
"Nov. 7, 2019",9.824
"Nov. 6, 2019",9.599
"Nov. 5, 2019",9.712
"Nov. 4, 2019",9.662
"Nov. 1, 2019",9.626
"Oct. 31, 2019",9.282
"Oct. 30, 2019",9.175
"Oct. 29, 2019",9.506
"Oct. 28, 2019",9.372
"Oct. 25, 2019",9.394
"Oct. 24, 2019",9.404
"Oct. 23, 2019",9.377
"Oct. 22, 2019",9.478
"Oct. 21, 2019",9.300
"Oct. 18, 2019",9.195
"Oct. 17, 2019",9.218
"Oct. 16, 2019",9.226
"Oct. 15, 2019",9.324
"Oct. 14, 2019",9.439
"Oct. 11, 2019",9.393
"Oct. 10, 2019",9.300
"Oct. 9, 2019",9.13
"Oct. 8, 2019",8.887
"Oct. 7, 2019",8.950
"Oct. 4, 2019",8.917
"Oct. 3, 2019",8.851
"Oct. 2, 2019",8.582
"Oct. 1, 2019",8.724
"Sept. 30, 2019",8.709
"Sept. 27, 2019",8.152
"Sept. 26, 2019",8.314
"Sept. 25, 2019",8.505
"Sept. 24, 2019",8.588
"Sept. 23, 2019",8.712
"Sept. 20, 2019",8.729
"Sept. 19, 2019",8.720
"Sept. 18, 2019",8.858
