date,historical_daily_var_1_all
"Feb. 29, 2020",5.87%
"Jan. 31, 2020",5.85%
"Dec. 31, 2019",5.84%
"Nov. 30, 2019",5.84%
"Oct. 31, 2019",5.85%
"Sept. 30, 2019",5.85%
"Aug. 31, 2019",5.85%
"July 31, 2019",5.84%
"June 30, 2019",5.84%
"May 31, 2019",5.85%
"April 30, 2019",5.84%
"March 31, 2019",5.84%
"Feb. 28, 2019",5.84%
"Jan. 31, 2019",5.84%
"Dec. 31, 2018",5.85%
"Nov. 30, 2018",5.84%
"Oct. 31, 2018",5.84%
"Sept. 30, 2018",5.83%
"Aug. 31, 2018",5.83%
"July 31, 2018",5.84%
"June 30, 2018",5.84%
"May 31, 2018",5.84%
"April 30, 2018",5.84%
"March 31, 2018",5.85%
"Feb. 28, 2018",5.85%
"Jan. 31, 2018",5.84%
"Dec. 31, 2017",5.84%
"Nov. 30, 2017",5.85%
"Oct. 31, 2017",5.85%
"Sept. 30, 2017",5.85%
"Aug. 31, 2017",5.86%
"July 31, 2017",5.86%
"June 30, 2017",5.87%
"May 31, 2017",5.87%
"April 30, 2017",5.88%
"March 31, 2017",5.88%
"Feb. 28, 2017",5.89%
"Jan. 31, 2017",5.89%
"Dec. 31, 2016",5.89%
"Nov. 30, 2016",5.89%
"Oct. 31, 2016",5.90%
"Sept. 30, 2016",5.91%
"Aug. 31, 2016",5.91%
"July 31, 2016",5.92%
"June 30, 2016",5.93%
"May 31, 2016",5.90%
"April 30, 2016",5.91%
"March 31, 2016",5.92%
"Feb. 29, 2016",5.92%
"Jan. 31, 2016",5.88%
"Dec. 31, 2015",5.85%
"Nov. 30, 2015",5.85%
"Oct. 31, 2015",5.85%
"Sept. 30, 2015",5.86%
"Aug. 31, 2015",5.86%
"July 31, 2015",5.85%
"June 30, 2015",5.85%
"May 31, 2015",5.86%
"April 30, 2015",5.86%
"March 31, 2015",5.87%
"Feb. 28, 2015",5.87%
"Jan. 31, 2015",5.87%
"Dec. 31, 2014",5.86%
"Nov. 30, 2014",5.86%
"Oct. 31, 2014",5.85%
"Sept. 30, 2014",5.85%
"Aug. 31, 2014",5.86%
"July 31, 2014",5.86%
"June 30, 2014",5.87%
"May 31, 2014",5.87%
"April 30, 2014",5.87%
"March 31, 2014",5.88%
"Feb. 28, 2014",5.88%
"Jan. 31, 2014",5.89%
"Dec. 31, 2013",5.89%
"Nov. 30, 2013",5.89%
"Oct. 31, 2013",5.89%
"Sept. 30, 2013",5.90%
"Aug. 31, 2013",5.91%
"July 31, 2013",5.92%
"June 30, 2013",5.92%
"May 31, 2013",5.93%
"April 30, 2013",5.94%
"March 31, 2013",5.95%
"Feb. 28, 2013",5.95%
"Jan. 31, 2013",5.96%
"Dec. 31, 2012",5.96%
"Nov. 30, 2012",5.96%
"Oct. 31, 2012",5.97%
"Sept. 30, 2012",5.97%
"Aug. 31, 2012",5.97%
"July 31, 2012",5.97%
"June 30, 2012",5.97%
"May 31, 2012",5.97%
"April 30, 2012",5.97%
"March 31, 2012",5.96%
"Feb. 29, 2012",5.96%
"Jan. 31, 2012",5.97%
"Dec. 31, 2011",5.97%
"Nov. 30, 2011",5.97%
"Oct. 31, 2011",5.97%
"Sept. 30, 2011",5.97%
"Aug. 31, 2011",5.97%
"July 31, 2011",5.92%
"June 30, 2011",5.93%
"May 31, 2011",5.94%
"April 30, 2011",5.95%
"March 31, 2011",5.95%
"Feb. 28, 2011",5.96%
"Jan. 31, 2011",5.96%
"Dec. 31, 2010",5.96%
"Nov. 30, 2010",5.97%
"Oct. 31, 2010",5.97%
"Sept. 30, 2010",5.97%
"Aug. 31, 2010",5.97%
"July 31, 2010",5.97%
"June 30, 2010",5.98%
"May 31, 2010",5.98%
"April 30, 2010",5.97%
"March 31, 2010",5.97%
"Feb. 28, 2010",5.98%
"Jan. 31, 2010",5.98%
"Dec. 31, 2009",5.98%
"Nov. 30, 2009",5.99%
"Oct. 31, 2009",5.99%
"Sept. 30, 2009",6.00%
"Aug. 31, 2009",6.01%
"July 31, 2009",6.01%
"June 30, 2009",5.99%
"May 31, 2009",5.97%
"April 30, 2009",5.95%
"March 31, 2009",5.92%
"Feb. 28, 2009",5.89%
"Jan. 31, 2009",5.85%
"Dec. 31, 2008",5.81%
"Nov. 30, 2008",5.74%
"Oct. 31, 2008",5.68%
"Sept. 30, 2008",5.56%
"Aug. 31, 2008",5.43%
"July 31, 2008",5.43%
"June 30, 2008",5.37%
"May 31, 2008",5.37%
"April 30, 2008",5.38%
"March 31, 2008",5.38%
"Feb. 29, 2008",5.37%
"Jan. 31, 2008",5.37%
"Dec. 31, 2007",5.37%
"Nov. 30, 2007",5.37%
"Oct. 31, 2007",5.36%
"Sept. 30, 2007",5.36%
"Aug. 31, 2007",5.37%
"July 31, 2007",5.35%
"June 30, 2007",5.34%
"May 31, 2007",5.35%
"April 30, 2007",5.35%
"March 31, 2007",5.35%
"Feb. 28, 2007",5.36%
"Jan. 31, 2007",5.36%
"Dec. 31, 2006",5.36%
"Nov. 30, 2006",5.35%
"Oct. 31, 2006",5.35%
"Sept. 30, 2006",5.34%
"Aug. 31, 2006",5.34%
"July 31, 2006",5.34%
"June 30, 2006",5.34%
"May 31, 2006",5.34%
"April 30, 2006",5.34%
"March 31, 2006",5.35%
"Feb. 28, 2006",5.35%
"Jan. 31, 2006",5.35%
"Dec. 31, 2005",5.36%
"Nov. 30, 2005",5.36%
"Oct. 31, 2005",5.35%
"Sept. 30, 2005",5.34%
"Aug. 31, 2005",5.34%
"July 31, 2005",5.34%
"June 30, 2005",5.35%
"May 31, 2005",5.35%
"April 30, 2005",5.35%
"March 31, 2005",5.36%
"Feb. 28, 2005",5.36%
"Jan. 31, 2005",5.36%
"Dec. 31, 2004",5.37%
"Nov. 30, 2004",5.37%
"Oct. 31, 2004",5.37%
"Sept. 30, 2004",5.35%
"Aug. 31, 2004",5.35%
"July 31, 2004",5.35%
"June 30, 2004",5.36%
"May 31, 2004",5.36%
"April 30, 2004",5.36%
"March 31, 2004",5.37%
"Feb. 29, 2004",5.37%
"Jan. 31, 2004",5.38%
"Dec. 31, 2003",5.38%
"Nov. 30, 2003",5.39%
"Oct. 31, 2003",5.39%
"Sept. 30, 2003",5.40%
"Aug. 31, 2003",5.41%
"July 31, 2003",5.42%
"June 30, 2003",5.42%
"May 31, 2003",5.43%
"April 30, 2003",5.43%
"March 31, 2003",5.44%
"Feb. 28, 2003",5.44%
"Jan. 31, 2003",5.45%
"Dec. 31, 2002",5.43%
"Nov. 30, 2002",5.44%
"Oct. 31, 2002",5.44%
"Sept. 30, 2002",5.39%
"Aug. 31, 2002",5.39%
"July 31, 2002",5.38%
"June 30, 2002",5.34%
"May 31, 2002",5.35%
"April 30, 2002",5.35%
"March 31, 2002",5.35%
"Feb. 28, 2002",5.36%
"Jan. 31, 2002",5.36%
"Dec. 31, 2001",5.37%
