date,return_on_invested_capital
"Dec. 31, 2019",-2.39%
"Sept. 30, 2019",-1.10%
"June 30, 2019",-0.11%
"March 31, 2019",-0.81%
"Dec. 31, 2018",-1.55%
"Sept. 30, 2018",-15.64%
"June 30, 2018",-17.94%
"March 31, 2018",-18.75%
"Dec. 31, 2017",-19.09%
"Sept. 30, 2017",-27.20%
"June 30, 2017",-24.57%
"March 31, 2017",-23.12%
"Dec. 31, 2016",-22.95%
"Sept. 30, 2016",-10.92%
"June 30, 2016",-10.80%
"March 31, 2016",-11.44%
"Dec. 31, 2015",-11.00%
"Sept. 30, 2015",-4.37%
"June 30, 2015",0.15%
"March 31, 2015",5.26%
"Dec. 31, 2014",7.75%
"Sept. 30, 2014",14.05%
"June 30, 2014",12.15%
"March 31, 2014",13.86%
"Dec. 31, 2013",16.88%
"Sept. 30, 2013",11.87%
"June 30, 2013",12.52%
"March 31, 2013",9.73%
"Dec. 31, 2012",7.42%
"Sept. 30, 2012",5.78%
"June 30, 2012",4.94%
"March 31, 2012",5.34%
"Dec. 31, 2011",7.12%
"Sept. 30, 2011",8.13%
"June 30, 2011",12.40%
"March 31, 2011",12.02%
"Dec. 31, 2010",10.73%
"Sept. 30, 2010",12.90%
"June 30, 2010",9.03%
"March 31, 2010",7.69%
"Dec. 31, 2009",4.36%
"Sept. 30, 2009",1.85%
"June 30, 2009",4.60%
"March 31, 2009",9.79%
"Dec. 31, 2008",15.52%
"Sept. 30, 2008",20.12%
"June 30, 2008",18.29%
"March 31, 2008",16.38%
"Dec. 31, 2007",14.09%
"Sept. 30, 2007",13.39%
"June 30, 2007",13.14%
"March 31, 2007",13.80%
"Dec. 31, 2006",17.47%
"Sept. 30, 2006",19.07%
"June 30, 2006",19.77%
"March 31, 2006",17.84%
"Dec. 31, 2005",13.12%
"Sept. 30, 2005",11.14%
"June 30, 2005",10.08%
"March 31, 2005",9.88%
"Dec. 31, 2004",10.45%
"Sept. 30, 2004",8.78%
"June 30, 2004",8.42%
"March 31, 2004",8.07%
"Dec. 31, 2003",6.96%
"Sept. 30, 2003",2.18%
"June 30, 2003",-0.83%
"March 31, 2003",-1.86%
"Dec. 31, 2002",-2.16%
"Sept. 30, 2002",2.03%
"June 30, 2002",5.28%
"March 31, 2002",8.08%
"Dec. 31, 2001",11.42%
"Sept. 30, 2001",17.15%
"June 30, 2001",21.36%
"March 31, 2001",19.85%
"Dec. 31, 2000",18.51%
"Sept. 30, 2000",15.07%
"June 30, 2000",13.28%
"March 31, 2000",11.04%
"Dec. 31, 1999",8.18%
"Sept. 30, 1999",-2.04%
"June 30, 1999",-5.04%
"March 31, 1999",-6.89%
"Dec. 31, 1998",-8.43%
"Sept. 30, 1998",-1.87%
"June 30, 1998",-1.37%
"March 31, 1998",-0.18%
"Dec. 31, 1997",0.15%
"Sept. 30, 1997",3.67%
"June 30, 1997",5.24%
"March 31, 1997",11.76%
"Dec. 31, 1996",12.75%
"Sept. 30, 1996",4.98%
"June 30, 1996",1.14%
"March 31, 1996",-6.04%
"Dec. 31, 1995",-6.51%
"Sept. 30, 1995",-1.77%
"June 30, 1995",-0.13%
"March 31, 1995",0.24%
"Dec. 31, 1994",1.13%
"Sept. 30, 1994",-1.03%
"June 30, 1994",-1.33%
"March 31, 1994",-3.24%
"Dec. 31, 1993",-3.98%
"Sept. 30, 1993",-1.74%
"June 30, 1993",-1.30%
"March 31, 1993",0.99%
"Dec. 31, 1992",0.12%
"Sept. 30, 1992",-0.98%
"June 30, 1992",-1.28%
"March 31, 1992",-0.25%
"Dec. 31, 1991",1.44%
"Sept. 30, 1991",6.57%
"June 30, 1991",12.18%
"March 31, 1991",9.83%
"Dec. 31, 1990",9.16%
"Sept. 30, 1990",6.27%
"June 30, 1990",1.80%
