date,springate_score
"Dec. 31, 2019",0.5134
"Sept. 30, 2019",0.6047
"June 30, 2019",0.7205
"March 31, 2019",0.6805
"Dec. 31, 2018",0.6322
"Sept. 30, 2018",-0.5186
"June 30, 2018",-1.694
"March 31, 2018",-1.842
"Dec. 31, 2017",-1.895
"Sept. 30, 2017",-1.618
"June 30, 2017",-0.8357
"March 31, 2017",-0.9223
"Dec. 31, 2016",-1.081
"Sept. 30, 2016",-1.250
"June 30, 2016",-1.136
"March 31, 2016",-1.042
"Dec. 31, 2015",-0.8974
"Sept. 30, 2015",-0.1442
"June 30, 2015",0.0742
"March 31, 2015",0.4689
"Dec. 31, 2014",0.7188
"Sept. 30, 2014",0.7721
"June 30, 2014",0.7625
"March 31, 2014",0.8305
"Dec. 31, 2013",1.021
"Sept. 30, 2013",1.040
"June 30, 2013",1.121
"March 31, 2013",0.9383
"Dec. 31, 2012",0.7467
"Sept. 30, 2012",0.5397
"June 30, 2012",0.4921
"March 31, 2012",0.5241
"Dec. 31, 2011",0.7266
"Sept. 30, 2011",1.093
"June 30, 2011",1.352
"March 31, 2011",1.304
"Dec. 31, 2010",1.206
"Sept. 30, 2010",1.355
"June 30, 2010",1.208
"March 31, 2010",1.085
"Dec. 31, 2009",0.8573
"Sept. 30, 2009",0.662
"June 30, 2009",0.8438
"March 31, 2009",1.18
"Dec. 31, 2008",1.496
"Sept. 30, 2008",1.763
"June 30, 2008",1.611
"March 31, 2008",1.530
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",1.446
"June 30, 2006",1.371
"March 31, 2006",1.241
"Dec. 31, 2005",1.160
"Sept. 30, 2005",1.038
"June 30, 2005",1.000
"March 31, 2005",1.048
"Dec. 31, 2004",1.164
"Sept. 30, 2004",1.087
"June 30, 2004",1.14
