date,times_interest_earned
"Dec. 31, 2019",1.582
"Sept. 30, 2019",1.901
"June 30, 2019",2.323
"March 31, 2019",1.967
"Dec. 31, 2018",1.551
"Sept. 30, 2018",-5.10
"June 30, 2018",-12.91
"March 31, 2018",-14.88
"Dec. 31, 2017",-16.78
"Sept. 30, 2017",-14.23
"June 30, 2017",-8.210
"March 31, 2017",-8.878
"Dec. 31, 2016",-10.40
"Sept. 30, 2016",-12.02
"June 30, 2016",-11.75
"March 31, 2016",-11.80
"Dec. 31, 2015",-11.49
"Sept. 30, 2015",-4.338
"June 30, 2015",-1.040
"March 31, 2015",4.382
"Dec. 31, 2014",8.542
"Sept. 30, 2014",8.547
"June 30, 2014",8.564
"March 31, 2014",10.40
"Dec. 31, 2013",12.26
"Sept. 30, 2013",12.32
"June 30, 2013",12.57
"March 31, 2013",10.65
"Dec. 31, 2012",8.964
"Sept. 30, 2012",7.158
"June 30, 2012",5.351
"March 31, 2012",5.180
"Dec. 31, 2011",6.849
"Sept. 30, 2011",8.733
"June 30, 2011",11.50
"March 31, 2011",11.19
"Dec. 31, 2010",10.17
"Sept. 30, 2010",11.41
"June 30, 2010",9.192
"March 31, 2010",7.616
"Dec. 31, 2009",5.228
"Sept. 30, 2009",3.429
"June 30, 2009",6.801
"March 31, 2009",12.87
"Dec. 31, 2008",18.59
"Sept. 30, 2008",30.03
"June 30, 2008",39.86
"March 31, 2008",66.63
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",67.33
"June 30, 2006",31.46
"March 31, 2006",17.36
"Dec. 31, 2005",10.83
"Sept. 30, 2005",9.173
"June 30, 2005",7.841
"March 31, 2005",7.486
"Dec. 31, 2004",9.777
"Sept. 30, 2004",12.52
"June 30, 2004",24.20
