date,days_inventory_outstanding
"Dec. 31, 2019",65.05
"Sept. 30, 2019",69.53
"June 30, 2019",68.49
"March 31, 2019",68.87
"Dec. 31, 2018",64.07
"Sept. 30, 2018",59.49
"June 30, 2018",57.27
"March 31, 2018",59.51
"Dec. 31, 2017",56.66
"Sept. 30, 2017",60.81
"June 30, 2017",60.43
"March 31, 2017",63.02
"Dec. 31, 2016",55.16
"Sept. 30, 2016",61.24
"June 30, 2016",63.02
"March 31, 2016",63.86
"Dec. 31, 2015",58.45
"Sept. 30, 2015",60.94
"June 30, 2015",59.95
"March 31, 2015",63.91
"Dec. 31, 2014",53.61
"Sept. 30, 2014",57.58
"June 30, 2014",55.77
"March 31, 2014",56.97
"Dec. 31, 2013",52.43
"Sept. 30, 2013",57.51
"June 30, 2013",55.79
"March 31, 2013",57.39
"Dec. 31, 2012",50.78
"Sept. 30, 2012",56.50
"June 30, 2012",55.93
"March 31, 2012",57.24
"Dec. 31, 2011",46.70
"Sept. 30, 2011",55.57
"June 30, 2011",58.11
"March 31, 2011",58.58
"Dec. 31, 2010",52.67
"Sept. 30, 2010",56.37
"June 30, 2010",54.78
"March 31, 2010",54.63
"Dec. 31, 2009",47.27
"Sept. 30, 2009",56.42
"June 30, 2009",59.34
"March 31, 2009",60.60
"Dec. 31, 2008",55.47
"Sept. 30, 2008",49.29
"June 30, 2008",50.74
"March 31, 2008",54.77
"Dec. 31, 2007",50.61
"Sept. 30, 2007",53.04
"June 30, 2007",53.11
"March 31, 2007",54.43
"Dec. 31, 2006",52.54
"Sept. 30, 2006",55.35
"June 30, 2006",55.34
"March 31, 2006",57.28
"Dec. 31, 2005",55.03
"Sept. 30, 2005",58.29
"June 30, 2005",56.10
"March 31, 2005",58.81
"Dec. 31, 2004",51.65
"Sept. 30, 2004",54.50
"June 30, 2004",53.17
"March 31, 2004",56.73
"Dec. 31, 2003",54.78
"Sept. 30, 2003",60.56
"June 30, 2003",61.70
"March 31, 2003",64.59
"Dec. 31, 2002",57.46
"Sept. 30, 2002",68.36
"June 30, 2002",67.61
"March 31, 2002",74.33
"Dec. 31, 2001",65.13
"Sept. 30, 2001",64.19
"June 30, 2001",68.16
"March 31, 2001",69.40
"Dec. 31, 2000",67.51
"Sept. 30, 2000",71.49
"June 30, 2000",73.14
"March 31, 2000",73.62
"Dec. 31, 1999",51.51
"Sept. 30, 1999",46.59
"June 30, 1999",46.26
"March 31, 1999",63.13
"Dec. 31, 1998",29.61
"Sept. 30, 1998",78.05
"June 30, 1998",73.32
"March 31, 1998",71.84
"Dec. 31, 1997",21.16
"Sept. 30, 1997",69.40
"June 30, 1997",68.98
"March 31, 1997",69.99
"Dec. 31, 1996",65.88
"Sept. 30, 1996",70.93
"June 30, 1996",58.12
"March 31, 1996",62.32
"Dec. 31, 1995",58.88
"Sept. 30, 1995",63.84
"June 30, 1995",59.71
"March 31, 1995",60.12
"Dec. 31, 1994",54.95
"Sept. 30, 1994",61.74
"June 30, 1994",61.73
"March 31, 1994",66.27
"Dec. 31, 1993",57.05
"Sept. 30, 1993",78.95
"June 30, 1993",72.78
"March 31, 1993",76.73
"Dec. 31, 1992",72.30
"Sept. 30, 1992",77.42
"June 30, 1992",74.17
"March 31, 1992",77.83
"Dec. 31, 1991",77.54
"Sept. 30, 1991",82.39
"June 30, 1991",80.49
"March 31, 1991",84.66
"Dec. 31, 1990",78.45
"Sept. 30, 1990",85.40
"June 30, 1990",79.67
"March 31, 1990",81.61
"Dec. 31, 1989",79.07
