date,days_sales_outstanding
"Dec. 31, 2019",72.44
"Sept. 30, 2019",75.27
"June 30, 2019",72.63
"March 31, 2019",76.08
"Dec. 31, 2018",75.39
"Sept. 30, 2018",72.78
"June 30, 2018",72.61
"March 31, 2018",77.46
"Dec. 31, 2017",73.44
"Sept. 30, 2017",76.77
"June 30, 2017",75.14
"March 31, 2017",78.50
"Dec. 31, 2016",76.78
"Sept. 30, 2016",80.77
"June 30, 2016",78.21
"March 31, 2016",78.93
"Dec. 31, 2015",73.18
"Sept. 30, 2015",76.78
"June 30, 2015",76.52
"March 31, 2015",79.82
"Dec. 31, 2014",72.33
"Sept. 30, 2014",75.22
"June 30, 2014",73.12
"March 31, 2014",75.47
"Dec. 31, 2013",69.75
"Sept. 30, 2013",73.80
"June 30, 2013",71.73
"March 31, 2013",73.44
"Dec. 31, 2012",70.56
"Sept. 30, 2012",72.59
"June 30, 2012",71.29
"March 31, 2012",71.06
"Dec. 31, 2011",70.05
"Sept. 30, 2011",71.94
"June 30, 2011",73.04
"March 31, 2011",75.07
"Dec. 31, 2010",72.92
"Sept. 30, 2010",75.18
"June 30, 2010",72.98
"March 31, 2010",73.10
"Dec. 31, 2009",72.00
"Sept. 30, 2009",75.54
"June 30, 2009",72.07
"March 31, 2009",71.10
"Dec. 31, 2008",68.50
"Sept. 30, 2008",68.85
"June 30, 2008",64.38
"March 31, 2008",66.63
"Dec. 31, 2007",63.20
"Sept. 30, 2007",65.70
"June 30, 2007",64.08
"March 31, 2007",65.89
"Dec. 31, 2006",63.19
"Sept. 30, 2006",63.97
"June 30, 2006",61.24
"March 31, 2006",64.22
"Dec. 31, 2005",61.38
"Sept. 30, 2005",61.70
"June 30, 2005",58.32
"March 31, 2005",61.32
"Dec. 31, 2004",57.22
"Sept. 30, 2004",56.93
"June 30, 2004",55.66
"March 31, 2004",55.62
"Dec. 31, 2003",51.60
"Sept. 30, 2003",53.05
"June 30, 2003",52.78
"March 31, 2003",55.44
"Dec. 31, 2002",52.52
"Sept. 30, 2002",57.92
"June 30, 2002",56.71
"March 31, 2002",61.87
"Dec. 31, 2001",59.25
"Sept. 30, 2001",63.86
"June 30, 2001",62.24
"March 31, 2001",67.36
"Dec. 31, 2000",62.10
"Sept. 30, 2000",60.19
"June 30, 2000",57.60
"March 31, 2000",59.05
"Dec. 31, 1999",43.56
"Sept. 30, 1999",28.89
"June 30, 1999",27.99
"March 31, 1999",46.72
"Dec. 31, 1998",20.80
"Sept. 30, 1998",42.88
"June 30, 1998",44.23
"March 31, 1998",47.90
"Dec. 31, 1997",13.43
"Sept. 30, 1997",40.21
"June 30, 1997",41.19
"March 31, 1997",45.21
"Dec. 31, 1996",44.16
"Sept. 30, 1996",50.04
"June 30, 1996",51.51
"March 31, 1996",43.27
"Dec. 31, 1995",42.42
"Sept. 30, 1995",47.29
"June 30, 1995",46.61
"March 31, 1995",47.48
"Dec. 31, 1994",41.78
"Sept. 30, 1994",45.04
"June 30, 1994",42.69
"March 31, 1994",42.69
"Dec. 31, 1993",40.28
"Sept. 30, 1993",46.26
"June 30, 1993",45.46
"March 31, 1993",48.14
"Dec. 31, 1992",47.21
"Sept. 30, 1992",50.99
"June 30, 1992",47.64
"March 31, 1992",46.01
"Dec. 31, 1991",44.06
"Sept. 30, 1991",47.80
"June 30, 1991",46.42
"March 31, 1991",47.06
"Dec. 31, 1990",44.30
"Sept. 30, 1990",49.51
"June 30, 1990",45.44
"March 31, 1990",44.82
"Dec. 31, 1989",42.43
"Sept. 30, 1989",22.61
"June 30, 1989",0.00
"March 31, 1989",23.14
"Dec. 31, 1988",22.64
"Sept. 30, 1988",0.00
"June 30, 1988",0.00
"March 31, 1988",23.15
"Dec. 31, 1987",23.06
"Sept. 30, 1987",0.00
"June 30, 1987",0.00
"March 31, 1987",25.97
"Dec. 31, 1986",22.56
"Sept. 30, 1986",0.00
"June 30, 1986",0.00
"March 31, 1986",22.07
"Dec. 31, 1985",24.55
"Sept. 30, 1985",0.00
"June 30, 1985",0.00
"March 31, 1985",18.93
"Dec. 31, 1984",20.21
"Sept. 30, 1984",0.00
"June 30, 1984",0.00
