date,earning_yield
"March 19, 2020",7.07%
"March 18, 2020",7.03%
"March 17, 2020",6.38%
"March 16, 2020",6.22%
"March 13, 2020",5.63%
"March 12, 2020",6.24%
"March 11, 2020",5.48%
"March 10, 2020",5.20%
"March 9, 2020",5.50%
"March 6, 2020",5.13%
"March 5, 2020",5.10%
"March 4, 2020",4.91%
"March 3, 2020",5.19%
"March 2, 2020",5.12%
"Feb. 28, 2020",5.19%
"Feb. 27, 2020",5.27%
"Feb. 26, 2020",5.03%
"Feb. 25, 2020",5.01%
"Feb. 24, 2020",4.80%
"Feb. 21, 2020",4.68%
"Feb. 20, 2020",4.65%
"Feb. 19, 2020",4.65%
"Feb. 18, 2020",4.69%
"Feb. 14, 2020",4.65%
"Feb. 13, 2020",4.67%
"Feb. 12, 2020",4.64%
"Feb. 11, 2020",4.69%
"Feb. 10, 2020",4.75%
"Feb. 7, 2020",4.80%
"Feb. 6, 2020",4.77%
"Feb. 5, 2020",4.75%
"Feb. 4, 2020",4.80%
"Feb. 3, 2020",4.91%
"Jan. 31, 2020",4.86%
"Jan. 30, 2020",4.72%
"Jan. 29, 2020",4.79%
"Jan. 28, 2020",4.79%
"Jan. 27, 2020",4.85%
"Jan. 24, 2020",4.75%
"Jan. 23, 2020",4.68%
"Jan. 22, 2020",4.67%
"Jan. 21, 2020",4.65%
"Jan. 17, 2020",4.59%
"Jan. 16, 2020",4.61%
"Jan. 15, 2020",4.65%
"Jan. 14, 2020",4.66%
"Jan. 13, 2020",4.64%
"Jan. 10, 2020",4.71%
"Jan. 9, 2020",4.70%
"Jan. 8, 2020",4.73%
"Jan. 7, 2020",4.74%
"Jan. 6, 2020",4.74%
"Jan. 3, 2020",4.70%
"Jan. 2, 2020",4.65%
"Dec. 31, 2019",4.75%
"Dec. 30, 2019",4.85%
"Dec. 27, 2019",4.85%
"Dec. 26, 2019",4.84%
"Dec. 24, 2019",4.86%
"Dec. 23, 2019",4.85%
"Dec. 20, 2019",4.85%
"Dec. 19, 2019",4.85%
"Dec. 18, 2019",4.90%
"Dec. 17, 2019",4.84%
"Dec. 16, 2019",4.85%
"Dec. 13, 2019",4.84%
"Dec. 12, 2019",4.83%
"Dec. 11, 2019",4.86%
"Dec. 10, 2019",4.92%
"Dec. 9, 2019",4.91%
"Dec. 6, 2019",4.88%
"Dec. 5, 2019",4.92%
"Dec. 4, 2019",4.94%
"Dec. 3, 2019",4.96%
"Dec. 2, 2019",4.91%
"Nov. 29, 2019",4.79%
"Nov. 27, 2019",4.77%
"Nov. 26, 2019",4.80%
"Nov. 25, 2019",4.85%
"Nov. 22, 2019",4.84%
"Nov. 21, 2019",4.85%
"Nov. 20, 2019",4.83%
"Nov. 19, 2019",4.75%
"Nov. 18, 2019",4.76%
"Nov. 15, 2019",4.71%
"Nov. 14, 2019",4.76%
"Nov. 13, 2019",4.70%
"Nov. 12, 2019",4.70%
"Nov. 11, 2019",4.73%
"Nov. 8, 2019",4.72%
"Nov. 7, 2019",4.76%
"Nov. 6, 2019",4.73%
"Nov. 5, 2019",4.74%
"Nov. 4, 2019",4.76%
"Nov. 1, 2019",4.86%
"Oct. 31, 2019",4.96%
"Oct. 30, 2019",4.90%
"Oct. 29, 2019",4.94%
"Oct. 28, 2019",4.96%
"Oct. 25, 2019",4.99%
"Oct. 24, 2019",4.99%
"Oct. 23, 2019",5.04%
"Oct. 22, 2019",5.07%
"Oct. 21, 2019",5.07%
"Oct. 18, 2019",5.17%
"Oct. 17, 2019",5.11%
"Oct. 16, 2019",5.23%
"Oct. 15, 2019",5.23%
"Oct. 14, 2019",5.25%
"Oct. 11, 2019",5.23%
"Oct. 10, 2019",5.32%
"Oct. 9, 2019",5.36%
"Oct. 8, 2019",5.40%
"Oct. 7, 2019",5.25%
"Oct. 4, 2019",5.23%
"Oct. 3, 2019",5.30%
"Oct. 2, 2019",5.31%
"Oct. 1, 2019",5.21%
"Sept. 30, 2019",5.06%
"Sept. 27, 2019",5.62%
"Sept. 26, 2019",5.65%
"Sept. 25, 2019",5.66%
"Sept. 24, 2019",5.70%
"Sept. 23, 2019",5.65%
"Sept. 20, 2019",5.61%
"Sept. 19, 2019",5.66%
"Sept. 18, 2019",5.62%
"Sept. 17, 2019",5.67%
"Sept. 16, 2019",5.68%
"Sept. 13, 2019",5.63%
"Sept. 12, 2019",5.60%
"Sept. 11, 2019",5.51%
"Sept. 10, 2019",5.57%
"Sept. 9, 2019",5.56%
"Sept. 6, 2019",5.52%
"Sept. 5, 2019",5.54%
"Sept. 4, 2019",5.65%
"Sept. 3, 2019",5.77%
"Aug. 30, 2019",5.73%
"Aug. 29, 2019",5.77%
"Aug. 28, 2019",5.92%
"Aug. 27, 2019",5.99%
"Aug. 26, 2019",6.02%
"Aug. 23, 2019",6.03%
"Aug. 22, 2019",5.80%
"Aug. 21, 2019",5.76%
"Aug. 20, 2019",5.77%
"Aug. 19, 2019",5.69%
"Aug. 16, 2019",5.72%
"Aug. 15, 2019",5.82%
"Aug. 14, 2019",5.75%
"Aug. 13, 2019",5.62%
"Aug. 12, 2019",5.72%
"Aug. 9, 2019",5.66%
"Aug. 8, 2019",5.65%
"Aug. 7, 2019",5.78%
"Aug. 6, 2019",5.74%
"Aug. 5, 2019",5.83%
"Aug. 2, 2019",5.62%
"Aug. 1, 2019",5.57%
"July 31, 2019",5.47%
"July 30, 2019",5.43%
"July 29, 2019",5.41%
"July 26, 2019",5.44%
"July 25, 2019",5.43%
"July 24, 2019",5.43%
"July 23, 2019",5.40%
"July 22, 2019",5.44%
"July 19, 2019",5.46%
"July 18, 2019",5.43%
"July 17, 2019",5.60%
"July 16, 2019",5.40%
"July 15, 2019",5.39%
"July 12, 2019",5.33%
"July 11, 2019",5.41%
"July 10, 2019",5.41%
"July 9, 2019",5.38%
"July 8, 2019",5.37%
"July 5, 2019",5.35%
"July 3, 2019",5.29%
"July 2, 2019",5.34%
"July 1, 2019",5.34%
"June 30, 2019",5.41%
"June 28, 2019",5.17%
"June 27, 2019",5.19%
"June 26, 2019",5.20%
"June 25, 2019",5.19%
"June 24, 2019",5.17%
"June 21, 2019",5.17%
"June 20, 2019",5.12%
"June 19, 2019",5.14%
"June 18, 2019",5.13%
"June 17, 2019",5.23%
"June 14, 2019",5.22%
"June 13, 2019",5.21%
"June 12, 2019",5.22%
"June 11, 2019",5.25%
"June 10, 2019",5.27%
"June 7, 2019",5.24%
"June 6, 2019",5.30%
"June 5, 2019",5.32%
"June 4, 2019",5.36%
"June 3, 2019",5.42%
"May 31, 2019",5.49%
"May 30, 2019",5.45%
"May 29, 2019",5.49%
"May 28, 2019",5.46%
"May 24, 2019",5.41%
"May 23, 2019",5.42%
"May 22, 2019",5.33%
"May 21, 2019",5.32%
"May 20, 2019",5.35%
"May 17, 2019",5.31%
"May 16, 2019",5.28%
"May 15, 2019",5.33%
"May 14, 2019",5.36%
"May 13, 2019",5.41%
"May 10, 2019",5.26%
"May 9, 2019",5.29%
"May 8, 2019",5.29%
"May 7, 2019",5.31%
"May 6, 2019",5.23%
"May 3, 2019",5.20%
"May 2, 2019",5.26%
"May 1, 2019",5.28%
"April 30, 2019",5.20%
"April 29, 2019",5.23%
"April 26, 2019",5.24%
"April 25, 2019",5.29%
"April 24, 2019",5.27%
"April 23, 2019",5.25%
"April 22, 2019",5.36%
"April 18, 2019",5.34%
"April 17, 2019",5.54%
"April 16, 2019",5.54%
"April 15, 2019",5.57%
"April 12, 2019",5.55%
"April 11, 2019",5.61%
"April 10, 2019",5.64%
"April 9, 2019",5.61%
"April 8, 2019",5.57%
"April 5, 2019",5.58%
"April 4, 2019",5.60%
"April 3, 2019",5.63%
"April 2, 2019",5.60%
"April 1, 2019",5.59%
"March 31, 2019",5.68%
"March 29, 2019",5.66%
"March 28, 2019",5.67%
"March 27, 2019",5.72%
"March 26, 2019",5.71%
"March 25, 2019",5.77%
"March 22, 2019",5.77%
"March 21, 2019",5.67%
"March 20, 2019",5.75%
"March 19, 2019",5.72%
"March 18, 2019",5.73%
"March 15, 2019",5.79%
"March 14, 2019",5.79%
"March 13, 2019",5.80%
"March 12, 2019",5.86%
"March 11, 2019",5.87%
"March 8, 2019",5.93%
"March 7, 2019",5.90%
"March 6, 2019",5.85%
"March 5, 2019",5.83%
"March 4, 2019",5.82%
"March 1, 2019",5.77%
"Feb. 28, 2019",5.84%
"Feb. 27, 2019",5.82%
"Feb. 26, 2019",5.84%
"Feb. 25, 2019",5.84%
"Feb. 22, 2019",5.87%
"Feb. 21, 2019",5.89%
"Feb. 20, 2019",5.82%
"Feb. 19, 2019",5.87%
"Feb. 15, 2019",5.86%
"Feb. 14, 2019",5.97%
"Feb. 13, 2019",5.93%
"Feb. 12, 2019",5.98%
"Feb. 11, 2019",6.05%
"Feb. 8, 2019",6.05%
"Feb. 7, 2019",6.07%
"Feb. 6, 2019",6.04%
"Feb. 5, 2019",6.05%
"Feb. 4, 2019",6.08%
"Feb. 1, 2019",6.21%
"Jan. 31, 2019",6.26%
"Jan. 30, 2019",6.27%
"Jan. 29, 2019",6.34%
"Jan. 28, 2019",6.40%
"Jan. 25, 2019",6.34%
"Jan. 24, 2019",6.37%
"Jan. 23, 2019",6.39%
"Jan. 22, 2019",6.43%
"Jan. 18, 2019",6.34%
"Jan. 17, 2019",6.43%
"Jan. 16, 2019",6.51%
"Jan. 15, 2019",6.53%
"Jan. 14, 2019",6.53%
"Jan. 11, 2019",6.54%
"Jan. 10, 2019",6.53%
"Jan. 9, 2019",6.62%
"Jan. 8, 2019",6.65%
"Jan. 7, 2019",6.64%
"Jan. 4, 2019",6.68%
"Jan. 3, 2019",6.91%
"Jan. 2, 2019",6.82%
"Dec. 31, 2018",6.80%
"Dec. 28, 2018",2.68%
"Dec. 27, 2018",2.66%
"Dec. 26, 2018",2.70%
"Dec. 24, 2018",2.80%
"Dec. 21, 2018",2.70%
"Dec. 20, 2018",2.68%
"Dec. 19, 2018",2.63%
"Dec. 18, 2018",2.59%
"Dec. 17, 2018",2.60%
"Dec. 14, 2018",2.57%
"Dec. 13, 2018",2.52%
"Dec. 12, 2018",2.53%
"Dec. 11, 2018",2.56%
"Dec. 10, 2018",2.54%
"Dec. 7, 2018",2.52%
"Dec. 6, 2018",2.47%
"Dec. 4, 2018",2.45%
"Dec. 3, 2018",2.35%
"Nov. 30, 2018",2.38%
"Nov. 29, 2018",2.40%
"Nov. 28, 2018",2.43%
"Nov. 27, 2018",2.45%
"Nov. 26, 2018",2.44%
"Nov. 23, 2018",2.44%
"Nov. 21, 2018",2.43%
"Nov. 20, 2018",2.43%
"Nov. 19, 2018",2.37%
"Nov. 16, 2018",2.36%
"Nov. 15, 2018",2.37%
"Nov. 14, 2018",2.37%
"Nov. 13, 2018",2.37%
"Nov. 12, 2018",2.36%
"Nov. 9, 2018",2.33%
"Nov. 8, 2018",2.32%
"Nov. 7, 2018",2.33%
"Nov. 6, 2018",2.36%
"Nov. 5, 2018",2.38%
"Nov. 2, 2018",2.41%
"Nov. 1, 2018",2.42%
"Oct. 31, 2018",2.42%
"Oct. 30, 2018",2.45%
"Oct. 29, 2018",2.48%
"Oct. 26, 2018",2.40%
"Oct. 25, 2018",2.37%
"Oct. 24, 2018",2.41%
"Oct. 23, 2018",2.32%
"Oct. 22, 2018",2.29%
"Oct. 19, 2018",2.28%
"Oct. 18, 2018",2.26%
"Oct. 17, 2018",2.21%
"Oct. 16, 2018",2.19%
"Oct. 15, 2018",2.24%
"Oct. 12, 2018",2.24%
"Oct. 11, 2018",2.28%
"Oct. 10, 2018",2.23%
"Oct. 9, 2018",2.17%
"Oct. 8, 2018",2.12%
"Oct. 5, 2018",2.13%
"Oct. 4, 2018",2.12%
"Oct. 3, 2018",2.12%
"Oct. 2, 2018",2.11%
"Oct. 1, 2018",2.10%
"Sept. 30, 2018",2.13%
"Sept. 28, 2018",1.29%
"Sept. 27, 2018",1.30%
"Sept. 26, 2018",1.30%
"Sept. 25, 2018",1.30%
"Sept. 24, 2018",1.30%
"Sept. 21, 2018",1.29%
"Sept. 20, 2018",1.29%
"Sept. 19, 2018",1.30%
"Sept. 18, 2018",1.30%
"Sept. 17, 2018",1.30%
"Sept. 14, 2018",1.30%
"Sept. 13, 2018",1.30%
"Sept. 12, 2018",1.31%
"Sept. 11, 2018",1.32%
"Sept. 10, 2018",1.32%
"Sept. 7, 2018",1.32%
"Sept. 6, 2018",1.31%
"Sept. 5, 2018",1.33%
"Sept. 4, 2018",1.35%
"Aug. 31, 2018",1.35%
"Aug. 30, 2018",1.35%
"Aug. 29, 2018",1.34%
