date,eps_est_0y
"March 19, 2020",8.668
"March 18, 2020",8.701
"March 17, 2020",8.733
"March 16, 2020",8.765
"March 13, 2020",8.804
"March 12, 2020",8.798
"March 11, 2020",8.810
"March 10, 2020",8.814
"March 6, 2020",8.812
"March 5, 2020",8.817
"March 3, 2020",8.81
"Feb. 21, 2020",8.816
"Feb. 5, 2020",8.818
"Feb. 4, 2020",8.819
"Feb. 3, 2020",8.817
"Feb. 2, 2020",8.792
"Jan. 31, 2020",8.790
"Jan. 30, 2020",8.790
"Jan. 22, 2020",8.790
"Jan. 20, 2020",8.797
"Jan. 15, 2020",8.785
"Jan. 14, 2020",8.785
"Jan. 13, 2020",8.789
"Jan. 12, 2020",8.789
"Jan. 9, 2020",8.789
"Jan. 6, 2020",8.788
"Dec. 31, 2019",8.138
"Dec. 12, 2019",8.137
"Dec. 4, 2019",8.138
"Nov. 22, 2019",8.138
"Oct. 31, 2019",8.138
"Oct. 18, 2019",8.138
"Oct. 17, 2019",8.130
"Oct. 14, 2019",8.09
"Oct. 11, 2019",8.091
"Oct. 10, 2019",8.094
"Oct. 9, 2019",8.098
"Oct. 3, 2019",8.100
"Sept. 27, 2019",8.102
"Sept. 23, 2019",8.103
"Sept. 18, 2019",8.105
"Sept. 9, 2019",8.108
"Aug. 2, 2019",8.106
"July 30, 2019",8.107
"July 22, 2019",8.100
"July 19, 2019",8.102
"July 18, 2019",8.098
"July 10, 2019",8.104
"July 9, 2019",8.104
"June 30, 2019",8.099
"June 21, 2019",8.102
"June 19, 2019",8.104
"May 17, 2019",8.105
"May 16, 2019",8.104
"May 15, 2019",8.094
"May 10, 2019",8.094
"May 8, 2019",8.084
"May 6, 2019",8.084
"May 3, 2019",8.084
"April 24, 2019",8.082
"April 22, 2019",8.084
"April 21, 2019",8.034
"April 18, 2019",8.032
"April 17, 2019",7.986
"April 16, 2019",7.986
"April 12, 2019",7.986
"April 3, 2019",7.986
"March 27, 2019",7.986
"March 24, 2019",7.984
"March 18, 2019",7.985
"March 14, 2019",7.980
"Feb. 27, 2019",7.970
"Feb. 16, 2019",7.971
"Feb. 13, 2019",7.973
"Feb. 7, 2019",7.971
"Feb. 5, 2019",7.960
"Feb. 4, 2019",7.961
"Feb. 3, 2019",7.938
"Feb. 1, 2019",7.948
"Jan. 25, 2019",7.868
"Jan. 24, 2019",7.868
"Jan. 19, 2019",7.869
"Jan. 16, 2019",7.878
"Jan. 15, 2019",7.880
"Jan. 11, 2019",7.880
"Jan. 10, 2019",7.881
"Jan. 9, 2019",7.881
"Jan. 8, 2019",7.885
"Jan. 7, 2019",7.886
"Jan. 4, 2019",7.895
"Jan. 3, 2019",7.897
"Dec. 31, 2018",7.988
"Dec. 18, 2018",7.990
"Dec. 17, 2018",7.99
"Dec. 16, 2018",7.990
"Dec. 4, 2018",7.988
"Nov. 28, 2018",7.987
"Nov. 2, 2018",7.988
"Oct. 30, 2018",7.988
"Oct. 29, 2018",7.988
"Oct. 23, 2018",7.989
"Oct. 22, 2018",7.989
"Oct. 21, 2018",8.008
"Oct. 19, 2018",8.015
"Oct. 18, 2018",8.165
"Oct. 17, 2018",8.158
"Oct. 15, 2018",8.161
"Oct. 14, 2018",8.142
"Oct. 13, 2018",8.150
"Oct. 12, 2018",8.150
"Oct. 11, 2018",8.149
"Oct. 10, 2018",8.149
"Oct. 8, 2018",8.147
"Oct. 2, 2018",8.158
"Oct. 1, 2018",8.157
"Sept. 28, 2018",8.154
"Sept. 25, 2018",8.152
"Sept. 21, 2018",8.149
"Sept. 13, 2018",8.155
"Sept. 6, 2018",8.152
"Aug. 29, 2018",8.149
"Aug. 28, 2018",8.148
"Aug. 24, 2018",8.145
"Aug. 23, 2018",8.141
"Aug. 21, 2018",8.141
"Aug. 4, 2018",8.139
"July 24, 2018",8.140
"July 23, 2018",8.143
"July 22, 2018",8.122
"July 20, 2018",8.115
"July 18, 2018",8.024
"July 16, 2018",8.027
"July 13, 2018",8.025
"July 12, 2018",8.026
"July 11, 2018",8.026
"July 10, 2018",8.026
"July 9, 2018",8.029
"May 18, 2018",8.030
"April 30, 2018",8.030
"April 24, 2018",8.031
"April 23, 2018",8.019
"April 22, 2018",7.999
"April 21, 2018",7.989
"April 20, 2018",7.983
"April 18, 2018",7.95
"April 3, 2018",7.951
"March 29, 2018",7.944
"March 27, 2018",7.947
"March 5, 2018",7.943
"March 1, 2018",7.943
"Feb. 21, 2018",7.958
"Feb. 14, 2018",7.958
"Feb. 6, 2018",7.956
"Jan. 31, 2018",7.944
"Jan. 29, 2018",7.936
"Jan. 28, 2018",7.899
"Jan. 27, 2018",7.880
"Jan. 26, 2018",7.880
"Jan. 24, 2018",7.845
"Jan. 23, 2018",7.845
"Jan. 18, 2018",7.841
"Jan. 11, 2018",7.830
"Jan. 5, 2018",7.830
"Jan. 3, 2018",7.789
