date,one_year_return
"March 19, 2020",-24.34%
"March 18, 2020",-23.78%
"March 17, 2020",-15.16%
"March 16, 2020",-12.93%
"March 13, 2020",-3.63%
"March 12, 2020",-12.15%
"March 11, 2020",0.13%
"March 10, 2020",6.66%
"March 9, 2020",0.84%
"March 6, 2020",6.69%
"March 5, 2020",6.99%
"March 4, 2020",10.80%
"March 3, 2020",3.96%
"March 2, 2020",5.47%
"Feb. 28, 2020",5.26%
"Feb. 27, 2020",3.20%
"Feb. 26, 2020",8.61%
"Feb. 25, 2020",8.92%
"Feb. 24, 2020",14.41%
"Feb. 21, 2020",17.87%
"Feb. 20, 2020",16.90%
"Feb. 19, 2020",17.99%
"Feb. 18, 2020",17.02%
"Feb. 14, 2020",20.12%
"Feb. 13, 2020",18.91%
"Feb. 12, 2020",20.50%
"Feb. 11, 2020",20.66%
"Feb. 10, 2020",19.07%
"Feb. 7, 2020",18.31%
"Feb. 6, 2020",18.44%
"Feb. 5, 2020",18.97%
"Feb. 4, 2020",18.44%
"Feb. 3, 2020",18.39%
"Jan. 31, 2020",20.60%
"Jan. 30, 2020",24.47%
"Jan. 29, 2020",23.94%
"Jan. 28, 2020",24.90%
"Jan. 27, 2020",22.46%
"Jan. 24, 2020",25.46%
"Jan. 23, 2020",27.60%
"Jan. 22, 2020",28.77%
"Jan. 21, 2020",27.55%
"Jan. 17, 2020",30.99%
"Jan. 16, 2020",32.05%
"Jan. 15, 2020",31.18%
"Jan. 14, 2020",31.13%
"Jan. 13, 2020",31.97%
"Jan. 10, 2020",29.71%
"Jan. 9, 2020",31.94%
"Jan. 8, 2020",31.59%
"Jan. 7, 2020",31.20%
"Jan. 6, 2020",31.86%
"Jan. 3, 2020",37.51%
"Jan. 2, 2020",37.14%
"Dec. 31, 2019",33.97%
"Dec. 30, 2019",34.92%
"Dec. 27, 2019",34.13%
"Dec. 26, 2019",36.51%
"Dec. 24, 2019",41.24%
"Dec. 23, 2019",36.30%
"Dec. 20, 2019",35.00%
"Dec. 19, 2019",32.45%
"Dec. 18, 2019",29.19%
"Dec. 17, 2019",31.49%
"Dec. 16, 2019",29.29%
"Dec. 13, 2019",27.49%
"Dec. 12, 2019",28.27%
"Dec. 11, 2019",28.65%
"Dec. 10, 2019",26.16%
"Dec. 9, 2019",25.79%
"Dec. 6, 2019",23.95%
"Dec. 5, 2019",21.96%
"Dec. 4, 2019",21.40%
"Dec. 3, 2019",15.82%
"Dec. 2, 2019",18.79%
"Nov. 29, 2019",22.51%
"Nov. 27, 2019",25.57%
"Nov. 26, 2019",24.65%
"Nov. 25, 2019",23.21%
"Nov. 22, 2019",22.69%
"Nov. 21, 2019",22.51%
"Nov. 20, 2019",23.03%
"Nov. 19, 2019",22.14%
"Nov. 18, 2019",21.04%
"Nov. 15, 2019",23.00%
"Nov. 14, 2019",21.77%
"Nov. 13, 2019",23.21%
"Nov. 12, 2019",22.87%
"Nov. 11, 2019",20.30%
"Nov. 8, 2019",20.37%
"Nov. 7, 2019",19.61%
"Nov. 6, 2019",21.80%
"Nov. 5, 2019",22.76%
"Nov. 4, 2019",23.73%
"Nov. 1, 2019",21.92%
"Oct. 31, 2019",19.27%
"Oct. 30, 2019",22.13%
"Oct. 29, 2019",22.76%
"Oct. 28, 2019",18.24%
"Oct. 25, 2019",16.38%
"Oct. 24, 2019",17.97%
"Oct. 23, 2019",12.78%
"Oct. 22, 2019",10.70%
"Oct. 21, 2019",10.08%
"Oct. 18, 2019",6.69%
"Oct. 17, 2019",5.99%
"Oct. 16, 2019",2.55%
"Oct. 15, 2019",4.76%
"Oct. 14, 2019",4.34%
"Oct. 11, 2019",6.45%
"Oct. 10, 2019",2.78%
"Oct. 9, 2019",-0.68%
"Oct. 8, 2019",-3.78%
"Oct. 7, 2019",-0.54%
"Oct. 4, 2019",-0.66%
"Oct. 3, 2019",-2.33%
"Oct. 2, 2019",-2.98%
"Oct. 1, 2019",-1.35%
"Sept. 30, 2019",2.83%
"Sept. 27, 2019",2.76%
"Sept. 26, 2019",1.90%
"Sept. 25, 2019",1.96%
"Sept. 24, 2019",1.31%
"Sept. 23, 2019",1.00%
"Sept. 20, 2019",2.20%
"Sept. 19, 2019",1.72%
"Sept. 18, 2019",2.24%
"Sept. 17, 2019",1.56%
"Sept. 16, 2019",1.80%
"Sept. 13, 2019",2.34%
"Sept. 12, 2019",4.05%
"Sept. 11, 2019",6.22%
"Sept. 10, 2019",4.99%
"Sept. 9, 2019",5.38%
"Sept. 6, 2019",5.53%
"Sept. 5, 2019",6.49%
"Sept. 4, 2019",5.88%
"Sept. 3, 2019",3.97%
"Aug. 30, 2019",4.40%
"Aug. 29, 2019",3.21%
"Aug. 28, 2019",0.78%
"Aug. 27, 2019",-0.06%
"Aug. 26, 2019",0.74%
"Aug. 23, 2019",0.21%
"Aug. 22, 2019",5.51%
"Aug. 21, 2019",5.51%
"Aug. 20, 2019",6.33%
"Aug. 19, 2019",8.09%
"Aug. 16, 2019",8.30%
"Aug. 15, 2019",7.13%
"Aug. 14, 2019",7.63%
"Aug. 13, 2019",11.50%
"Aug. 12, 2019",8.98%
"Aug. 9, 2019",9.47%
"Aug. 8, 2019",8.82%
"Aug. 7, 2019",5.67%
"Aug. 6, 2019",7.36%
"Aug. 5, 2019",5.67%
"Aug. 2, 2019",8.98%
"Aug. 1, 2019",9.28%
"July 31, 2019",9.24%
"July 30, 2019",12.07%
"July 29, 2019",10.76%
"July 26, 2019",10.33%
"July 25, 2019",11.20%
"July 24, 2019",13.38%
"July 23, 2019",15.05%
"July 22, 2019",14.63%
"July 19, 2019",18.57%
"July 18, 2019",17.89%
"July 17, 2019",14.83%
"July 16, 2019",20.73%
"July 15, 2019",19.98%
"July 12, 2019",21.12%
"July 11, 2019",22.13%
"July 10, 2019",19.17%
"July 9, 2019",20.40%
"July 8, 2019",21.91%
"July 5, 2019",23.22%
"July 3, 2019",24.47%
"July 2, 2019",23.34%
"July 1, 2019",24.12%
"June 28, 2019",23.35%
"June 27, 2019",22.81%
"June 26, 2019",21.90%
"June 25, 2019",22.12%
"June 24, 2019",22.62%
"June 21, 2019",22.44%
"June 20, 2019",21.65%
"June 19, 2019",20.44%
"June 18, 2019",18.52%
"June 17, 2019",16.02%
"June 14, 2019",15.58%
"June 13, 2019",15.35%
"June 12, 2019",14.83%
