date,return_on_assets
"Dec. 31, 2019",10.49%
"Sept. 30, 2019",10.64%
"June 30, 2019",11.86%
"March 31, 2019",11.27%
"Dec. 31, 2018",11.28%
"Sept. 30, 2018",4.22%
"June 30, 2018",2.62%
"March 31, 2018",2.88%
"Dec. 31, 2017",2.75%
"Sept. 30, 2017",9.28%
"June 30, 2017",9.27%
"March 31, 2017",9.32%
"Dec. 31, 2016",9.31%
"Sept. 30, 2016",9.90%
"June 30, 2016",10.24%
"March 31, 2016",10.22%
"Dec. 31, 2015",10.22%
"Sept. 30, 2015",9.85%
"June 30, 2015",9.64%
"March 31, 2015",9.46%
"Dec. 31, 2014",9.24%
"Sept. 30, 2014",9.26%
"June 30, 2014",9.03%
"March 31, 2014",9.05%
"Dec. 31, 2013",9.10%
"Sept. 30, 2013",7.64%
"June 30, 2013",7.70%
"March 31, 2013",7.48%
"Dec. 31, 2012",7.20%
"Sept. 30, 2012",5.89%
"June 30, 2012",5.71%
"March 31, 2012",5.51%
"Dec. 31, 2011",5.28%
"Sept. 30, 2011",7.08%
"June 30, 2011",6.51%
"March 31, 2011",5.98%
"Dec. 31, 2010",5.49%
"Sept. 30, 2010",4.80%
"June 30, 2010",4.90%
"March 31, 2010",4.63%
"Dec. 31, 2009",4.38%
"Sept. 30, 2009",6.08%
"June 30, 2009",6.35%
"March 31, 2009",7.13%
"Dec. 31, 2008",7.84%
"Sept. 30, 2008",7.90%
"June 30, 2008",7.85%
"March 31, 2008",7.78%
"Dec. 31, 2007",7.61%
"Sept. 30, 2007",7.33%
"June 30, 2007",7.11%
"March 31, 2007",6.81%
"Dec. 31, 2006",6.51%
"Sept. 30, 2006",6.24%
"June 30, 2006",6.00%
"March 31, 2006",5.26%
"Dec. 31, 2005",5.05%
"Sept. 30, 2005",4.18%
"June 30, 2005",3.96%
"March 31, 2005",4.22%
"Dec. 31, 2004",4.16%
"Sept. 30, 2004",4.88%
"June 30, 2004",4.84%
"March 31, 2004",4.74%
"Dec. 31, 2003",4.67%
"Sept. 30, 2003",-2.01%
"June 30, 2003",-1.81%
"March 31, 2003",-1.33%
"Dec. 31, 2002",-0.88%
"Sept. 30, 2002",5.54%
"June 30, 2002",2.61%
"March 31, 2002",0.96%
"Dec. 31, 2001",-0.40%
"Sept. 30, 2001",0.15%
"June 30, 2001",2.49%
"March 31, 2001",4.75%
"Dec. 31, 2000",6.67%
"Sept. 30, 2000",6.18%
"June 30, 2000",8.23%
"March 31, 2000",8.66%
"Dec. 31, 1999",8.50%
"Sept. 30, 1999",15.14%
"June 30, 1999",13.93%
"March 31, 1999",12.83%
"Dec. 31, 1998",12.20%
"Sept. 30, 1998",12.91%
"June 30, 1998",12.85%
"March 31, 1998",12.74%
"Dec. 31, 1997",12.58%
"Sept. 30, 1997",8.73%
"June 30, 1997",8.45%
"March 31, 1997",8.23%
"Dec. 31, 1996",7.99%
"Sept. 30, 1996",7.80%
"June 30, 1996",7.62%
"March 31, 1996",7.40%
"Dec. 31, 1995",7.34%
"Sept. 30, 1995",7.30%
"June 30, 1995",7.21%
"March 31, 1995",7.09%
"Dec. 31, 1994",6.94%
"Sept. 30, 1994",4.44%
"June 30, 1994",4.26%
"March 31, 1994",4.03%
"Dec. 31, 1993",3.85%
"Sept. 30, 1993",-6.01%
"June 30, 1993",-6.28%
"March 31, 1993",-6.54%
"Dec. 31, 1992",-6.78%
"Sept. 30, 1992",5.06%
"June 30, 1992",-1.47%
"March 31, 1992",-2.00%
"Dec. 31, 1991",-2.62%
"Sept. 30, 1991",-2.69%
"June 30, 1991",3.48%
"March 31, 1991",3.81%
"Dec. 31, 1990",4.47%
"Sept. 30, 1990",4.59%
"June 30, 1990",4.77%
"March 31, 1990",5.25%
"Dec. 31, 1989",5.25%
