date,return_on_invested_capital
"Dec. 31, 2019",17.50%
"Sept. 30, 2019",17.76%
"June 30, 2019",20.00%
"March 31, 2019",19.02%
"Dec. 31, 2018",19.14%
"Sept. 30, 2018",7.01%
"June 30, 2018",4.24%
"March 31, 2018",4.55%
"Dec. 31, 2017",4.26%
"Sept. 30, 2017",14.01%
"June 30, 2017",14.12%
"March 31, 2017",14.29%
"Dec. 31, 2016",14.47%
"Sept. 30, 2016",15.58%
"June 30, 2016",16.37%
"March 31, 2016",16.56%
"Dec. 31, 2015",16.89%
"Sept. 30, 2015",16.34%
"June 30, 2015",16.04%
"March 31, 2015",15.80%
"Dec. 31, 2014",15.55%
"Sept. 30, 2014",15.84%
"June 30, 2014",15.94%
"March 31, 2014",16.52%
"Dec. 31, 2013",17.30%
"Sept. 30, 2013",14.91%
"June 30, 2013",15.24%
"March 31, 2013",14.93%
"Dec. 31, 2012",14.63%
"Sept. 30, 2012",11.90%
"June 30, 2012",11.61%
"March 31, 2012",11.21%
"Dec. 31, 2011",10.86%
"Sept. 30, 2011",14.54%
"June 30, 2011",13.62%
"March 31, 2011",12.73%
"Dec. 31, 2010",11.89%
"Sept. 30, 2010",10.22%
"June 30, 2010",10.34%
"March 31, 2010",9.74%
"Dec. 31, 2009",9.30%
"Sept. 30, 2009",12.66%
"June 30, 2009",13.17%
"March 31, 2009",14.67%
"Dec. 31, 2008",15.92%
"Sept. 30, 2008",15.73%
"June 30, 2008",15.76%
"March 31, 2008",15.77%
"Dec. 31, 2007",15.61%
"Sept. 30, 2007",14.98%
"June 30, 2007",14.37%
"March 31, 2007",13.65%
"Dec. 31, 2006",12.97%
"Sept. 30, 2006",12.22%
"June 30, 2006",11.68%
"March 31, 2006",10.26%
"Dec. 31, 2005",9.76%
"Sept. 30, 2005",7.96%
"June 30, 2005",7.49%
"March 31, 2005",7.93%
"Dec. 31, 2004",7.70%
"Sept. 30, 2004",9.03%
"June 30, 2004",8.97%
"March 31, 2004",8.88%
"Dec. 31, 2003",8.88%
"Sept. 30, 2003",-3.72%
"June 30, 2003",-3.25%
"March 31, 2003",-2.32%
"Dec. 31, 2002",-1.49%
"Sept. 30, 2002",9.18%
"June 30, 2002",4.36%
"March 31, 2002",1.59%
"Dec. 31, 2001",-0.66%
"Sept. 30, 2001",0.24%
"June 30, 2001",4.05%
"March 31, 2001",7.69%
"Dec. 31, 2000",10.90%
"Sept. 30, 2000",10.20%
"June 30, 2000",13.92%
"March 31, 2000",14.92%
"Dec. 31, 1999",14.92%
"Sept. 30, 1999",27.03%
"June 30, 1999",25.19%
"March 31, 1999",23.45%
"Dec. 31, 1998",23.00%
"Sept. 30, 1998",25.12%
"June 30, 1998",25.35%
"March 31, 1998",25.59%
"Dec. 31, 1997",25.52%
"Sept. 30, 1997",17.76%
"June 30, 1997",17.53%
"March 31, 1997",17.34%
"Dec. 31, 1996",17.07%
"Sept. 30, 1996",16.75%
"June 30, 1996",16.64%
"March 31, 1996",16.52%
"Dec. 31, 1995",16.74%
"Sept. 30, 1995",16.93%
"June 30, 1995",17.20%
"March 31, 1995",17.18%
"Dec. 31, 1994",16.98%
"Sept. 30, 1994",10.75%
"June 30, 1994",10.25%
"March 31, 1994",9.70%
"Dec. 31, 1993",9.29%
"Sept. 30, 1993",-13.46%
"June 30, 1993",-13.28%
"March 31, 1993",-13.08%
"Dec. 31, 1992",-12.79%
"Sept. 30, 1992",9.01%
"June 30, 1992",-2.57%
"March 31, 1992",-3.45%
"Dec. 31, 1991",-4.47%
"Sept. 30, 1991",-4.54%
"June 30, 1991",5.82%
"March 31, 1991",6.44%
"Dec. 31, 1990",7.70%
"Sept. 30, 1990",7.92%
"June 30, 1990",8.26%
"March 31, 1990",9.13%
"Dec. 31, 1989",9.23%
