date,springate_score
"Dec. 31, 2019",1.049
"Sept. 30, 2019",1.038
"June 30, 2019",1.008
"March 31, 2019",1.033
"Dec. 31, 2018",1.063
"Sept. 30, 2018",1.118
"June 30, 2018",1.091
"March 31, 2018",1.077
"Dec. 31, 2017",1.086
"Sept. 30, 2017",1.066
"June 30, 2017",1.069
"March 31, 2017",1.095
"Dec. 31, 2016",1.109
"Sept. 30, 2016",1.094
"June 30, 2016",1.149
"March 31, 2016",1.146
"Dec. 31, 2015",1.111
"Sept. 30, 2015",1.225
"June 30, 2015",1.235
"March 31, 2015",1.218
"Dec. 31, 2014",1.223
"Sept. 30, 2014",1.266
"June 30, 2014",1.248
"March 31, 2014",1.223
"Dec. 31, 2013",1.218
"Sept. 30, 2013",1.045
"June 30, 2013",1.044
"March 31, 2013",1.044
"Dec. 31, 2012",1.036
"Sept. 30, 2012",0.9355
"June 30, 2012",0.8708
"March 31, 2012",0.8605
"Dec. 31, 2011",0.8435
"Sept. 30, 2011",1.003
"June 30, 2011",1.030
"March 31, 2011",0.9635
"Dec. 31, 2010",0.9103
"Sept. 30, 2010",0.8716
"June 30, 2010",0.9014
"March 31, 2010",0.8593
"Dec. 31, 2009",0.821
"Sept. 30, 2009",0.9362
"June 30, 2009",0.9772
"March 31, 2009",1.024
"Dec. 31, 2008",1.056
"Sept. 30, 2008",1.084
"June 30, 2008",1.125
"March 31, 2008",1.124
