date,ytd_return
"March 19, 2020",-32.79%
"March 18, 2020",-32.42%
"March 17, 2020",-25.54%
"March 16, 2020",-23.58%
"March 13, 2020",-15.59%
"March 12, 2020",-23.81%
"March 11, 2020",-13.34%
"March 10, 2020",-8.65%
"March 9, 2020",-13.64%
"March 6, 2020",-7.33%
"March 5, 2020",-6.82%
"March 4, 2020",-3.28%
"March 3, 2020",-8.54%
"March 2, 2020",-7.21%
"Feb. 28, 2020",-8.38%
"Feb. 27, 2020",-9.86%
"Feb. 26, 2020",-5.55%
"Feb. 25, 2020",-5.20%
"Feb. 24, 2020",-0.98%
"Feb. 21, 2020",1.63%
"Feb. 20, 2020",2.09%
"Feb. 19, 2020",2.18%
"Feb. 18, 2020",1.37%
"Feb. 14, 2020",2.15%
"Feb. 13, 2020",1.76%
"Feb. 12, 2020",2.36%
"Feb. 11, 2020",1.21%
"Feb. 10, 2020",-0.03%
"Feb. 7, 2020",-0.97%
"Feb. 6, 2020",-0.37%
"Feb. 5, 2020",-0.06%
"Feb. 4, 2020",-1.01%
"Feb. 3, 2020",-3.21%
"Jan. 31, 2020",-2.14%
"Jan. 30, 2020",0.76%
"Jan. 29, 2020",-0.75%
"Jan. 28, 2020",-0.87%
"Jan. 27, 2020",-1.95%
"Jan. 24, 2020",0.07%
"Jan. 23, 2020",1.46%
"Jan. 22, 2020",1.72%
"Jan. 21, 2020",2.22%
"Jan. 17, 2020",3.52%
"Jan. 16, 2020",2.97%
"Jan. 15, 2020",2.11%
"Jan. 14, 2020",1.95%
"Jan. 13, 2020",2.41%
"Jan. 10, 2020",0.95%
"Jan. 9, 2020",1.17%
"Jan. 8, 2020",0.43%
"Jan. 7, 2020",0.34%
"Jan. 6, 2020",0.29%
"Jan. 3, 2020",1.05%
"Jan. 2, 2020",2.14%
"Dec. 31, 2019",33.97%
"Dec. 30, 2019",33.53%
"Dec. 27, 2019",33.58%
"Dec. 26, 2019",33.88%
"Dec. 24, 2019",33.45%
"Dec. 23, 2019",33.54%
"Dec. 20, 2019",33.52%
"Dec. 19, 2019",33.59%
"Dec. 18, 2019",32.18%
"Dec. 17, 2019",33.74%
"Dec. 16, 2019",33.52%
"Dec. 13, 2019",33.95%
"Dec. 12, 2019",34.26%
"Dec. 11, 2019",33.22%
"Dec. 10, 2019",31.73%
"Dec. 9, 2019",32.07%
"Dec. 6, 2019",32.80%
"Dec. 5, 2019",31.71%
"Dec. 4, 2019",31.10%
"Dec. 3, 2019",30.60%
"Dec. 2, 2019",31.94%
"Nov. 29, 2019",35.14%
"Nov. 27, 2019",35.80%
"Nov. 26, 2019",35.12%
"Nov. 25, 2019",33.60%
"Nov. 22, 2019",33.81%
"Nov. 21, 2019",33.61%
"Nov. 20, 2019",34.14%
"Nov. 19, 2019",36.33%
"Nov. 18, 2019",36.09%
"Nov. 15, 2019",37.56%
"Nov. 14, 2019",35.97%
"Nov. 13, 2019",37.72%
"Nov. 12, 2019",37.76%
"Nov. 11, 2019",36.87%
"Nov. 8, 2019",37.16%
"Nov. 7, 2019",35.98%
"Nov. 6, 2019",36.85%
"Nov. 5, 2019",36.75%
"Nov. 4, 2019",36.24%
"Nov. 1, 2019",33.30%
"Oct. 31, 2019",30.74%
