date,earning_yield
"March 19, 2020",5.48%
"March 18, 2020",5.00%
"March 17, 2020",4.88%
"March 16, 2020",5.63%
"March 13, 2020",5.13%
"March 12, 2020",5.51%
"March 11, 2020",4.80%
"March 10, 2020",4.55%
"March 9, 2020",4.57%
"March 6, 2020",4.28%
"March 5, 2020",4.34%
"March 4, 2020",4.32%
"March 3, 2020",4.56%
"March 2, 2020",4.50%
"Feb. 28, 2020",4.76%
"Feb. 27, 2020",4.46%
"Feb. 26, 2020",4.28%
"Feb. 25, 2020",4.22%
"Feb. 24, 2020",4.13%
"Feb. 21, 2020",4.11%
"Feb. 20, 2020",4.12%
"Feb. 19, 2020",4.11%
"Feb. 18, 2020",4.07%
"Feb. 14, 2020",4.11%
"Feb. 13, 2020",4.14%
"Feb. 12, 2020",4.19%
"Feb. 11, 2020",4.18%
"Feb. 10, 2020",4.17%
"Feb. 7, 2020",4.20%
"Feb. 6, 2020",4.16%
"Feb. 5, 2020",4.16%
"Feb. 4, 2020",4.17%
"Feb. 3, 2020",4.09%
"Jan. 31, 2020",4.10%
"Jan. 30, 2020",4.06%
"Jan. 29, 2020",4.10%
"Jan. 28, 2020",4.12%
"Jan. 27, 2020",4.11%
"Jan. 24, 2020",4.11%
"Jan. 23, 2020",4.13%
"Jan. 22, 2020",4.18%
"Jan. 21, 2020",4.19%
"Jan. 17, 2020",4.22%
"Jan. 16, 2020",4.24%
"Jan. 15, 2020",4.25%
"Jan. 14, 2020",4.30%
"Jan. 13, 2020",4.30%
"Jan. 10, 2020",4.35%
"Jan. 9, 2020",4.36%
"Jan. 8, 2020",4.39%
"Jan. 7, 2020",4.37%
"Jan. 6, 2020",4.36%
"Jan. 3, 2020",4.36%
"Jan. 2, 2020",4.36%
"Dec. 31, 2019",4.31%
"Dec. 30, 2019",3.92%
"Dec. 27, 2019",3.93%
"Dec. 26, 2019",3.95%
"Dec. 24, 2019",3.95%
"Dec. 23, 2019",3.95%
"Dec. 20, 2019",3.88%
"Dec. 19, 2019",3.89%
"Dec. 18, 2019",3.89%
"Dec. 17, 2019",3.92%
"Dec. 16, 2019",3.93%
"Dec. 13, 2019",3.98%
"Dec. 12, 2019",3.98%
"Dec. 11, 2019",3.96%
"Dec. 10, 2019",3.98%
"Dec. 9, 2019",4.01%
"Dec. 6, 2019",4.01%
"Dec. 5, 2019",4.00%
"Dec. 4, 2019",4.01%
"Dec. 3, 2019",4.02%
"Dec. 2, 2019",4.03%
"Nov. 29, 2019",3.99%
"Nov. 27, 2019",3.95%
"Nov. 26, 2019",3.98%
"Nov. 25, 2019",4.00%
"Nov. 22, 2019",3.97%
"Nov. 21, 2019",4.01%
"Nov. 20, 2019",3.96%
"Nov. 19, 2019",4.04%
"Nov. 18, 2019",4.05%
"Nov. 15, 2019",4.02%
"Nov. 14, 2019",4.02%
"Nov. 13, 2019",4.02%
"Nov. 12, 2019",4.09%
"Nov. 11, 2019",4.10%
"Nov. 8, 2019",4.07%
"Nov. 7, 2019",4.06%
"Nov. 6, 2019",3.98%
"Nov. 5, 2019",3.98%
"Nov. 4, 2019",3.94%
"Nov. 1, 2019",3.88%
"Oct. 31, 2019",3.89%
