date,fulmer_h_score
"Dec. 31, 2019",2.087
"Sept. 30, 2019",2.123
"June 30, 2019",2.107
"March 31, 2019",2.121
"Dec. 31, 2018",2.134
"Sept. 30, 2018",2.158
"June 30, 2018",2.097
"March 31, 2018",2.038
"Dec. 31, 2017",2.054
"Sept. 30, 2017",1.997
"June 30, 2017",1.885
"March 31, 2017",1.857
"Dec. 31, 2016",1.778
"Sept. 30, 2016",1.799
"June 30, 2016",1.750
"March 31, 2016",1.751
"Dec. 31, 2015",1.760
"Sept. 30, 2015",1.725
"June 30, 2015",1.714
"March 31, 2015",1.666
"Dec. 31, 2014",1.662
"Sept. 30, 2014",1.744
"June 30, 2014",1.677
"March 31, 2014",1.683
"Dec. 31, 2013",1.659
"Sept. 30, 2013",1.653
"June 30, 2013",1.540
"March 31, 2013",1.447
"Dec. 31, 2012",1.341
"Sept. 30, 2012",1.330
"June 30, 2012",1.123
"March 31, 2012",0.9883
"Dec. 31, 2011",1.005
"Sept. 30, 2011",1.093
"June 30, 2011",1.016
"March 31, 2011",1.068
"Dec. 31, 2010",1.008
"Sept. 30, 2010",1.029
"June 30, 2010",0.9412
"March 31, 2010",0.9197
"Dec. 31, 2009",0.9403
"Sept. 30, 2009",0.7633
"June 30, 2009",0.6326
"March 31, 2009",0.5602
"Dec. 31, 2008",0.54
"Sept. 30, 2008",0.92
"June 30, 2008",0.958
"March 31, 2008",1.544
