date,kz_index
"Dec. 31, 2018",0.5547
"Dec. 31, 2017",0.6835
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",0.6945
"Dec. 31, 2013",0.7429
"Dec. 31, 2012",0.8205
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",0.8797
"Dec. 31, 2008",0.9172
"Dec. 31, 2007",
"Dec. 31, 2006",0.9608
"Dec. 31, 2005",0.8509
"Dec. 31, 2004",0.9223
"Dec. 31, 2003",
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",0.3433
"Dec. 31, 1999",0.0872
"Dec. 31, 1998",0.25
"Dec. 31, 1997",0.2623
"Dec. 31, 1996",-0.0453
"Dec. 31, 1995",-0.1379
