date,market_beta_60_month
"Feb. 29, 2020",0.3999
"Jan. 31, 2020",0.1856
"Dec. 31, 2019",0.1792
"Nov. 30, 2019",0.1691
"Oct. 31, 2019",0.176
"Sept. 30, 2019",0.2224
"Aug. 31, 2019",0.2424
"July 31, 2019",0.2886
"June 30, 2019",0.3147
"May 31, 2019",0.3499
"April 30, 2019",0.3779
"March 31, 2019",0.3932
"Feb. 28, 2019",0.3944
"Jan. 31, 2019",0.4243
"Dec. 31, 2018",0.4043
"Nov. 30, 2018",0.3448
"Oct. 31, 2018",0.3306
"Sept. 30, 2018",0.2766
"Aug. 31, 2018",0.2722
"July 31, 2018",0.3388
"June 30, 2018",0.405
"May 31, 2018",0.4005
"April 30, 2018",0.3923
"March 31, 2018",0.3987
"Feb. 28, 2018",0.4747
"Jan. 31, 2018",0.4262
"Dec. 31, 2017",0.5506
"Nov. 30, 2017",0.5474
"Oct. 31, 2017",0.5326
"Sept. 30, 2017",0.5033
"Aug. 31, 2017",0.5164
"July 31, 2017",0.5137
"June 30, 2017",0.5147
"May 31, 2017",0.5354
"April 30, 2017",0.5423
"March 31, 2017",0.5476
"Feb. 28, 2017",0.5407
"Jan. 31, 2017",0.494
"Dec. 31, 2016",0.4742
"Nov. 30, 2016",0.4676
"Oct. 31, 2016",0.4873
"Sept. 30, 2016",0.4974
"Aug. 31, 2016",0.4831
"July 31, 2016",0.4757
"June 30, 2016",0.492
"May 31, 2016",0.5016
"April 30, 2016",0.4998
"March 31, 2016",0.4982
"Feb. 29, 2016",0.4922
"Jan. 31, 2016",0.4916
"Dec. 31, 2015",0.5237
"Nov. 30, 2015",0.5035
"Oct. 31, 2015",0.5077
"Sept. 30, 2015",0.5263
"Aug. 31, 2015",0.5447
"July 31, 2015",0.5146
"June 30, 2015",0.5187
"May 31, 2015",0.4706
"April 30, 2015",0.5219
"March 31, 2015",0.5217
"Feb. 28, 2015",0.5286
"Jan. 31, 2015",0.5965
"Dec. 31, 2014",0.6182
"Nov. 30, 2014",0.6339
"Oct. 31, 2014",0.6493
"Sept. 30, 2014",0.6361
"Aug. 31, 2014",0.6142
"July 31, 2014",0.6055
"June 30, 2014",0.5877
"May 31, 2014",0.5687
"April 30, 2014",0.5459
"March 31, 2014",0.5166
"Feb. 28, 2014",0.4489
"Jan. 31, 2014",0.5607
"Dec. 31, 2013",0.5487
"Nov. 30, 2013",0.5514
"Oct. 31, 2013",0.4306
"Sept. 30, 2013",0.4452
