date,operating_margin_ttm
"Dec. 31, 2019",21.34%
"Sept. 30, 2019",20.25%
"June 30, 2019",20.00%
"March 31, 2019",20.46%
"Dec. 31, 2018",20.51%
"Sept. 30, 2018",21.53%
"June 30, 2018",22.16%
"March 31, 2018",22.20%
"Dec. 31, 2017",22.55%
"Sept. 30, 2017",23.35%
"June 30, 2017",22.02%
"March 31, 2017",21.94%
"Dec. 31, 2016",21.54%
"Sept. 30, 2016",21.31%
"June 30, 2016",21.90%
"March 31, 2016",22.25%
"Dec. 31, 2015",22.21%
"Sept. 30, 2015",20.49%
"June 30, 2015",20.36%
"March 31, 2015",19.54%
"Dec. 31, 2014",19.78%
"Sept. 30, 2014",20.44%
"June 30, 2014",21.22%
"March 31, 2014",22.05%
"Dec. 31, 2013",23.41%
"Sept. 30, 2013",24.27%
"June 30, 2013",24.71%
"March 31, 2013",23.74%
"Dec. 31, 2012",22.45%
"Sept. 30, 2012",19.35%
"June 30, 2012",16.15%
"March 31, 2012",14.28%
"Dec. 31, 2011",15.13%
"Sept. 30, 2011",18.28%
"June 30, 2011",20.00%
"March 31, 2011",10.93%
"Dec. 31, 2010",-1.41%
"Sept. 30, 2010",-0.75%
"June 30, 2010",-1.62%
"March 31, 2010",8.40%
"Dec. 31, 2009",19.39%
"Sept. 30, 2009",18.60%
"June 30, 2009",19.26%
"March 31, 2009",18.61%
"Dec. 31, 2008",19.85%
"Sept. 30, 2008",20.26%
"June 30, 2008",17.19%
"March 31, 2008",16.96%
"Dec. 31, 2007",16.98%
"Sept. 30, 2007",17.86%
"June 30, 2007",19.79%
"March 31, 2007",43.06%
"Dec. 31, 2006",40.49%
"Sept. 30, 2006",41.03%
"June 30, 2006",39.47%
"March 31, 2006",17.92%
"Dec. 31, 2005",18.08%
"Sept. 30, 2005",18.72%
"June 30, 2005",15.19%
"March 31, 2005",13.48%
"Dec. 31, 2004",13.77%
"Sept. 30, 2004",5.45%
"June 30, 2004",10.06%
"March 31, 2004",10.03%
"Dec. 31, 2003",9.07%
"Sept. 30, 2003",11.96%
"June 30, 2003",7.33%
"March 31, 2003",4.52%
"Dec. 31, 2002",4.77%
"Sept. 30, 2002",6.54%
"June 30, 2002",8.59%
"March 31, 2002",7.99%
"Dec. 31, 2001",9.67%
"Sept. 30, 2001",5.35%
"June 30, 2001",5.85%
"March 31, 2001",8.07%
"Dec. 31, 2000",8.74%
"Sept. 30, 2000",16.20%
"June 30, 2000",15.06%
"March 31, 2000",14.32%
"Dec. 31, 1999",13.05%
"Sept. 30, 1999",26.28%
"June 30, 1999",24.46%
"March 31, 1999",24.31%
"Dec. 31, 1998",23.99%
"Sept. 30, 1998",27.75%
"June 30, 1998",28.31%
"March 31, 1998",28.75%
"Dec. 31, 1997",29.86%
"Sept. 30, 1997",27.13%
"June 30, 1997",29.78%
"March 31, 1997",31.97%
"Dec. 31, 1996",32.36%
"Sept. 30, 1996",33.59%
"June 30, 1996",34.32%
"March 31, 1996",33.50%
"Dec. 31, 1995",32.26%
"Sept. 30, 1995",32.17%
"June 30, 1995",29.84%
"March 31, 1995",29.08%
"Dec. 31, 1994",27.53%
"Sept. 30, 1994",44.22%
"June 30, 1994",64.74%
"March 31, 1994",82.70%
