date,return_on_assets
"Dec. 31, 2019",3.60%
"Sept. 30, 2019",3.31%
"June 30, 2019",3.53%
"March 31, 2019",3.70%
"Dec. 31, 2018",3.64%
"Sept. 30, 2018",3.84%
"June 30, 2018",3.66%
"March 31, 2018",3.45%
"Dec. 31, 2017",3.40%
"Sept. 30, 2017",3.30%
"June 30, 2017",3.21%
"March 31, 2017",3.33%
"Dec. 31, 2016",3.23%
"Sept. 30, 2016",3.25%
"June 30, 2016",3.11%
"March 31, 2016",3.29%
"Dec. 31, 2015",3.30%
"Sept. 30, 2015",3.40%
"June 30, 2015",3.71%
"March 31, 2015",3.39%
"Dec. 31, 2014",3.54%
"Sept. 30, 2014",3.43%
"June 30, 2014",3.17%
"March 31, 2014",3.22%
"Dec. 31, 2013",3.37%
"Sept. 30, 2013",3.26%
"June 30, 2013",3.68%
"March 31, 2013",3.54%
"Dec. 31, 2012",3.39%
"Sept. 30, 2012",3.28%
"June 30, 2012",3.66%
"March 31, 2012",3.44%
"Dec. 31, 2011",3.59%
"Sept. 30, 2011",3.82%
"June 30, 2011",3.03%
"March 31, 2011",3.50%
"Dec. 31, 2010",3.25%
"Sept. 30, 2010",3.40%
"June 30, 2010",3.19%
"March 31, 2010",2.94%
"Dec. 31, 2009",3.03%
"Sept. 30, 2009",2.69%
"June 30, 2009",2.67%
"March 31, 2009",2.46%
"Dec. 31, 2008",2.59%
"Sept. 30, 2008",2.73%
"June 30, 2008",2.15%
"March 31, 2008",2.22%
"Dec. 31, 2007",2.33%
"Sept. 30, 2007",2.60%
"June 30, 2007",3.09%
"March 31, 2007",3.32%
"Dec. 31, 2006",3.36%
"Sept. 30, 2006",3.07%
"June 30, 2006",2.47%
"March 31, 2006",2.19%
"Dec. 31, 2005",2.13%
"Sept. 30, 2005",2.22%
"June 30, 2005",2.42%
"March 31, 2005",2.35%
"Dec. 31, 2004",2.27%
"Sept. 30, 2004",2.13%
"June 30, 2004",2.71%
"March 31, 2004",2.26%
"Dec. 31, 2003",1.52%
"Sept. 30, 2003",1.27%
"June 30, 2003",0.94%
"March 31, 2003",1.03%
"Dec. 31, 2002",1.79%
"Sept. 30, 2002",2.40%
"June 30, 2002",2.25%
"March 31, 2002",3.04%
"Dec. 31, 2001",3.20%
"Sept. 30, 2001",3.37%
"June 30, 2001",3.76%
"March 31, 2001",3.94%
"Dec. 31, 2000",4.52%
"Sept. 30, 2000",4.79%
"June 30, 2000",4.29%
"March 31, 2000",4.03%
"Dec. 31, 1999",3.59%
"Sept. 30, 1999",3.64%
"June 30, 1999",3.69%
"March 31, 1999",3.68%
"Dec. 31, 1998",3.63%
"Sept. 30, 1998",3.54%
"June 30, 1998",3.54%
"March 31, 1998",3.56%
"Dec. 31, 1997",3.71%
"Sept. 30, 1997",3.56%
"June 30, 1997",3.51%
"March 31, 1997",3.67%
"Dec. 31, 1996",3.68%
"Sept. 30, 1996",4.33%
"June 30, 1996",4.57%
"March 31, 1996",4.35%
"Dec. 31, 1995",3.94%
"Sept. 30, 1995",3.90%
"June 30, 1995",3.59%
"March 31, 1995",3.59%
"Dec. 31, 1994",3.49%
"Sept. 30, 1994",3.74%
