date,shares_outstanding
"Feb. 14, 2020",50.41M
"Dec. 31, 2019",50.40M
"Oct. 25, 2019",50.40M
"Sept. 30, 2019",50.40M
"July 26, 2019",50.40M
"June 30, 2019",50.40M
"April 26, 2019",50.39M
"March 31, 2019",50.38M
"March 26, 2019",50.42M
"Feb. 15, 2019",50.38M
"Dec. 31, 2018",50.39M
"Oct. 26, 2018",50.39M
"Sept. 30, 2018",50.39M
"July 27, 2018",50.39M
"June 30, 2018",50.39M
"April 27, 2018",50.39M
"March 31, 2018",50.39M
"March 27, 2018",50.42M
"Feb. 16, 2018",50.39M
"Dec. 31, 2017",50.39M
"Oct. 27, 2017",50.39M
"Sept. 30, 2017",50.39M
"July 28, 2017",50.39M
"June 30, 2017",50.39M
"April 28, 2017",50.39M
"March 31, 2017",50.39M
"March 28, 2017",50.42M
"Feb. 17, 2017",50.40M
"Dec. 31, 2016",50.40M
"Oct. 21, 2016",50.40M
"Sept. 30, 2016",50.40M
"July 22, 2016",50.40M
"June 30, 2016",50.40M
"April 22, 2016",50.42M
"March 31, 2016",50.42M
"March 28, 2016",50.42M
"Feb. 12, 2016",50.30M
"Dec. 31, 2015",50.34M
"Oct. 23, 2015",50.34M
"Sept. 30, 2015",50.34M
"July 24, 2015",50.34M
"June 30, 2015",50.34M
"April 24, 2015",50.35M
"March 31, 2015",50.35M
"March 26, 2015",50.35M
"Feb. 13, 2015",50.26M
"Dec. 31, 2014",50.27M
"Oct. 24, 2014",50.27M
"Sept. 30, 2014",50.27M
"July 25, 2014",50.27M
"June 30, 2014",50.27M
"April 25, 2014",50.30M
"March 31, 2014",50.30M
"March 27, 2014",50.31M
"Feb. 14, 2014",50.22M
"Dec. 31, 2013",50.23M
"Nov. 1, 2013",50.23M
"Sept. 30, 2013",50.23M
"July 26, 2013",50.23M
"June 30, 2013",50.23M
"April 26, 2013",50.23M
"March 31, 2013",50.23M
"March 28, 2013",50.23M
"Feb. 15, 2013",50.14M
"Dec. 31, 2012",50.16M
"Oct. 26, 2012",50.16M
"Sept. 30, 2012",50.16M
"July 27, 2012",50.15M
"June 30, 2012",50.15M
"April 27, 2012",50.10M
"March 31, 2012",50.09M
"March 29, 2012",50.09M
"Feb. 17, 2012",49.95M
"Dec. 31, 2011",49.95M
"Oct. 28, 2011",49.77M
"Sept. 30, 2011",49.76M
"July 29, 2011",49.71M
"June 30, 2011",49.70M
"April 29, 2011",49.56M
"March 31, 2011",49.55M
"March 30, 2011",49.48M
"Jan. 31, 2011",49.43M
"Dec. 31, 2010",49.41M
"Oct. 20, 2010",49.12M
"Sept. 30, 2010",49.11M
"July 31, 2010",48.18M
"June 30, 2010",48.16M
"March 31, 2010",48.10M
"March 30, 2010",48.10M
"Jan. 31, 2010",47.95M
"Dec. 31, 2009",47.90M
"Sept. 30, 2009",47.65M
"Aug. 6, 2009",47.25M
"June 30, 2009",47.25M
"March 31, 2009",47.15M
"Jan. 31, 2009",46.91M
"Sept. 30, 2008",45.57M
"June 30, 2008",45.30M
"May 8, 2008",45.24M
"March 31, 2008",45.24M
"Jan. 31, 2008",45.07M
"Dec. 31, 2007",45.06M
"Sept. 30, 2007",45.00M
"June 30, 2007",44.30M
"March 31, 2007",43.99M
"Jan. 31, 2007",43.64M
"Dec. 31, 2006",43.83M
"Sept. 30, 2006",42.93M
"June 30, 2006",42.81M
"March 31, 2006",42.79M
"Feb. 28, 2006",42.49M
"Dec. 31, 2005",42.42M
"Sept. 30, 2005",42.32M
"June 30, 2005",42.25M
"March 31, 2005",42.20M
"Feb. 28, 2005",42.22M
"Dec. 31, 2004",42.22M
"Sept. 30, 2004",38.19M
"June 30, 2004",38.19M
"March 31, 2004",38.18M
"Feb. 27, 2004",38.16M
"Dec. 31, 2003",38.21M
"Sept. 30, 2003",38.21M
"June 30, 2003",38.20M
"March 31, 2003",38.20M
"Feb. 28, 2003",38.20M
"Dec. 31, 2002",38.02M
"Sept. 30, 2002",38.20M
"June 30, 2002",37.70M
"March 31, 2002",37.59M
"Feb. 28, 2002",37.59M
"Dec. 31, 2001",37.56M
"Sept. 30, 2001",37.47M
"June 30, 2001",37.41M
"March 31, 2001",37.41M
"March 1, 2001",37.42M
"Dec. 31, 2000",37.57M
"Sept. 30, 2000",37.41M
"June 30, 2000",37.61M
"March 31, 2000",37.61M
"Feb. 29, 2000",37.61M
"Dec. 31, 1999",37.61M
"Sept. 30, 1999",37.61M
"June 30, 1999",37.61M
"March 31, 1999",37.61M
"Feb. 28, 1999",37.61M
"Dec. 31, 1998",37.61M
"Sept. 30, 1998",37.61M
"June 30, 1998",37.61M
"March 31, 1998",37.61M
"Dec. 31, 1997",37.61M
"Sept. 30, 1997",37.61M
"June 30, 1997",37.61M
"March 31, 1997",37.61M
"Dec. 31, 1996",37.61M
"Sept. 30, 1996",37.61M
"June 30, 1996",37.61M
"March 31, 1996",37.61M
"Dec. 31, 1995",37.61M
"Sept. 30, 1995",37.61M
"June 30, 1995",37.61M
"March 31, 1995",37.61M
"Dec. 31, 1994",37.61M
"Sept. 30, 1994",37.61M
"June 30, 1994",37.61M
"March 31, 1994",37.33M
"Dec. 31, 1993",37.08M
"Sept. 30, 1993",36.86M
"June 30, 1993",36.64M
"March 31, 1993",36.41M
"Dec. 31, 1992",36.19M
"Sept. 30, 1992",35.94M
"June 30, 1992",34.45M
"March 31, 1992",34.20M
"Dec. 31, 1991",33.98M
"Sept. 30, 1991",33.98M
"June 30, 1991",33.98M
"March 31, 1991",33.98M
"Dec. 31, 1990",33.98M
"Sept. 30, 1990",33.98M
"June 30, 1990",33.98M
"March 31, 1990",33.98M
"Dec. 31, 1989",33.98M
"Sept. 30, 1989",33.98M
"June 30, 1989",33.98M
"March 31, 1989",33.98M
"Dec. 31, 1988",33.98M
"Sept. 30, 1988",33.98M
"June 30, 1988",33.98M
"March 31, 1988",33.98M
"Dec. 31, 1987",33.98M
"Sept. 30, 1987",33.98M
"June 30, 1987",33.98M
"March 31, 1987",33.98M
"Dec. 31, 1986",33.98M
"Sept. 30, 1986",33.98M
"June 30, 1986",33.98M
"March 31, 1986",33.86M
"Dec. 31, 1985",33.86M
"Sept. 30, 1985",33.57M
"June 30, 1985",33.40M
"March 31, 1985",33.25M
"Dec. 31, 1984",33.25M
"Sept. 30, 1984",32.93M
"June 30, 1984",32.75M
"March 31, 1984",32.72M
