date,cash_financing_ttm
"Dec. 31, 2019",165.00M
"Sept. 30, 2019",-271.00M
"June 30, 2019",-202.00M
"March 31, 2019",57.00M
"Dec. 31, 2018",131.00M
"Sept. 30, 2018",-19.00M
"June 30, 2018",-290.00M
"March 31, 2018",-564.00M
"Dec. 31, 2017",-536.00M
"Sept. 30, 2017",-852.00M
"June 30, 2017",-725.00M
"March 31, 2017",-577.00M
"Dec. 31, 2016",-472.00M
"Sept. 30, 2016",-291.00M
"June 30, 2016",-279.00M
"March 31, 2016",-510.00M
"Dec. 31, 2015",-487.00M
"Sept. 30, 2015",-358.00M
"June 30, 2015",-335.00M
"March 31, 2015",-450.00M
"Dec. 31, 2014",-417.00M
"Sept. 30, 2014",-592.00M
"June 30, 2014",-550.00M
"March 31, 2014",-200.00M
"Dec. 31, 2013",-239.00M
"Sept. 30, 2013",-132.00M
"June 30, 2013",-124.00M
"March 31, 2013",-219.00M
"Dec. 31, 2012",-322.00M
"Sept. 30, 2012",-140.00M
"June 30, 2012",-195.00M
"March 31, 2012",-85.00M
"Dec. 31, 2011",96.00M
"Sept. 30, 2011",-17.00M
"June 30, 2011",-36.00M
"March 31, 2011",-35.00M
"Dec. 31, 2010",-258.00M
"Sept. 30, 2010",-277.00M
"June 30, 2010",-263.00M
"March 31, 2010",27.00M
"Dec. 31, 2009",306.00M
"Sept. 30, 2009",496.00M
"June 30, 2009",375.00M
"March 31, 2009",313.00M
"Dec. 31, 2008",635.00M
"Sept. 30, 2008",521.00M
"June 30, 2008",796.00M
"March 31, 2008",744.00M
"Dec. 31, 2007",556.00M
"Sept. 30, 2007",885.00M
"June 30, 2007",912.00M
"March 31, 2007",1.104B
"Dec. 31, 2006",1.037B
"Sept. 30, 2006",1.075B
"June 30, 2006",1.182B
"March 31, 2006",909.00M
"Dec. 31, 2005",1.093B
"Sept. 30, 2005",844.29M
"June 30, 2005",681.73M
"March 31, 2005",673.78M
"Dec. 31, 2004",437.00M
"Sept. 30, 2004",490.14M
"June 30, 2004",751.28M
"March 31, 2004",792.28M
"Dec. 31, 2003",789.00M
"Sept. 30, 2003",780.08M
"June 30, 2003",550.91M
"March 31, 2003",681.13M
"Dec. 31, 2002",657.00M
