date,cash_operations_ttm
"Dec. 31, 2019",1.449B
"Sept. 30, 2019",1.474B
"June 30, 2019",1.446B
"March 31, 2019",1.13B
"Dec. 31, 2018",1.20B
"Sept. 30, 2018",1.237B
"June 30, 2018",1.229B
"March 31, 2018",1.437B
"Dec. 31, 2017",1.379B
"Sept. 30, 2017",1.381B
"June 30, 2017",1.497B
"March 31, 2017",1.479B
"Dec. 31, 2016",1.632B
"Sept. 30, 2016",1.621B
"June 30, 2016",1.715B
"March 31, 2016",1.655B
"Dec. 31, 2015",1.598B
"Sept. 30, 2015",1.482B
"June 30, 2015",1.261B
"March 31, 2015",1.118B
"Dec. 31, 2014",912.00M
"Sept. 30, 2014",917.00M
"June 30, 2014",897.00M
"March 31, 2014",875.00M
"Dec. 31, 2013",758.00M
"Sept. 30, 2013",722.00M
"June 30, 2013",610.00M
"March 31, 2013",611.00M
"Dec. 31, 2012",698.00M
"Sept. 30, 2012",655.00M
"June 30, 2012",698.00M
"March 31, 2012",675.00M
"Dec. 31, 2011",614.00M
"Sept. 30, 2011",533.00M
"June 30, 2011",573.00M
"March 31, 2011",525.00M
"Dec. 31, 2010",523.00M
"Sept. 30, 2010",619.00M
"June 30, 2010",617.00M
"March 31, 2010",591.00M
"Dec. 31, 2009",486.00M
"Sept. 30, 2009",231.00M
"June 30, 2009",103.00M
"March 31, 2009",58.00M
"Dec. 31, 2008",-17.00M
"Sept. 30, 2008",180.00M
"June 30, 2008",244.00M
"March 31, 2008",260.00M
"Dec. 31, 2007",358.00M
"Sept. 30, 2007",352.00M
"June 30, 2007",364.00M
"March 31, 2007",334.00M
"Dec. 31, 2006",274.00M
"Sept. 30, 2006",233.00M
"June 30, 2006",151.00M
"March 31, 2006",186.00M
"Dec. 31, 2005",170.00M
"Sept. 30, 2005",188.67M
"June 30, 2005",234.76M
"March 31, 2005",216.54M
"Dec. 31, 2004",199.00M
"Sept. 30, 2004",224.22M
"June 30, 2004",269.52M
"March 31, 2004",308.76M
"Dec. 31, 2003",287.00M
"Sept. 30, 2003",291.53M
"June 30, 2003",260.97M
"March 31, 2003",226.26M
"Dec. 31, 2002",217.00M
