date,earning_yield
"March 19, 2020",25.26%
"March 18, 2020",25.07%
"March 17, 2020",20.17%
"March 16, 2020",18.10%
"March 13, 2020",17.17%
"March 12, 2020",16.71%
"March 11, 2020",14.15%
"March 10, 2020",13.17%
"March 9, 2020",14.33%
"March 6, 2020",13.83%
"March 5, 2020",13.85%
"March 4, 2020",12.36%
"March 3, 2020",12.79%
"March 2, 2020",12.33%
"Feb. 28, 2020",12.17%
"Feb. 27, 2020",11.80%
"Feb. 26, 2020",11.22%
"Feb. 25, 2020",10.52%
"Feb. 24, 2020",9.91%
"Feb. 21, 2020",9.32%
"Feb. 20, 2020",9.22%
"Feb. 19, 2020",9.23%
"Feb. 18, 2020",9.01%
"Feb. 14, 2020",9.03%
"Feb. 13, 2020",8.91%
"Feb. 12, 2020",9.09%
"Feb. 11, 2020",9.36%
"Feb. 10, 2020",9.59%
"Feb. 7, 2020",9.63%
"Feb. 6, 2020",9.56%
"Feb. 5, 2020",9.28%
"Feb. 4, 2020",9.40%
"Feb. 3, 2020",9.59%
"Jan. 31, 2020",9.68%
"Jan. 30, 2020",9.50%
"Jan. 29, 2020",9.63%
"Jan. 28, 2020",9.47%
"Jan. 27, 2020",9.58%
"Jan. 24, 2020",9.30%
"Jan. 23, 2020",9.11%
"Jan. 22, 2020",9.70%
"Jan. 21, 2020",10.08%
"Jan. 17, 2020",9.99%
"Jan. 16, 2020",10.11%
"Jan. 15, 2020",10.27%
"Jan. 14, 2020",10.37%
"Jan. 13, 2020",10.32%
"Jan. 10, 2020",10.26%
"Jan. 9, 2020",10.26%
"Jan. 8, 2020",10.38%
"Jan. 7, 2020",10.43%
"Jan. 6, 2020",10.39%
"Jan. 3, 2020",10.34%
"Jan. 2, 2020",10.16%
"Dec. 31, 2019",10.26%
"Dec. 30, 2019",10.21%
"Dec. 27, 2019",10.11%
"Dec. 26, 2019",10.00%
"Dec. 24, 2019",9.99%
"Dec. 23, 2019",9.95%
"Dec. 20, 2019",9.94%
"Dec. 19, 2019",10.11%
"Dec. 18, 2019",10.16%
"Dec. 17, 2019",10.07%
"Dec. 16, 2019",10.21%
"Dec. 13, 2019",10.28%
"Dec. 12, 2019",10.10%
"Dec. 11, 2019",10.20%
"Dec. 10, 2019",10.11%
"Dec. 9, 2019",10.09%
"Dec. 6, 2019",10.04%
"Dec. 5, 2019",9.98%
"Dec. 4, 2019",9.89%
"Dec. 3, 2019",10.16%
"Dec. 2, 2019",9.95%
"Nov. 29, 2019",9.91%
"Nov. 27, 2019",9.92%
"Nov. 26, 2019",9.89%
"Nov. 25, 2019",9.95%
"Nov. 22, 2019",10.07%
"Nov. 21, 2019",10.25%
"Nov. 20, 2019",10.04%
"Nov. 19, 2019",9.87%
"Nov. 18, 2019",9.81%
"Nov. 15, 2019",9.74%
"Nov. 14, 2019",9.76%
"Nov. 13, 2019",9.75%
"Nov. 12, 2019",9.90%
"Nov. 11, 2019",9.67%
"Nov. 8, 2019",9.76%
"Nov. 7, 2019",9.76%
"Nov. 6, 2019",9.72%
"Nov. 5, 2019",9.74%
"Nov. 4, 2019",9.83%
"Nov. 1, 2019",9.80%
"Oct. 31, 2019",9.90%
"Oct. 30, 2019",9.82%
"Oct. 29, 2019",9.81%
"Oct. 28, 2019",9.93%
"Oct. 25, 2019",10.18%
"Oct. 24, 2019",10.36%
"Oct. 23, 2019",10.12%
"Oct. 22, 2019",10.16%
"Oct. 21, 2019",10.90%
"Oct. 18, 2019",11.26%
"Oct. 17, 2019",11.11%
"Oct. 16, 2019",11.25%
"Oct. 15, 2019",11.15%
"Oct. 14, 2019",11.30%
"Oct. 11, 2019",11.34%
"Oct. 10, 2019",11.31%
