date,enterprise_value
"March 19, 2020",3.101B
"March 18, 2020",3.117B
"March 17, 2020",3.630B
"March 16, 2020",3.930B
"March 13, 2020",4.087B
"March 12, 2020",4.173B
"March 11, 2020",4.746B
"March 10, 2020",5.024B
"March 9, 2020",4.699B
"March 6, 2020",4.831B
"March 5, 2020",4.826B
"March 4, 2020",5.289B
"March 3, 2020",5.143B
"March 2, 2020",5.297B
"Feb. 28, 2020",5.355B
"Feb. 27, 2020",5.490B
"Feb. 26, 2020",5.724B
"Feb. 25, 2020",6.036B
"Feb. 24, 2020",6.347B
"Feb. 21, 2020",6.822B
"Feb. 20, 2020",6.884B
"Feb. 19, 2020",6.879B
"Feb. 18, 2020",7.017B
"Feb. 14, 2020",7.008B
"Feb. 13, 2020",7.090B
"Feb. 12, 2020",6.969B
"Feb. 11, 2020",6.794B
"Feb. 10, 2020",6.656B
"Feb. 7, 2020",6.633B
"Feb. 6, 2020",6.673B
"Feb. 5, 2020",6.845B
"Feb. 4, 2020",6.769B
"Feb. 3, 2020",6.656B
"Jan. 31, 2020",6.602B
"Jan. 30, 2020",6.702B
"Jan. 29, 2020",6.629B
"Jan. 28, 2020",6.722B
"Jan. 27, 2020",6.657B
"Jan. 24, 2020",6.828B
"Jan. 23, 2020",6.948B
"Jan. 22, 2020",6.588B
"Jan. 21, 2020",6.378B
"Jan. 17, 2020",6.423B
"Jan. 16, 2020",6.364B
"Jan. 15, 2020",6.279B
"Jan. 14, 2020",6.229B
"Jan. 13, 2020",6.251B
"Jan. 10, 2020",6.282B
"Jan. 9, 2020",6.282B
"Jan. 8, 2020",6.223B
"Jan. 7, 2020",6.198B
"Jan. 6, 2020",6.217B
"Jan. 3, 2020",6.243B
"Jan. 2, 2020",6.333B
"Dec. 31, 2019",6.285B
"Dec. 30, 2019",5.914B
"Dec. 27, 2019",5.965B
"Dec. 26, 2019",6.024B
"Dec. 24, 2019",6.030B
"Dec. 23, 2019",6.052B
"Dec. 20, 2019",6.055B
"Dec. 19, 2019",5.965B
"Dec. 18, 2019",5.937B
"Dec. 17, 2019",5.988B
"Dec. 16, 2019",5.912B
"Dec. 13, 2019",5.878B
"Dec. 12, 2019",5.974B
"Dec. 11, 2019",5.920B
"Dec. 10, 2019",5.968B
"Dec. 9, 2019",5.976B
"Dec. 6, 2019",6.002B
"Dec. 5, 2019",6.036B
"Dec. 4, 2019",6.086B
"Dec. 3, 2019",5.940B
"Dec. 2, 2019",6.052B
"Nov. 29, 2019",6.072B
"Nov. 27, 2019",6.069B
"Nov. 26, 2019",6.086B
"Nov. 25, 2019",6.051B
"Nov. 22, 2019",5.985B
"Nov. 21, 2019",6.020B
"Nov. 20, 2019",6.133B
"Nov. 19, 2019",6.231B
"Nov. 18, 2019",6.263B
"Nov. 15, 2019",6.306B
"Nov. 14, 2019",6.292B
"Nov. 13, 2019",6.295B
"Nov. 12, 2019",6.214B
"Nov. 11, 2019",6.347B
"Nov. 8, 2019",6.292B
"Nov. 7, 2019",6.293B
"Nov. 6, 2019",6.318B
"Nov. 5, 2019",6.306B
"Nov. 4, 2019",6.254B
"Nov. 1, 2019",6.266B
"Oct. 31, 2019",6.214B
"Oct. 30, 2019",6.260B
"Oct. 29, 2019",6.263B
"Oct. 28, 2019",6.194B
"Oct. 25, 2019",6.058B
"Oct. 24, 2019",5.963B
"Oct. 23, 2019",6.093B
"Oct. 22, 2019",6.069B
"Oct. 21, 2019",5.700B
"Oct. 18, 2019",5.538B
"Oct. 17, 2019",5.605B
"Oct. 16, 2019",5.543B
"Oct. 15, 2019",5.589B
"Oct. 14, 2019",5.524B
"Oct. 11, 2019",5.506B
"Oct. 10, 2019",5.519B
"Oct. 9, 2019",5.476B
"Oct. 8, 2019",5.418B
"Oct. 7, 2019",5.437B
"Oct. 4, 2019",5.365B
"Oct. 3, 2019",5.267B
"Oct. 2, 2019",5.296B
"Oct. 1, 2019",5.414B
"Sept. 30, 2019",5.478B
"Sept. 27, 2019",5.459B
"Sept. 26, 2019",5.500B
"Sept. 25, 2019",5.477B
"Sept. 24, 2019",5.410B
"Sept. 23, 2019",5.451B
"Sept. 20, 2019",5.494B
"Sept. 19, 2019",5.549B
"Sept. 18, 2019",5.596B
"Sept. 17, 2019",5.558B
"Sept. 16, 2019",5.477B
"Sept. 13, 2019",5.631B
"Sept. 12, 2019",5.564B
"Sept. 11, 2019",5.610B
"Sept. 10, 2019",5.448B
"Sept. 9, 2019",5.526B
"Sept. 6, 2019",5.422B
"Sept. 5, 2019",5.477B
"Sept. 4, 2019",5.439B
"Sept. 3, 2019",5.670B
"Aug. 30, 2019",5.714B
"Aug. 29, 2019",5.723B
"Aug. 28, 2019",5.545B
"Aug. 27, 2019",5.486B
"Aug. 26, 2019",5.649B
"Aug. 23, 2019",5.685B
"Aug. 22, 2019",5.919B
"Aug. 21, 2019",5.919B
"Aug. 20, 2019",5.901B
"Aug. 19, 2019",6.017B
"Aug. 16, 2019",6.034B
"Aug. 15, 2019",5.922B
"Aug. 14, 2019",5.990B
"Aug. 13, 2019",6.147B
"Aug. 12, 2019",6.215B
"Aug. 9, 2019",6.345B
"Aug. 8, 2019",6.416B
"Aug. 7, 2019",6.319B
"Aug. 6, 2019",6.251B
"Aug. 5, 2019",6.179B
"Aug. 2, 2019",6.221B
"Aug. 1, 2019",6.251B
"July 31, 2019",6.280B
"July 30, 2019",6.348B
"July 29, 2019",6.342B
"July 26, 2019",6.325B
"July 25, 2019",6.366B
"July 24, 2019",6.378B
"July 23, 2019",6.295B
"July 22, 2019",6.200B
"July 19, 2019",6.185B
"July 18, 2019",6.277B
"July 17, 2019",6.236B
"July 16, 2019",6.360B
"July 15, 2019",6.132B
"July 12, 2019",6.174B
"July 11, 2019",6.120B
"July 10, 2019",6.194B
"July 9, 2019",6.209B
"July 8, 2019",6.348B
"July 5, 2019",6.268B
"July 3, 2019",6.251B
"July 2, 2019",6.150B
"July 1, 2019",6.094B
"June 30, 2019",6.061B
"June 28, 2019",6.228B
"June 27, 2019",6.161B
"June 26, 2019",6.110B
"June 25, 2019",6.173B
"June 24, 2019",6.215B
"June 21, 2019",6.258B
"June 20, 2019",6.345B
"June 19, 2019",6.396B
"June 18, 2019",6.459B
"June 17, 2019",6.498B
"June 14, 2019",6.486B
"June 13, 2019",6.513B
"June 12, 2019",6.453B
"June 11, 2019",6.408B
"June 10, 2019",6.155B
"June 7, 2019",6.170B
"June 6, 2019",6.056B
"June 5, 2019",6.119B
"June 4, 2019",6.023B
"June 3, 2019",5.851B
"May 31, 2019",5.848B
"May 30, 2019",5.887B
"May 29, 2019",5.815B
"May 28, 2019",5.842B
"May 24, 2019",5.921B
"May 23, 2019",5.954B
"May 22, 2019",5.948B
"May 21, 2019",6.041B
"May 20, 2019",5.951B
"May 17, 2019",6.023B
"May 16, 2019",6.032B
"May 15, 2019",6.029B
"May 14, 2019",6.071B
"May 13, 2019",5.963B
"May 10, 2019",6.173B
"May 9, 2019",6.182B
"May 8, 2019",6.212B
"May 7, 2019",6.237B
"May 6, 2019",6.294B
"May 3, 2019",6.294B
"May 2, 2019",6.270B
"May 1, 2019",6.270B
"April 30, 2019",6.246B
"April 29, 2019",6.155B
"April 26, 2019",6.116B
"April 25, 2019",6.089B
"April 24, 2019",6.137B
"April 23, 2019",5.945B
"April 22, 2019",5.728B
"April 18, 2019",5.767B
"April 17, 2019",5.773B
"April 16, 2019",5.743B
"April 15, 2019",5.758B
"April 12, 2019",5.791B
"April 11, 2019",5.821B
"April 10, 2019",5.755B
"April 9, 2019",5.580B
"April 8, 2019",5.653B
"April 5, 2019",5.671B
"April 4, 2019",5.659B
"April 3, 2019",5.710B
"April 2, 2019",5.722B
"April 1, 2019",5.662B
"March 31, 2019",5.586B
"March 29, 2019",5.706B
"March 28, 2019",5.652B
"March 27, 2019",5.640B
"March 26, 2019",5.532B
"March 25, 2019",5.499B
"March 22, 2019",5.577B
"March 21, 2019",5.688B
"March 20, 2019",5.683B
"March 19, 2019",5.776B
"March 18, 2019",5.779B
"March 15, 2019",5.812B
"March 14, 2019",5.803B
"March 13, 2019",5.839B
"March 12, 2019",5.740B
"March 11, 2019",5.844B
"March 8, 2019",5.712B
"March 7, 2019",5.746B
"March 6, 2019",5.816B
"March 5, 2019",5.819B
"March 4, 2019",5.859B
"March 1, 2019",5.973B
"Feb. 28, 2019",5.902B
"Feb. 27, 2019",5.963B
"Feb. 26, 2019",6.049B
"Feb. 25, 2019",6.071B
"Feb. 22, 2019",6.062B
"Feb. 21, 2019",6.144B
"Feb. 20, 2019",6.166B
"Feb. 19, 2019",6.279B
"Feb. 15, 2019",6.288B
"Feb. 14, 2019",6.325B
"Feb. 13, 2019",6.316B
"Feb. 12, 2019",6.267B
"Feb. 11, 2019",6.380B
"Feb. 8, 2019",6.344B
"Feb. 7, 2019",6.331B
"Feb. 6, 2019",6.344B
"Feb. 5, 2019",6.291B
"Feb. 4, 2019",6.301B
"Feb. 1, 2019",6.273B
"Jan. 31, 2019",6.298B
"Jan. 30, 2019",6.401B
"Jan. 29, 2019",6.328B
"Jan. 28, 2019",6.340B
"Jan. 25, 2019",6.202B
"Jan. 24, 2019",6.328B
"Jan. 23, 2019",6.058B
"Jan. 22, 2019",6.098B
"Jan. 18, 2019",6.169B
"Jan. 17, 2019",6.123B
"Jan. 16, 2019",6.092B
"Jan. 15, 2019",6.034B
"Jan. 14, 2019",6.031B
"Jan. 11, 2019",6.062B
"Jan. 10, 2019",6.031B
"Jan. 9, 2019",6.055B
"Jan. 8, 2019",5.939B
"Jan. 7, 2019",5.890B
"Jan. 4, 2019",5.847B
"Jan. 3, 2019",5.658B
"Jan. 2, 2019",5.740B
"Dec. 31, 2018",5.697B
"Dec. 28, 2018",5.508B
"Dec. 27, 2018",5.505B
"Dec. 26, 2018",5.529B
"Dec. 24, 2018",5.261B
"Dec. 21, 2018",5.364B
"Dec. 20, 2018",5.550B
"Dec. 19, 2018",5.687B
"Dec. 18, 2018",5.748B
"Dec. 17, 2018",5.666B
"Dec. 14, 2018",5.761B
"Dec. 13, 2018",5.895B
"Dec. 12, 2018",6.010B
"Dec. 11, 2018",6.093B
"Dec. 10, 2018",6.102B
"Dec. 7, 2018",6.084B
"Dec. 6, 2018",6.376B
"Dec. 4, 2018",6.343B
"Dec. 3, 2018",6.495B
"Nov. 30, 2018",6.580B
"Nov. 29, 2018",6.431B
"Nov. 28, 2018",6.431B
"Nov. 27, 2018",6.331B
"Nov. 26, 2018",6.270B
"Nov. 23, 2018",6.224B
"Nov. 21, 2018",6.132B
"Nov. 20, 2018",5.995B
"Nov. 19, 2018",6.035B
"Nov. 16, 2018",6.126B
"Nov. 15, 2018",6.169B
"Nov. 14, 2018",6.169B
"Nov. 13, 2018",6.181B
"Nov. 12, 2018",6.114B
"Nov. 9, 2018",6.148B
"Nov. 8, 2018",6.187B
"Nov. 7, 2018",6.178B
"Nov. 6, 2018",6.074B
"Nov. 5, 2018",6.074B
"Nov. 2, 2018",6.014B
"Nov. 1, 2018",5.882B
"Oct. 31, 2018",5.730B
"Oct. 30, 2018",5.837B
"Oct. 29, 2018",5.556B
"Oct. 26, 2018",5.593B
"Oct. 25, 2018",5.645B
"Oct. 24, 2018",5.453B
"Oct. 23, 2018",5.700B
"Oct. 22, 2018",5.681B
"Oct. 19, 2018",5.666B
"Oct. 18, 2018",5.611B
"Oct. 17, 2018",5.773B
"Oct. 16, 2018",5.770B
"Oct. 15, 2018",5.654B
"Oct. 12, 2018",5.617B
"Oct. 11, 2018",5.572B
"Oct. 10, 2018",5.700B
"Oct. 9, 2018",5.928B
"Oct. 8, 2018",6.111B
"Oct. 5, 2018",6.148B
"Oct. 4, 2018",6.263B
"Oct. 3, 2018",6.279B
"Oct. 2, 2018",6.401B
"Oct. 1, 2018",6.419B
"Sept. 30, 2018",6.532B
