date,historical_daily_var_5_all
"Feb. 29, 2020",4.17%
"Jan. 31, 2020",4.13%
"Dec. 31, 2019",4.15%
"Nov. 30, 2019",4.15%
"Oct. 31, 2019",4.18%
"Sept. 30, 2019",4.18%
"Aug. 31, 2019",4.18%
"July 31, 2019",4.18%
"June 30, 2019",4.19%
"May 31, 2019",4.20%
"April 30, 2019",4.21%
"March 31, 2019",4.21%
"Feb. 28, 2019",4.21%
"Jan. 31, 2019",4.22%
"Dec. 31, 2018",4.22%
"Nov. 30, 2018",4.22%
"Oct. 31, 2018",4.24%
"Sept. 30, 2018",4.23%
"Aug. 31, 2018",4.24%
"July 31, 2018",4.25%
"June 30, 2018",4.25%
"May 31, 2018",4.26%
"April 30, 2018",4.27%
"March 31, 2018",4.28%
"Feb. 28, 2018",4.28%
"Jan. 31, 2018",4.29%
"Dec. 31, 2017",4.29%
"Nov. 30, 2017",4.30%
"Oct. 31, 2017",4.30%
"Sept. 30, 2017",4.30%
"Aug. 31, 2017",4.31%
"July 31, 2017",4.31%
"June 30, 2017",4.31%
"May 31, 2017",4.31%
"April 30, 2017",4.31%
"March 31, 2017",4.33%
"Feb. 28, 2017",4.34%
"Jan. 31, 2017",4.34%
"Dec. 31, 2016",4.34%
"Nov. 30, 2016",4.34%
"Oct. 31, 2016",4.34%
"Sept. 30, 2016",4.35%
"Aug. 31, 2016",4.36%
"July 31, 2016",4.36%
"June 30, 2016",4.37%
"May 31, 2016",4.37%
"April 30, 2016",4.37%
"March 31, 2016",4.37%
"Feb. 29, 2016",4.37%
"Jan. 31, 2016",4.37%
"Dec. 31, 2015",4.37%
"Nov. 30, 2015",4.37%
"Oct. 31, 2015",4.37%
"Sept. 30, 2015",4.37%
"Aug. 31, 2015",4.37%
"July 31, 2015",4.37%
"June 30, 2015",4.40%
"May 31, 2015",4.40%
"April 30, 2015",4.40%
"March 31, 2015",4.43%
"Feb. 28, 2015",4.43%
"Jan. 31, 2015",4.44%
"Dec. 31, 2014",4.46%
"Nov. 30, 2014",4.46%
"Oct. 31, 2014",4.48%
"Sept. 30, 2014",4.46%
"Aug. 31, 2014",4.47%
"July 31, 2014",4.48%
"June 30, 2014",4.49%
"May 31, 2014",4.49%
"April 30, 2014",4.50%
"March 31, 2014",4.51%
"Feb. 28, 2014",4.52%
"Jan. 31, 2014",4.55%
"Dec. 31, 2013",4.57%
"Nov. 30, 2013",4.58%
"Oct. 31, 2013",4.59%
"Sept. 30, 2013",4.59%
"Aug. 31, 2013",4.61%
"July 31, 2013",4.63%
"June 30, 2013",4.64%
"May 31, 2013",4.65%
"April 30, 2013",4.68%
"March 31, 2013",4.65%
"Feb. 28, 2013",4.69%
"Jan. 31, 2013",4.69%
"Dec. 31, 2012",4.70%
"Nov. 30, 2012",4.70%
"Oct. 31, 2012",4.70%
"Sept. 30, 2012",4.71%
"Aug. 31, 2012",4.72%
"July 31, 2012",4.72%
"June 30, 2012",4.74%
"May 31, 2012",4.79%
"April 30, 2012",4.79%
"March 31, 2012",4.82%
"Feb. 29, 2012",4.85%
"Jan. 31, 2012",4.85%
"Dec. 31, 2011",4.86%
"Nov. 30, 2011",4.86%
"Oct. 31, 2011",4.90%
"Sept. 30, 2011",4.86%
"Aug. 31, 2011",4.91%
"July 31, 2011",4.78%
"June 30, 2011",4.79%
"May 31, 2011",4.82%
"April 30, 2011",4.86%
"March 31, 2011",4.87%
"Feb. 28, 2011",4.94%
"Jan. 31, 2011",4.94%
"Dec. 31, 2010",4.94%
"Nov. 30, 2010",4.95%
