date,market_cap
"March 19, 2020",2.095B
"March 18, 2020",2.111B
"March 17, 2020",2.624B
"March 16, 2020",2.924B
"March 13, 2020",3.081B
"March 12, 2020",3.167B
"March 11, 2020",3.740B
"March 10, 2020",4.018B
"March 9, 2020",3.693B
"March 6, 2020",3.825B
"March 5, 2020",3.820B
"March 4, 2020",4.283B
"March 3, 2020",4.137B
"March 2, 2020",4.291B
"Feb. 28, 2020",4.349B
"Feb. 27, 2020",4.484B
"Feb. 26, 2020",4.718B
"Feb. 25, 2020",5.030B
"Feb. 24, 2020",5.341B
"Feb. 21, 2020",5.816B
"Feb. 20, 2020",5.878B
"Feb. 19, 2020",5.873B
"Feb. 18, 2020",6.011B
"Feb. 14, 2020",6.002B
"Feb. 13, 2020",6.084B
"Feb. 12, 2020",5.963B
"Feb. 11, 2020",5.788B
"Feb. 10, 2020",5.650B
"Feb. 7, 2020",5.627B
"Feb. 6, 2020",5.667B
"Feb. 5, 2020",5.839B
"Feb. 4, 2020",5.763B
"Feb. 3, 2020",5.650B
"Jan. 31, 2020",5.596B
"Jan. 30, 2020",5.696B
"Jan. 29, 2020",5.623B
"Jan. 28, 2020",5.716B
"Jan. 27, 2020",5.651B
"Jan. 24, 2020",5.822B
"Jan. 23, 2020",5.942B
"Jan. 22, 2020",5.582B
"Jan. 21, 2020",5.372B
"Jan. 17, 2020",5.417B
"Jan. 16, 2020",5.358B
"Jan. 15, 2020",5.273B
"Jan. 14, 2020",5.223B
"Jan. 13, 2020",5.245B
"Jan. 10, 2020",5.276B
"Jan. 9, 2020",5.276B
"Jan. 8, 2020",5.217B
"Jan. 7, 2020",5.192B
"Jan. 6, 2020",5.211B
"Jan. 3, 2020",5.237B
"Jan. 2, 2020",5.327B
"Dec. 31, 2019",5.279B
"Dec. 30, 2019",5.272B
"Dec. 27, 2019",5.323B
"Dec. 26, 2019",5.382B
"Dec. 24, 2019",5.388B
"Dec. 23, 2019",5.410B
"Dec. 20, 2019",5.413B
"Dec. 19, 2019",5.323B
"Dec. 18, 2019",5.295B
"Dec. 17, 2019",5.346B
"Dec. 16, 2019",5.270B
"Dec. 13, 2019",5.236B
"Dec. 12, 2019",5.332B
"Dec. 11, 2019",5.278B
"Dec. 10, 2019",5.326B
"Dec. 9, 2019",5.334B
"Dec. 6, 2019",5.360B
"Dec. 5, 2019",5.394B
"Dec. 4, 2019",5.444B
"Dec. 3, 2019",5.298B
"Dec. 2, 2019",5.410B
"Nov. 29, 2019",5.430B
"Nov. 27, 2019",5.427B
"Nov. 26, 2019",5.444B
"Nov. 25, 2019",5.409B
"Nov. 22, 2019",5.343B
"Nov. 21, 2019",5.378B
"Nov. 20, 2019",5.491B
"Nov. 19, 2019",5.589B
"Nov. 18, 2019",5.621B
"Nov. 15, 2019",5.664B
"Nov. 14, 2019",5.650B
"Nov. 13, 2019",5.653B
"Nov. 12, 2019",5.572B
"Nov. 11, 2019",5.705B
"Nov. 8, 2019",5.650B
"Nov. 7, 2019",5.651B
"Nov. 6, 2019",5.676B
"Nov. 5, 2019",5.664B
"Nov. 4, 2019",5.612B
"Nov. 1, 2019",5.624B
"Oct. 31, 2019",5.572B
"Oct. 30, 2019",5.618B
"Oct. 29, 2019",5.621B
"Oct. 28, 2019",5.552B
"Oct. 25, 2019",5.416B
"Oct. 24, 2019",5.321B
"Oct. 23, 2019",5.451B
"Oct. 22, 2019",5.427B
"Oct. 21, 2019",5.058B
"Oct. 18, 2019",4.896B
"Oct. 17, 2019",4.963B
"Oct. 16, 2019",4.901B
"Oct. 15, 2019",4.947B
"Oct. 14, 2019",4.882B
"Oct. 11, 2019",4.864B
"Oct. 10, 2019",4.877B
"Oct. 9, 2019",4.834B
"Oct. 8, 2019",4.776B
"Oct. 7, 2019",4.795B
"Oct. 4, 2019",4.723B
"Oct. 3, 2019",4.625B
"Oct. 2, 2019",4.654B
"Oct. 1, 2019",4.772B
"Sept. 30, 2019",4.836B
"Sept. 27, 2019",4.876B
"Sept. 26, 2019",4.917B
"Sept. 25, 2019",4.894B
"Sept. 24, 2019",4.827B
"Sept. 23, 2019",4.868B
"Sept. 20, 2019",4.911B
"Sept. 19, 2019",4.966B
"Sept. 18, 2019",5.013B
"Sept. 17, 2019",4.975B
"Sept. 16, 2019",4.894B
"Sept. 13, 2019",5.048B
"Sept. 12, 2019",4.981B
"Sept. 11, 2019",5.027B
"Sept. 10, 2019",4.865B
"Sept. 9, 2019",4.943B
"Sept. 6, 2019",4.839B
"Sept. 5, 2019",4.894B
"Sept. 4, 2019",4.856B
"Sept. 3, 2019",5.087B
"Aug. 30, 2019",5.131B
"Aug. 29, 2019",5.140B
"Aug. 28, 2019",4.962B
"Aug. 27, 2019",4.903B
"Aug. 26, 2019",5.066B
"Aug. 23, 2019",5.102B
"Aug. 22, 2019",5.336B
"Aug. 21, 2019",5.336B
"Aug. 20, 2019",5.318B
"Aug. 19, 2019",5.434B
"Aug. 16, 2019",5.451B
"Aug. 15, 2019",5.339B
"Aug. 14, 2019",5.407B
"Aug. 13, 2019",5.564B
"Aug. 12, 2019",5.632B
"Aug. 9, 2019",5.762B
"Aug. 8, 2019",5.833B
"Aug. 7, 2019",5.736B
"Aug. 6, 2019",5.668B
"Aug. 5, 2019",5.596B
"Aug. 2, 2019",5.638B
"Aug. 1, 2019",5.668B
"July 31, 2019",5.697B
"July 30, 2019",5.765B
"July 29, 2019",5.759B
"July 26, 2019",5.742B
"July 25, 2019",5.783B
"July 24, 2019",5.795B
"July 23, 2019",5.712B
"July 22, 2019",5.617B
"July 19, 2019",5.602B
"July 18, 2019",5.694B
"July 17, 2019",5.653B
"July 16, 2019",5.777B
"July 15, 2019",5.549B
"July 12, 2019",5.591B
"July 11, 2019",5.537B
"July 10, 2019",5.611B
"July 9, 2019",5.626B
"July 8, 2019",5.765B
"July 5, 2019",5.685B
