date,pe_10
"March 19, 2020",6.321
"March 18, 2020",6.371
"March 17, 2020",7.918
"March 16, 2020",8.824
"March 13, 2020",9.298
"March 12, 2020",9.556
"March 11, 2020",11.29
"March 10, 2020",12.13
"March 9, 2020",11.14
"March 6, 2020",11.54
"March 5, 2020",11.53
"March 4, 2020",12.92
"March 3, 2020",12.48
"March 2, 2020",12.95
"Feb. 28, 2020",13.12
"Feb. 27, 2020",13.53
"Feb. 26, 2020",14.24
"Feb. 25, 2020",15.18
"Feb. 24, 2020",16.12
"Feb. 21, 2020",17.14
"Feb. 20, 2020",17.32
"Feb. 19, 2020",17.31
"Feb. 18, 2020",17.72
"Feb. 14, 2020",17.69
"Feb. 13, 2020",17.93
"Feb. 12, 2020",17.57
"Feb. 11, 2020",17.06
"Feb. 10, 2020",16.65
"Feb. 7, 2020",16.58
"Feb. 6, 2020",16.70
"Feb. 5, 2020",17.21
"Feb. 4, 2020",16.98
"Feb. 3, 2020",16.65
"Jan. 31, 2020",16.49
"Jan. 30, 2020",16.80
"Jan. 29, 2020",16.58
"Jan. 28, 2020",16.86
"Jan. 27, 2020",16.67
"Jan. 24, 2020",17.17
"Jan. 23, 2020",17.52
"Jan. 22, 2020",16.46
"Jan. 21, 2020",15.84
"Jan. 17, 2020",15.98
"Jan. 16, 2020",15.80
"Jan. 15, 2020",15.55
"Jan. 14, 2020",15.40
"Jan. 13, 2020",15.47
"Jan. 10, 2020",15.56
"Jan. 9, 2020",15.56
"Jan. 8, 2020",15.39
"Jan. 7, 2020",15.31
"Jan. 6, 2020",15.37
"Jan. 3, 2020",15.44
"Jan. 2, 2020",15.71
"Dec. 31, 2019",15.57
"Dec. 30, 2019",16.13
"Dec. 27, 2019",16.29
"Dec. 26, 2019",16.47
"Dec. 24, 2019",16.49
"Dec. 23, 2019",16.56
"Dec. 20, 2019",16.57
"Dec. 19, 2019",16.29
"Dec. 18, 2019",16.20
"Dec. 17, 2019",16.36
"Dec. 16, 2019",16.13
"Dec. 13, 2019",16.02
"Dec. 12, 2019",16.32
"Dec. 11, 2019",16.15
"Dec. 10, 2019",16.30
"Dec. 9, 2019",16.32
"Dec. 6, 2019",16.40
"Dec. 5, 2019",16.51
"Dec. 4, 2019",16.66
"Dec. 3, 2019",16.21
"Dec. 2, 2019",16.56
"Nov. 29, 2019",16.62
"Nov. 27, 2019",16.61
"Nov. 26, 2019",16.66
"Nov. 25, 2019",16.55
"Nov. 22, 2019",16.35
"Nov. 21, 2019",16.07
"Nov. 20, 2019",16.40
"Nov. 19, 2019",16.70
"Nov. 18, 2019",16.79
"Nov. 15, 2019",16.92
"Nov. 14, 2019",16.88
"Nov. 13, 2019",16.89
"Nov. 12, 2019",16.64
"Nov. 11, 2019",17.04
"Nov. 8, 2019",16.88
"Nov. 7, 2019",16.88
"Nov. 6, 2019",16.95
"Nov. 5, 2019",16.92
"Nov. 4, 2019",16.76
"Nov. 1, 2019",16.80
"Oct. 31, 2019",16.64
"Oct. 30, 2019",16.78
