date,sales_est_0y
"March 16, 2020",7.975B
"March 13, 2020",8.305B
"March 11, 2020",8.425B
"March 9, 2020",8.508B
"March 6, 2020",8.591B
"March 5, 2020",8.616B
"March 3, 2020",8.647B
"March 2, 2020",8.657B
"Feb. 25, 2020",8.648B
"Feb. 4, 2020",8.649B
"Jan. 29, 2020",8.651B
"Jan. 27, 2020",8.647B
"Jan. 24, 2020",8.650B
"Jan. 23, 2020",8.590B
"Jan. 22, 2020",8.658B
"Jan. 21, 2020",8.658B
"Jan. 14, 2020",8.668B
"Jan. 13, 2020",8.667B
"Jan. 12, 2020",8.662B
"Jan. 10, 2020",8.662B
"Jan. 8, 2020",8.655B
"Jan. 6, 2020",8.656B
"Jan. 2, 2020",8.665B
"Dec. 31, 2019",8.098B
"Dec. 20, 2019",8.098B
"Dec. 19, 2019",8.098B
"Dec. 16, 2019",8.101B
"Dec. 12, 2019",8.102B
"Dec. 11, 2019",8.105B
"Nov. 22, 2019",8.107B
"Nov. 13, 2019",8.106B
"Nov. 11, 2019",8.107B
"Nov. 6, 2019",8.110B
"Oct. 28, 2019",8.110B
"Oct. 24, 2019",8.112B
"Oct. 23, 2019",8.112B
"Oct. 22, 2019",8.104B
"Oct. 18, 2019",8.126B
"Oct. 14, 2019",8.124B
"Oct. 11, 2019",8.122B
"Oct. 10, 2019",8.122B
"Oct. 9, 2019",8.128B
"Oct. 7, 2019",8.127B
"Oct. 3, 2019",8.127B
"Oct. 2, 2019",8.127B
"Oct. 1, 2019",8.131B
"Sept. 29, 2019",8.138B
"Sept. 24, 2019",8.146B
"Sept. 23, 2019",8.145B
"Sept. 13, 2019",8.151B
"Sept. 12, 2019",8.156B
"Sept. 9, 2019",8.164B
"Sept. 8, 2019",8.168B
"Sept. 6, 2019",8.172B
"Sept. 4, 2019",8.188B
"Aug. 19, 2019",8.197B
"Aug. 14, 2019",8.197B
"July 30, 2019",8.197B
"July 28, 2019",8.194B
"July 26, 2019",8.192B
"July 25, 2019",8.192B
"July 24, 2019",8.186B
"July 23, 2019",8.187B
"July 19, 2019",8.172B
"July 17, 2019",8.171B
"July 16, 2019",8.169B
"July 15, 2019",8.168B
"July 11, 2019",8.168B
"July 10, 2019",8.168B
"July 8, 2019",8.170B
"June 27, 2019",8.164B
"June 20, 2019",8.164B
"June 19, 2019",8.162B
"June 17, 2019",8.162B
"June 12, 2019",8.162B
"June 3, 2019",8.159B
"May 28, 2019",8.159B
"May 20, 2019",8.155B
"May 6, 2019",8.156B
"May 3, 2019",8.157B
"April 30, 2019",8.156B
"April 29, 2019",8.154B
"April 26, 2019",8.151B
"April 24, 2019",8.151B
"April 23, 2019",8.134B
"April 17, 2019",8.185B
"April 15, 2019",8.185B
"April 12, 2019",8.186B
"April 11, 2019",8.183B
"April 10, 2019",8.185B
"April 9, 2019",8.183B
"April 8, 2019",8.197B
"April 4, 2019",8.194B
"April 1, 2019",8.205B
"March 29, 2019",8.213B
"March 28, 2019",8.216B
"March 11, 2019",8.223B
"March 10, 2019",8.229B
"March 7, 2019",8.235B
"March 6, 2019",8.240B
"March 5, 2019",8.238B
"March 1, 2019",8.255B
"Feb. 27, 2019",8.256B
"Feb. 22, 2019",8.256B
"Feb. 13, 2019",8.258B
"Feb. 1, 2019",8.254B
"Jan. 31, 2019",8.254B
"Jan. 28, 2019",8.247B
"Jan. 25, 2019",8.263B
"Jan. 24, 2019",8.260B
"Jan. 23, 2019",8.261B
"Jan. 14, 2019",8.260B
"Jan. 12, 2019",8.267B
"Jan. 11, 2019",8.265B
"Jan. 10, 2019",8.267B
"Jan. 9, 2019",8.275B
"Jan. 8, 2019",8.281B
"Jan. 7, 2019",8.290B
"Dec. 31, 2018",7.643B
"Dec. 21, 2018",7.643B
"Dec. 18, 2018",7.641B
"Dec. 6, 2018",7.641B
"Dec. 4, 2018",7.641B
"Nov. 28, 2018",7.641B
"Nov. 19, 2018",7.640B
"Nov. 14, 2018",7.640B
"Nov. 12, 2018",7.641B
"Oct. 30, 2018",7.639B
"Oct. 25, 2018",7.638B
"Oct. 24, 2018",7.652B
"Oct. 23, 2018",7.661B
"Oct. 16, 2018",7.666B
"Oct. 15, 2018",7.666B
"Oct. 11, 2018",7.670B
"Oct. 10, 2018",7.670B
"Oct. 5, 2018",7.669B
"Oct. 4, 2018",7.667B
"Oct. 3, 2018",7.668B
"Oct. 2, 2018",7.666B
"Oct. 1, 2018",7.666B
"Sept. 27, 2018",7.665B
"Sept. 10, 2018",7.664B
"Sept. 6, 2018",7.663B
"Sept. 5, 2018",7.662B
"Sept. 4, 2018",7.661B
"Aug. 24, 2018",7.658B
"Aug. 10, 2018",7.658B
"Aug. 1, 2018",7.656B
"July 31, 2018",7.654B
"July 25, 2018",7.657B
"July 24, 2018",7.662B
"July 23, 2018",7.676B
"July 20, 2018",7.676B
"July 17, 2018",7.677B
"July 16, 2018",7.678B
"July 13, 2018",7.677B
"July 12, 2018",7.679B
"July 11, 2018",7.680B
"July 6, 2018",7.675B
"June 20, 2018",7.675B
"June 15, 2018",7.671B
"June 13, 2018",7.671B
"June 9, 2018",7.674B
"June 5, 2018",7.674B
"June 4, 2018",7.674B
"May 18, 2018",7.673B
"May 17, 2018",7.673B
"May 14, 2018",7.673B
"May 11, 2018",7.668B
"May 8, 2018",7.668B
"May 2, 2018",7.667B
"April 30, 2018",7.666B
"April 27, 2018",7.668B
"April 25, 2018",7.671B
"April 24, 2018",7.676B
"April 17, 2018",7.659B
"April 16, 2018",7.661B
"April 13, 2018",7.661B
"April 12, 2018",7.669B
"April 11, 2018",7.668B
"April 10, 2018",7.670B
"April 6, 2018",7.668B
"April 3, 2018",7.675B
"April 2, 2018",7.675B
"March 29, 2018",7.676B
"March 28, 2018",7.676B
"March 19, 2018",7.677B
"March 14, 2018",7.680B
"March 13, 2018",7.681B
"March 12, 2018",7.680B
"March 9, 2018",7.680B
"Feb. 23, 2018",7.678B
"Feb. 21, 2018",7.681B
"Feb. 16, 2018",7.681B
"Feb. 15, 2018",7.686B
"Feb. 14, 2018",7.670B
"Jan. 31, 2018",7.686B
"Jan. 30, 2018",7.681B
"Jan. 26, 2018",7.681B
"Jan. 25, 2018",7.666B
"Jan. 23, 2018",7.677B
"Jan. 20, 2018",7.675B
"Jan. 18, 2018",7.673B
"Jan. 17, 2018",7.669B
"Jan. 16, 2018",7.662B
"Jan. 14, 2018",7.655B
"Jan. 12, 2018",7.655B
"Jan. 11, 2018",7.654B
"Jan. 10, 2018",7.654B
"Jan. 9, 2018",7.648B
"Jan. 8, 2018",7.635B
"Jan. 5, 2018",7.632B
