date,three_month_return
"March 19, 2020",-59.77%
"March 18, 2020",-59.23%
"March 17, 2020",-49.82%
"March 16, 2020",-43.26%
"March 13, 2020",-39.83%
"March 12, 2020",-39.27%
"March 11, 2020",-27.55%
"March 10, 2020",-22.86%
"March 9, 2020",-29.21%
"March 6, 2020",-27.02%
"March 5, 2020",-27.59%
"March 4, 2020",-19.57%
"March 3, 2020",-20.16%
"March 2, 2020",-18.91%
"Feb. 28, 2020",-18.07%
"Feb. 27, 2020",-15.52%
"Feb. 26, 2020",-11.39%
"Feb. 25, 2020",-4.92%
"Feb. 24, 2020",2.22%
"Feb. 21, 2020",10.63%
"Feb. 20, 2020",9.52%
"Feb. 19, 2020",7.49%
"Feb. 18, 2020",9.40%
"Feb. 14, 2020",8.69%
"Feb. 13, 2020",10.11%
"Feb. 12, 2020",9.48%
"Feb. 11, 2020",3.80%
"Feb. 10, 2020",2.30%
"Feb. 7, 2020",1.86%
"Feb. 6, 2020",2.14%
"Feb. 5, 2020",5.45%
"Feb. 4, 2020",5.04%
"Feb. 3, 2020",2.77%
"Jan. 31, 2020",2.75%
"Jan. 30, 2020",3.80%
"Jan. 29, 2020",2.41%
"Jan. 28, 2020",5.41%
"Jan. 27, 2020",6.82%
"Jan. 24, 2020",12.02%
"Jan. 23, 2020",11.60%
"Jan. 22, 2020",5.29%
"Jan. 21, 2020",8.73%
"Jan. 17, 2020",11.75%
"Jan. 16, 2020",11.93%
"Jan. 15, 2020",9.13%
"Jan. 14, 2020",9.52%
"Jan. 13, 2020",10.39%
"Jan. 10, 2020",10.74%
"Jan. 9, 2020",11.73%
"Jan. 8, 2020",11.82%
"Jan. 7, 2020",10.84%
"Jan. 6, 2020",12.96%
"Jan. 3, 2020",15.92%
"Jan. 2, 2020",17.18%
"Dec. 31, 2019",11.76%
"Dec. 30, 2019",11.70%
"Dec. 27, 2019",12.44%
"Dec. 26, 2019",12.75%
"Dec. 24, 2019",14.97%
"Dec. 23, 2019",14.49%
"Dec. 20, 2019",13.53%
"Dec. 19, 2019",10.40%
"Dec. 18, 2019",8.80%
"Dec. 17, 2019",10.68%
"Dec. 16, 2019",10.91%
"Dec. 13, 2019",6.84%
"Dec. 12, 2019",10.26%
"Dec. 11, 2019",8.14%
"Dec. 10, 2019",12.77%
"Dec. 9, 2019",11.16%
"Dec. 6, 2019",14.10%
"Dec. 5, 2019",15.86%
"Dec. 4, 2019",17.88%
"Dec. 3, 2019",9.49%
"Dec. 2, 2019",10.85%
"Nov. 29, 2019",11.07%
"Nov. 27, 2019",16.37%
"Nov. 26, 2019",12.98%
"Nov. 25, 2019",11.47%
"Nov. 22, 2019",5.27%
"Nov. 21, 2019",3.44%
"Nov. 20, 2019",5.96%
"Nov. 19, 2019",5.56%
"Nov. 18, 2019",5.82%
"Nov. 15, 2019",8.88%
"Nov. 14, 2019",7.23%
