date,tobin_q
"Dec. 31, 2019",0.6835
"Sept. 30, 2019",0.6586
"June 30, 2019",0.7222
"March 31, 2019",0.677
"Dec. 31, 2018",0.6764
"Sept. 30, 2018",0.8077
"June 30, 2018",0.8116
"March 31, 2018",0.8495
"Dec. 31, 2017",0.9318
"Sept. 30, 2017",0.8337
"June 30, 2017",0.9991
"March 31, 2017",0.9469
"Dec. 31, 2016",1.026
"Sept. 30, 2016",0.765
"June 30, 2016",0.7607
"March 31, 2016",0.975
"Dec. 31, 2015",1.108
"Sept. 30, 2015",1.217
"June 30, 2015",1.096
"March 31, 2015",1.040
"Dec. 31, 2014",0.9719
"Sept. 30, 2014",0.7605
"June 30, 2014",0.7762
"March 31, 2014",0.7234
"Dec. 31, 2013",0.7426
"Sept. 30, 2013",0.6366
"June 30, 2013",0.6441
"March 31, 2013",0.6731
"Dec. 31, 2012",0.6467
"Sept. 30, 2012",0.5607
"June 30, 2012",0.5729
"March 31, 2012",0.5597
"Dec. 31, 2011",0.5797
"Sept. 30, 2011",0.5446
"June 30, 2011",0.6445
"March 31, 2011",0.6528
"Dec. 31, 2010",0.686
"Sept. 30, 2010",0.7041
"June 30, 2010",0.6584
"March 31, 2010",0.6528
"Dec. 31, 2009",0.6316
"Sept. 30, 2009",0.6715
"June 30, 2009",0.6469
"March 31, 2009",0.6513
"Dec. 31, 2008",0.8174
"Sept. 30, 2008",0.7239
"June 30, 2008",0.6143
"March 31, 2008",0.6944
"Dec. 31, 2007",0.6787
"Sept. 30, 2007",0.80
"June 30, 2007",0.9006
"March 31, 2007",0.926
"Dec. 31, 2006",1.048
"Sept. 30, 2006",0.9502
"June 30, 2006",1.077
"March 31, 2006",1.033
"Dec. 31, 2005",1.233
"Sept. 30, 2005",1.082
"June 30, 2005",1.157
"March 31, 2005",1.098
"Dec. 31, 2004",1.355
"Sept. 30, 2004",1.254
"June 30, 2004",1.614
"March 31, 2004",1.473
"Dec. 31, 2003",1.576
"Sept. 30, 2003",2.346
"June 30, 2003",2.157
"March 31, 2003",1.699
"Dec. 31, 2002",
"Sept. 30, 2002",1.847
"June 30, 2002",2.130
