Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06
Net Income,30.01M,54.75M,-207.40M,-96.64M,-42.44M,-11.17M,-25.93M,214.08M,167.71M,-46.94M,86.31M,-28.21M,150.50M,-124.88M,394.18M,15.54M,5.871M,-81.91M,123.23M,-60.23M,-341.54M,-94.89M,-36.70M,172.20M,174.44M,-103.34M,-35.44M,230.23M,53.57M,36.05M,361.65M
Gain/Loss on Sale Business,-34.19M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,-27.93M,-47.20M,180.83M,65.35M,-48.70M,47.07M,53.04M,-194.82M,-144.02M,50.56M,-82.23M,69.91M,-132.31M,153.54M,-376.62M,20.58M,18.01M,96.34M,-117.52M,90.39M,351.48M,88.90M,28.98M,-149.31M,-146.75M,98.54M,20.64M,-220.97M,-49.61M,-58.14M,-390.02M
Operating Gains Losses,-62.12M,-47.20M,180.83M,65.35M,-48.70M,47.07M,53.04M,-194.82M,-144.02M,50.56M,-82.23M,69.91M,-132.31M,153.54M,-376.62M,20.58M,18.01M,96.34M,-117.52M,90.39M,351.48M,88.90M,28.98M,-149.31M,-146.75M,98.54M,20.64M,-220.97M,-49.61M,-58.14M,-390.02M
Depreciation Expense,1.704M,1.933M,2.233M,1.532M,0.8073M,0.6076M,0.6889M,0.8043M,0.7956M,0.8400M,0.7411M,2.344M,1.242M,0.7580M,0.6674M,0.7484M,0.6623M,0.6613M,0.6807M,0.9164M,0.5650M,0.8540M,0.8185M,1.004M,0.9605M,0.9910M,0.9891M,-0.0298M,2.135M,1.234M,1.080M
Amortization Expense CF,3.758M,5.260M,5.688M,5.044M,5.346M,3.719M,3.154M,2.522M,4.186M,3.643M,2.572M,4.128M,2.861M,2.888M,2.264M,4.301M,5.007M,6.339M,12.22M,14.83M,15.77M,16.69M,15.34M,16.37M,14.69M,14.69M,15.89M,27.77M,25.87M,25.14M,24.86M
Total Depreciation and Amortization,5.462M,7.193M,7.921M,6.575M,6.154M,4.326M,3.843M,3.326M,4.982M,4.483M,3.313M,6.472M,4.104M,3.646M,2.932M,5.050M,5.670M,7.000M,12.90M,15.74M,16.33M,17.55M,16.16M,17.38M,15.66M,15.68M,16.88M,27.74M,28.00M,26.38M,25.94M
"Total Depreciation, Amortization, Depletion",5.462M,7.193M,7.921M,6.575M,6.154M,4.326M,3.843M,3.326M,4.982M,4.483M,3.313M,6.472M,4.104M,3.646M,2.932M,5.050M,5.670M,7.000M,12.90M,15.74M,16.33M,17.55M,16.16M,17.38M,15.66M,15.68M,16.88M,27.74M,28.00M,26.38M,25.94M
Stock Based Compensation,1.281M,1.330M,5.319M,1.274M,1.017M,1.070M,1.313M,-0.3119M,1.113M,2.199M,11.33M,1.440M,0.9633M,1.079M,1.146M,1.023M,0.9790M,0.9857M,1.095M,0.8230M,1.525M,2.507M,1.419M,-3.003M,1.477M,1.326M,1.719M,2.604M,2.920M,3.214M,3.200M
Other Noncash Items,3.229M,9.248M,6.265M,-2.564M,2.634M,8.942M,6.822M,1.996M,0.2787M,6.819M,4.413M,-8.947M,5.834M,15.31M,7.456M,-9.496M,1.123M,11.81M,10.04M,-8.450M,-3.994M,16.21M,8.644M,-11.13M,-4.528M,14.64M,8.889M,1.022M,3.762M,6.135M,3.714M
Changes in Working Capital,-43.48M,43.83M,20.31M,34.41M,48.18M,-46.73M,-42.55M,-20.93M,-5.870M,-4.311M,0.4133M,-9.696M,-0.8164M,1.921M,-9.260M,42.54M,-11.34M,-25.15M,19.61M,24.24M,-17.11M,-18.40M,-27.91M,54.44M,-2.050M,-24.33M,15.42M,13.20M,-9.213M,-34.77M,21.02M
Other Cash from Operations,22.95M,-6.993M,-19.48M,5.519M,48.11M,-53.60M,0.2828M,,,,,,,,,,,,,-0.1212M,6.270M,10.91M,1.358M,1.954M,-2.353M,13.64M,-6.918M,9.691M,0.1869M,0.8547M,-2.131M
Cash from Operations,-45.14M,61.80M,-10.50M,13.29M,13.65M,-51.09M,-9.722M,2.482M,22.19M,8.450M,15.32M,27.87M,25.28M,46.66M,14.78M,69.19M,20.38M,9.124M,44.14M,60.05M,11.94M,22.19M,-9.405M,83.47M,36.52M,16.28M,20.89M,62.20M,29.53M,-20.52M,21.79M
Net Change in Capital Expenditures,-4.944M,2.757M,-7.451M,-5.435M,-11.36M,-8.749M,-7.637M,-6.177M,-9.414M,-6.406M,-5.944M,-6.177M,-7.418M,-2.730M,-3.774M,-4.096M,-2.568M,-3.609M,-2.673M,-5.419M,-1.480M,-2.838M,-2.072M,-5.404M,-4.810M,-0.8522M,-2.972M,43.91M,-39.52M,-31.65M,-25.61M
Net Change in PP&E,-0.1382M,-0.0524M,-0.4199M,-0.8252M,-1.148M,-0.4626M,-1.495M,-0.7044M,-0.7136M,-1.475M,-0.8853M,-1.938M,-1.592M,-1.467M,-1.336M,-2.080M,-1.167M,-1.167M,-0.8515M,-2.707M,-0.3090M,-0.4624M,-1.605M,-3.158M,-2.656M,-0.2292M,-0.8875M,51.11M,-34.73M,-30.62M,-24.09M
