Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12
Operating Revenue,498.82M,581.68M,500.77M,1.181B,555.23M,615.23M,544.40M,801.05M,717.20M,679.63M,630.13M,715.33M,688.26M,761.21M,697.16M,783.86M,756.02M,830.95M,758.80M,977.15M,832.69M,843.38M,752.59M,1.028B,800.25M,802.55M,711.61M,897.25M,742.85M,716.08M,650.88M,688.75M,721.50M
Revenue,498.82M,581.68M,500.77M,1.181B,555.23M,615.23M,544.40M,801.05M,717.20M,679.63M,630.13M,715.33M,688.26M,761.21M,697.16M,783.86M,756.02M,830.95M,758.80M,977.15M,832.69M,843.38M,752.59M,1.028B,800.25M,802.55M,711.61M,897.25M,742.85M,716.08M,650.88M,688.75M,721.50M
Cost of Goods Sold,390.89M,464.06M,401.91M,981.38M,430.86M,501.24M,441.64M,667.26M,582.51M,565.82M,513.01M,582.87M,557.62M,620.50M,570.93M,635.02M,621.29M,703.20M,636.07M,820.42M,700.68M,721.67M,639.49M,902.85M,658.68M,693.28M,608.07M,742.54M,601.38M,601.33M,538.34M,533.58M,577.51M
Gross Profit,107.93M,117.62M,98.85M,200.09M,124.37M,113.99M,102.75M,133.79M,134.68M,113.81M,117.12M,132.46M,130.64M,140.72M,126.23M,148.84M,134.73M,127.75M,122.73M,156.74M,132.02M,121.71M,113.10M,124.70M,141.57M,109.27M,103.54M,154.71M,141.47M,114.75M,112.54M,155.16M,143.99M
Sales and Marketing Expense,38.84M,41.09M,46.11M,66.11M,39.10M,38.57M,32.52M,47.53M,43.67M,46.73M,43.17M,40.57M,41.46M,45.58M,44.84M,45.36M,50.21M,49.87M,51.06M,51.67M,46.59M,48.76M,50.60M,42.52M,43.22M,45.06M,49.69M,61.28M,50.34M,50.47M,57.99M,58.48M,47.73M
General and Administrative Expense,31.28M,32.65M,35.81M,61.75M,32.75M,35.11M,32.26M,32.58M,40.93M,38.71M,47.48M,25.88M,34.41M,36.91M,35.83M,36.99M,33.17M,31.85M,31.67M,34.70M,37.67M,37.63M,31.68M,23.01M,29.17M,29.61M,30.85M,37.63M,38.08M,36.69M,36.71M,28.75M,33.57M
SG&A Expense,70.12M,73.74M,81.91M,127.86M,71.85M,73.68M,64.78M,80.11M,84.60M,85.44M,90.65M,66.45M,75.87M,82.50M,80.68M,82.35M,83.38M,81.71M,82.73M,86.38M,84.26M,86.39M,82.29M,65.53M,72.39M,74.66M,80.55M,98.91M,88.42M,87.17M,94.70M,87.24M,81.30M
Income Statement Depreciation,1.701M,1.904M,2.233M,1.495M,0.8220M,0.6165M,0.6889M,0.8314M,0.8185M,0.7858M,0.7411M,2.280M,1.275M,0.7659M,0.6674M,0.6768M,0.6896M,0.7024M,0.6807M,0.8359M,0.6359M,0.8523M,0.8185M,0.9652M,0.9811M,1.006M,0.9891M,0.0129M,2.125M,1.219M,1.080M,0.2456M,1.496M
Amortization Expense,3.752M,4.610M,5.688M,4.885M,5.425M,3.760M,3.154M,2.626M,4.276M,3.455M,2.572M,3.961M,2.978M,2.915M,2.264M,3.147M,3.003M,2.924M,3.991M,9.903M,9.080M,8.937M,8.705M,11.54M,11.54M,11.25M,11.22M,21.90M,20.98M,21.77M,21.56M,22.90M,25.71M
Investment Write Off,15.15M,22.38M,12.92M,78.14M,38.83M,15.46M,12.95M,11.27M,10.26M,10.98M,11.35M,8.623M,12.16M,11.36M,10.53M,14.05M,9.748M,14.21M,14.34M,17.51M,11.75M,12.87M,11.94M,9.793M,12.94M,11.42M,9.590M,8.247M,6.239M,7.745M,8.555M,6.968M,8.077M
