date,altman_z_score
"Dec. 31, 2019",0.6006
"Sept. 30, 2019",0.6045
"June 30, 2019",0.4314
"March 31, 2019",1.264
"Dec. 31, 2018",1.866
"Sept. 30, 2018",2.422
"June 30, 2018",2.696
"March 31, 2018",3.099
"Dec. 31, 2017",2.049
"Sept. 30, 2017",1.901
"June 30, 2017",2.345
"March 31, 2017",3.653
"Dec. 31, 2016",3.823
"Sept. 30, 2016",2.560
"June 30, 2016",3.408
"March 31, 2016",1.773
"Dec. 31, 2015",2.146
"Sept. 30, 2015",0.8741
"June 30, 2015",0.7657
"March 31, 2015",0.0356
"Dec. 31, 2014",0.7094
"Sept. 30, 2014",2.086
"June 30, 2014",2.240
"March 31, 2014",2.334
"Dec. 31, 2013",2.113
"Sept. 30, 2013",1.303
"June 30, 2013",1.911
"March 31, 2013",2.748
"Dec. 31, 2012",1.748
