date,debt_equity_ratio
"Dec. 31, 2019",-2.952
"Sept. 30, 2019",-2.378
"June 30, 2019",-2.042
"March 31, 2019",-8.186
"Dec. 31, 2018",4.441
"Sept. 30, 2018",4.838
"June 30, 2018",3.089
"March 31, 2018",2.505
"Dec. 31, 2017",-7.459
"Sept. 30, 2017",-2.014
"June 30, 2017",-7.456
"March 31, 2017",-3.336
"Dec. 31, 2016",-2.921
"Sept. 30, 2016",-1.709
"June 30, 2016",-3.323
"March 31, 2016",-1.014
"Dec. 31, 2015",-1.032
"Sept. 30, 2015",-1.054
"June 30, 2015",-1.280
"March 31, 2015",-1.059
"Dec. 31, 2014",-1.224
"Sept. 30, 2014",-2.584
"June 30, 2014",-4.443
"March 31, 2014",-10.01
"Dec. 31, 2013",-5.659
"Sept. 30, 2013",-2.930
"June 30, 2013",-5.030
"March 31, 2013",-6.922
"Dec. 31, 2012",-4.016
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",-1.553
