date,dividend_yield
"March 19, 2020",78.63%
"March 18, 2020",90.64%
"March 17, 2020",73.46%
"March 16, 2020",76.56%
"March 13, 2020",65.45%
"March 12, 2020",69.70%
"March 11, 2020",58.43%
"March 10, 2020",54.71%
"March 9, 2020",52.06%
"March 6, 2020",43.29%
"March 5, 2020",40.65%
"March 4, 2020",40.77%
"March 3, 2020",41.93%
"March 2, 2020",37.75%
"Feb. 28, 2020",43.90%
"Feb. 27, 2020",46.04%
"Feb. 26, 2020",45.34%
"Feb. 25, 2020",42.85%
"Feb. 24, 2020",41.48%
"Feb. 21, 2020",41.41%
"Feb. 20, 2020",38.06%
"Feb. 19, 2020",37.01%
"Feb. 18, 2020",36.30%
"Feb. 14, 2020",35.28%
"Feb. 13, 2020",34.95%
"Feb. 12, 2020",33.41%
"Feb. 11, 2020",33.71%
"Feb. 10, 2020",32.54%
"Feb. 7, 2020",25.00%
"Feb. 6, 2020",23.59%
"Feb. 5, 2020",23.59%
"Feb. 4, 2020",24.51%
"Feb. 3, 2020",24.05%
"Jan. 31, 2020",26.96%
"Jan. 30, 2020",24.36%
"Jan. 29, 2020",23.74%
"Jan. 28, 2020",24.05%
"Jan. 27, 2020",23.59%
"Jan. 24, 2020",23.45%
"Jan. 23, 2020",23.16%
"Jan. 22, 2020",23.74%
"Jan. 21, 2020",24.20%
"Jan. 17, 2020",23.45%
"Jan. 16, 2020",23.74%
"Jan. 15, 2020",23.74%
"Jan. 14, 2020",23.59%
"Jan. 13, 2020",23.30%
"Jan. 10, 2020",23.74%
"Jan. 9, 2020",23.45%
"Jan. 8, 2020",23.45%
"Jan. 7, 2020",22.47%
"Jan. 6, 2020",22.74%
"Jan. 3, 2020",20.52%
"Jan. 2, 2020",20.97%
"Dec. 31, 2019",22.47%
"Dec. 30, 2019",24.51%
"Dec. 27, 2019",24.51%
"Dec. 26, 2019",23.45%
"Dec. 24, 2019",22.88%
"Dec. 23, 2019",22.88%
"Dec. 20, 2019",23.30%
"Dec. 19, 2019",23.16%
"Dec. 18, 2019",22.61%
"Dec. 17, 2019",21.57%
"Dec. 16, 2019",21.21%
"Dec. 13, 2019",21.09%
"Dec. 12, 2019",20.19%
"Dec. 11, 2019",18.88%
"Dec. 10, 2019",18.42%
"Dec. 9, 2019",17.72%
"Dec. 6, 2019",17.98%
"Dec. 5, 2019",18.24%
"Dec. 4, 2019",17.98%
"Dec. 3, 2019",19.36%
"Dec. 2, 2019",16.63%
"Nov. 29, 2019",13.88%
