date,market_cap
"March 19, 2020",72.78M
"March 18, 2020",63.14M
"March 17, 2020",77.90M
"March 16, 2020",74.75M
"March 13, 2020",87.44M
"March 12, 2020",82.10M
"March 11, 2020",97.94M
"March 10, 2020",104.60M
"March 9, 2020",109.92M
"March 6, 2020",132.19M
"March 5, 2020",140.77M
"March 4, 2020",140.38M
"March 3, 2020",136.49M
"March 2, 2020",151.59M
"Feb. 28, 2020",130.37M
"Feb. 27, 2020",124.31M
"Feb. 26, 2020",126.23M
"Feb. 25, 2020",133.55M
"Feb. 24, 2020",137.95M
"Feb. 21, 2020",138.19M
"Feb. 20, 2020",150.38M
"Feb. 19, 2020",154.63M
"Feb. 18, 2020",157.66M
"Feb. 14, 2020",162.21M
"Feb. 13, 2020",163.72M
"Feb. 12, 2020",171.30M
"Feb. 11, 2020",169.78M
"Feb. 10, 2020",175.85M
"Feb. 7, 2020",228.91M
"Feb. 6, 2020",242.45M
"Feb. 5, 2020",242.45M
"Feb. 4, 2020",233.36M
"Feb. 3, 2020",237.90M
"Jan. 31, 2020",212.14M
"Jan. 30, 2020",234.87M
"Jan. 29, 2020",240.93M
"Jan. 28, 2020",237.90M
"Jan. 27, 2020",242.45M
"Jan. 24, 2020",243.96M
"Jan. 23, 2020",247.00M
"Jan. 22, 2020",240.93M
"Jan. 21, 2020",236.39M
"Jan. 17, 2020",243.96M
"Jan. 16, 2020",240.93M
"Jan. 15, 2020",240.93M
"Jan. 14, 2020",242.45M
"Jan. 13, 2020",245.48M
"Jan. 10, 2020",240.93M
"Jan. 9, 2020",243.96M
"Jan. 8, 2020",243.96M
"Jan. 7, 2020",254.57M
"Jan. 6, 2020",251.54M
"Jan. 3, 2020",278.82M
"Jan. 2, 2020",272.76M
"Dec. 31, 2019",254.57M
"Dec. 30, 2019",233.16M
"Dec. 27, 2019",233.16M
"Dec. 26, 2019",243.76M
"Dec. 24, 2019",249.81M
"Dec. 23, 2019",249.81M
"Dec. 20, 2019",245.27M
"Dec. 19, 2019",246.79M
"Dec. 18, 2019",252.84M
"Dec. 17, 2019",264.95M
"Dec. 16, 2019",269.50M
"Dec. 13, 2019",271.01M
"Dec. 12, 2019",283.12M
"Dec. 11, 2019",302.81M
"Dec. 10, 2019",310.38M
"Dec. 9, 2019",322.49M
"Dec. 6, 2019",317.95M
"Dec. 5, 2019",313.40M
"Dec. 4, 2019",317.95M
"Dec. 3, 2019",295.24M
"Dec. 2, 2019",343.68M
"Nov. 29, 2019",411.82M
"Nov. 27, 2019",411.82M
"Nov. 26, 2019",410.30M
"Nov. 25, 2019",405.76M
"Nov. 22, 2019",389.10M
"Nov. 21, 2019",372.45M
"Nov. 20, 2019",363.37M
"Nov. 19, 2019",352.77M
"Nov. 18, 2019",355.80M
"Nov. 15, 2019",363.37M
"Nov. 14, 2019",372.45M
"Nov. 13, 2019",361.85M
"Nov. 12, 2019",351.25M
"Nov. 11, 2019",361.85M
"Nov. 8, 2019",345.20M
"Nov. 7, 2019",343.68M
"Nov. 6, 2019",293.72M
"Nov. 5, 2019",307.35M
"Nov. 4, 2019",311.89M
"Nov. 1, 2019",349.74M
"Oct. 31, 2019",348.23M
"Oct. 30, 2019",369.42M
"Oct. 29, 2019",372.45M
"Oct. 28, 2019",369.42M
"Oct. 25, 2019",370.94M
"Oct. 24, 2019",369.42M
"Oct. 23, 2019",358.82M
"Oct. 22, 2019",364.88M
"Oct. 21, 2019",363.37M
"Oct. 18, 2019",358.82M
"Oct. 17, 2019",352.77M
"Oct. 16, 2019",346.71M
"Oct. 15, 2019",348.23M
"Oct. 14, 2019",364.88M
"Oct. 11, 2019",336.11M
"Oct. 10, 2019",327.03M
"Oct. 9, 2019",304.32M
"Oct. 8, 2019",317.95M
"Oct. 7, 2019",349.74M
"Oct. 4, 2019",349.74M
"Oct. 3, 2019",346.71M
"Oct. 2, 2019",336.11M
"Oct. 1, 2019",327.03M
"Sept. 30, 2019",358.82M
