date,revenues_growth
"Dec. 31, 2019",-10.16%
"Sept. 30, 2019",-5.45%
"June 30, 2019",-8.01%
"March 31, 2019",47.49%
"Dec. 31, 2018",-22.58%
"Sept. 30, 2018",-9.48%
"June 30, 2018",-13.61%
"March 31, 2018",11.98%
"Dec. 31, 2017",4.20%
"Sept. 30, 2017",-10.72%
"June 30, 2017",-9.61%
"March 31, 2017",-8.74%
"Dec. 31, 2016",-8.96%
"Sept. 30, 2016",-8.39%
"June 30, 2016",-8.12%
"March 31, 2016",-19.78%
"Dec. 31, 2015",-9.21%
"Sept. 30, 2015",-1.47%
"June 30, 2015",0.82%
"March 31, 2015",-4.90%
"Dec. 31, 2014",4.05%
"Sept. 30, 2014",5.09%
"June 30, 2014",5.76%
"March 31, 2014",14.52%
"Dec. 31, 2013",7.73%
"Sept. 30, 2013",12.08%
"June 30, 2013",9.33%
"March 31, 2013",30.27%
"Dec. 31, 2012",2.96%
