date,revenues_per_share
"Dec. 31, 2019",2.575
"Sept. 30, 2019",3.001
"June 30, 2019",2.724
"March 31, 2019",6.178
"Dec. 31, 2018",3.082
"Sept. 30, 2018",3.215
"June 30, 2018",2.777
"March 31, 2018",3.417
"Dec. 31, 2017",3.804
"Sept. 30, 2017",2.026
"June 30, 2017",3.330
"March 31, 2017",4.123
"Dec. 31, 2016",3.553
"Sept. 30, 2016",3.992
"June 30, 2016",3.662
"March 31, 2016",4.126
"Dec. 31, 2015",3.977
"Sept. 30, 2015",4.377
"June 30, 2015",3.993
"March 31, 2015",5.166
"Dec. 31, 2014",4.404
"Sept. 30, 2014",4.478
"June 30, 2014",4.016
"March 31, 2014",6.129
"Dec. 31, 2013",4.576
"Sept. 30, 2013",4.598
"June 30, 2013",4.089
"March 31, 2013",5.190
"Dec. 31, 2012",4.424
"Sept. 30, 2012",4.202
"June 30, 2012",3.822
"March 31, 2012",4.943
"Dec. 31, 2011",4.278
