date,cash_investing_ttm
"Dec. 31, 2019",-1.241B
"Sept. 30, 2019",-1.205B
"June 30, 2019",-1.254B
"March 31, 2019",-1.246B
"Dec. 31, 2018",-1.075B
"Sept. 30, 2018",-1.165B
"June 30, 2018",-1.037B
"March 31, 2018",-1.067B
"Dec. 31, 2017",-1.147B
"Sept. 30, 2017",-1.089B
"June 30, 2017",-1.097B
"March 31, 2017",-1.004B
"Dec. 31, 2016",-985.00M
"Sept. 30, 2016",-9.874B
"June 30, 2016",-9.843B
"March 31, 2016",-9.789B
"Dec. 31, 2015",-9.734B
"Sept. 30, 2015",-1.07B
"June 30, 2015",-1.515B
"March 31, 2015",-1.689B
"Dec. 31, 2014",-1.723B
"Sept. 30, 2014",-1.401B
"June 30, 2014",-1.208B
"March 31, 2014",-1.099B
"Dec. 31, 2013",-1.121B
"Sept. 30, 2013",-1.434B
"June 30, 2013",-1.218B
"March 31, 2013",-1.176B
"Dec. 31, 2012",-1.177B
"Sept. 30, 2012",-1.526B
"June 30, 2012",-1.254B
"March 31, 2012",-839.00M
"Dec. 31, 2011",-788.00M
"Sept. 30, 2011",505.00M
"June 30, 2011",399.00M
"March 31, 2011",-663.00M
"Dec. 31, 2010",-573.00M
"Sept. 30, 2010",-1.42B
"June 30, 2010",-2.136B
"March 31, 2010",-1.548B
"Dec. 31, 2009",-1.832B
"Sept. 30, 2009",-1.723B
"June 30, 2009",-1.322B
"March 31, 2009",-1.27B
"Dec. 31, 2008",-907.00M
"Sept. 30, 2008",-892.00M
"June 30, 2008",-967.00M
"March 31, 2008",-1.119B
"Dec. 31, 2007",-1.205B
"Sept. 30, 2007",-1.197B
"June 30, 2007",-1.446B
"March 31, 2007",-1.553B
"Dec. 31, 2006",-1.655B
"Sept. 30, 2006",-1.732B
"June 30, 2006",-1.198B
"March 31, 2006",-868.00M
"Dec. 31, 2005",-499.00M
"Sept. 30, 2005",-509.00M
"June 30, 2005",-553.00M
"March 31, 2005",-603.00M
"Dec. 31, 2004",-708.00M
"Sept. 30, 2004",-846.00M
"June 30, 2004",-806.00M
"March 31, 2004",-1.082B
"Dec. 31, 2003",-1.461B
"Sept. 30, 2003",-1.009B
"June 30, 2003",-941.00M
"March 31, 2003",-703.00M
"Dec. 31, 2002",-539.00M
"Sept. 30, 2002",-630.00M
"June 30, 2002",179.00M
"March 31, 2002",202.00M
"Dec. 31, 2001",139.00M
"Sept. 30, 2001",1.807B
"June 30, 2001",1.709B
"March 31, 2001",1.745B
"Dec. 31, 2000",1.762B
"Sept. 30, 2000",306.00M
"June 30, 2000",-1.775B
"March 31, 2000",-1.803B
"Dec. 31, 1999",-1.638B
"Sept. 30, 1999",-1.67B
"June 30, 1999",-327.00M
"March 31, 1999",-358.00M
"Dec. 31, 1998",-455.00M
"Sept. 30, 1998",-474.00M
"June 30, 1998",-540.00M
"March 31, 1998",-104.00M
"Dec. 31, 1997",185.00M
"Sept. 30, 1997",164.00M
"June 30, 1997",170.00M
"March 31, 1997",-7.63B
"Dec. 31, 1996",-8.029B
"Sept. 30, 1996",-7.978B
"June 30, 1996",-7.975B
"March 31, 1996",-587.00M
"Dec. 31, 1995",-699.00M
"Sept. 30, 1995",-847.00M
"June 30, 1995",-767.00M
"March 31, 1995",-843.00M
"Dec. 31, 1994",-502.00M
