date,cash_operations_ttm
"Dec. 31, 2019",7.311B
"Sept. 30, 2019",8.038B
"June 30, 2019",5.909B
"March 31, 2019",4.169B
"Dec. 31, 2018",3.138B
"Sept. 30, 2018",2.433B
"June 30, 2018",3.826B
"March 31, 2018",5.442B
"Dec. 31, 2017",6.476B
"Sept. 30, 2017",5.693B
"June 30, 2017",5.259B
"March 31, 2017",5.188B
"Dec. 31, 2016",5.189B
"Sept. 30, 2016",5.824B
"June 30, 2016",6.021B
"March 31, 2016",5.811B
"Dec. 31, 2015",5.101B
"Sept. 30, 2015",3.536B
"June 30, 2015",3.009B
"March 31, 2015",2.723B
"Dec. 31, 2014",3.866B
"Sept. 30, 2014",5.005B
"June 30, 2014",4.915B
"March 31, 2014",4.561B
"Dec. 31, 2013",4.546B
"Sept. 30, 2013",2.293B
"June 30, 2013",2.966B
"March 31, 2013",3.188B
"Dec. 31, 2012",1.561B
"Sept. 30, 2012",3.965B
"June 30, 2012",2.943B
"March 31, 2012",2.992B
"Dec. 31, 2011",4.253B
"Sept. 30, 2011",3.578B
"June 30, 2011",3.54B
"March 31, 2011",3.871B
"Dec. 31, 2010",3.801B
"Sept. 30, 2010",3.096B
"June 30, 2010",4.007B
"March 31, 2010",3.918B
"Dec. 31, 2009",3.487B
"Sept. 30, 2009",4.775B
"June 30, 2009",4.407B
"March 31, 2009",4.759B
"Dec. 31, 2008",4.421B
"Sept. 30, 2008",3.841B
"June 30, 2008",3.72B
"March 31, 2008",3.636B
"Dec. 31, 2007",4.238B
"Sept. 30, 2007",4.136B
"June 30, 2007",3.853B
"March 31, 2007",4.062B
"Dec. 31, 2006",3.765B
"Sept. 30, 2006",3.506B
"June 30, 2006",3.747B
"March 31, 2006",2.831B
"Dec. 31, 2005",3.194B
"Sept. 30, 2005",3.227B
"June 30, 2005",3.373B
"March 31, 2005",3.41B
"Dec. 31, 2004",2.924B
"Sept. 30, 2004",2.97B
"June 30, 2004",2.216B
"March 31, 2004",2.327B
"Dec. 31, 2003",1.809B
"Sept. 30, 2003",1.234B
"June 30, 2003",2.129B
"March 31, 2003",2.404B
"Dec. 31, 2002",2.288B
"Sept. 30, 2002",2.359B
"June 30, 2002",2.176B
"March 31, 2002",1.204B
"Dec. 31, 2001",1.825B
"Sept. 30, 2001",2.465B
"June 30, 2001",1.615B
"March 31, 2001",2.583B
"Dec. 31, 2000",2.016B
"Sept. 30, 2000",2.439B
"June 30, 2000",2.851B
"March 31, 2000",1.712B
"Dec. 31, 1999",1.077B
"Sept. 30, 1999",1.707B
"June 30, 1999",1.935B
"March 31, 1999",2.101B
"Dec. 31, 1998",2.031B
"Sept. 30, 1998",1.684B
"June 30, 1998",1.165B
"March 31, 1998",918.00M
"Dec. 31, 1997",1.208B
"Sept. 30, 1997",547.00M
"June 30, 1997",1.192B
"March 31, 1997",1.842B
"Dec. 31, 1996",1.636B
"Sept. 30, 1996",1.993B
"June 30, 1996",1.44B
"March 31, 1996",967.00M
"Dec. 31, 1995",1.292B
"Sept. 30, 1995",835.00M
"June 30, 1995",1.268B
"March 31, 1995",1.379B
"Dec. 31, 1994",1.493B
