date,days_payables_outstanding
"Dec. 31, 2019",13.74
"Sept. 30, 2019",19.38
"June 30, 2019",20.43
"March 31, 2019",20.17
"Dec. 31, 2018",18.72
"Sept. 30, 2018",19.73
"June 30, 2018",21.59
"March 31, 2018",18.53
"Dec. 31, 2017",19.28
"Sept. 30, 2017",23.24
"June 30, 2017",22.33
"March 31, 2017",19.53
"Dec. 31, 2016",17.20
"Sept. 30, 2016",25.94
"June 30, 2016",24.43
"March 31, 2016",21.20
"Dec. 31, 2015",15.19
"Sept. 30, 2015",21.09
"June 30, 2015",17.69
"March 31, 2015",17.52
"Dec. 31, 2014",26.70
"Sept. 30, 2014",17.89
"June 30, 2014",18.41
"March 31, 2014",16.47
"Dec. 31, 2013",14.47
"Sept. 30, 2013",17.79
"June 30, 2013",18.67
"March 31, 2013",19.07
"Dec. 31, 2012",17.29
"Sept. 30, 2012",18.53
"June 30, 2012",19.87
"March 31, 2012",20.85
"Dec. 31, 2011",17.87
"Sept. 30, 2011",19.41
"June 30, 2011",19.80
"March 31, 2011",18.77
"Dec. 31, 2010",15.52
"Sept. 30, 2010",20.50
"June 30, 2010",20.36
"March 31, 2010",20.05
"Dec. 31, 2009",17.72
"Sept. 30, 2009",20.09
"June 30, 2009",19.76
"March 31, 2009",20.39
"Dec. 31, 2008",21.18
"Sept. 30, 2008",19.18
"June 30, 2008",18.06
"March 31, 2008",21.06
"Dec. 31, 2007",18.74
"Sept. 30, 2007",18.79
"June 30, 2007",20.13
"March 31, 2007",24.38
"Dec. 31, 2006",20.09
"Sept. 30, 2006",19.70
"June 30, 2006",19.51
"March 31, 2006",21.32
"Dec. 31, 2005",17.97
"Sept. 30, 2005",20.38
"June 30, 2005",19.87
"March 31, 2005",20.56
"Dec. 31, 2004",15.58
"Sept. 30, 2004",18.28
"June 30, 2004",17.70
"March 31, 2004",17.92
"Dec. 31, 2003",14.47
"Sept. 30, 2003",14.71
"June 30, 2003",14.11
"March 31, 2003",15.59
"Dec. 31, 2002",13.80
"Sept. 30, 2002",20.04
"June 30, 2002",18.36
"March 31, 2002",21.34
"Dec. 31, 2001",15.76
"Sept. 30, 2001",15.31
"June 30, 2001",17.96
"March 31, 2001",24.22
"Dec. 31, 2000",14.77
"Sept. 30, 2000",16.55
"June 30, 2000",16.11
"March 31, 2000",19.77
"Dec. 31, 1999",18.87
"Sept. 30, 1999",20.46
"June 30, 1999",16.78
"March 31, 1999",20.43
"Dec. 31, 1998",15.01
"Sept. 30, 1998",15.98
"June 30, 1998",14.47
"March 31, 1998",17.39
"Dec. 31, 1997",16.74
"Sept. 30, 1997",17.64
"June 30, 1997",18.26
"March 31, 1997",18.49
"Dec. 31, 1996",16.16
"Sept. 30, 1996",15.35
"June 30, 1996",11.82
"March 31, 1996",15.16
"Dec. 31, 1995",15.99
"Sept. 30, 1995",18.38
"June 30, 1995",17.72
"March 31, 1995",21.03
