date,ebitda_margin_ttm
"Dec. 31, 2019",15.19%
"Sept. 30, 2019",14.96%
"June 30, 2019",14.83%
"March 31, 2019",14.64%
"Dec. 31, 2018",14.26%
"Sept. 30, 2018",14.61%
"June 30, 2018",14.61%
"March 31, 2018",14.71%
"Dec. 31, 2017",14.20%
"Sept. 30, 2017",13.33%
"June 30, 2017",13.80%
"March 31, 2017",13.82%
"Dec. 31, 2016",14.02%
"Sept. 30, 2016",14.29%
"June 30, 2016",13.74%
"March 31, 2016",13.77%
"Dec. 31, 2015",14.19%
"Sept. 30, 2015",14.88%
"June 30, 2015",15.02%
"March 31, 2015",15.08%
"Dec. 31, 2014",15.05%
"Sept. 30, 2014",13.67%
"June 30, 2014",13.26%
"March 31, 2014",12.94%
"Dec. 31, 2013",12.11%
"Sept. 30, 2013",12.42%
"June 30, 2013",12.07%
"March 31, 2013",11.74%
"Dec. 31, 2012",11.54%
"Sept. 30, 2012",11.51%
"June 30, 2012",11.23%
"March 31, 2012",10.90%
"Dec. 31, 2011",10.74%
"Sept. 30, 2011",11.15%
"June 30, 2011",10.99%
"March 31, 2011",11.16%
"Dec. 31, 2010",11.31%
"Sept. 30, 2010",11.55%
"June 30, 2010",12.17%
"March 31, 2010",12.30%
"Dec. 31, 2009",12.50%
"Sept. 30, 2009",12.67%
"June 30, 2009",12.98%
"March 31, 2009",13.63%
"Dec. 31, 2008",14.03%
"Sept. 30, 2008",13.96%
"June 30, 2008",13.69%
"March 31, 2008",13.39%
"Dec. 31, 2007",13.23%
"Sept. 30, 2007",12.84%
"June 30, 2007",12.54%
"March 31, 2007",12.04%
"Dec. 31, 2006",11.91%
"Sept. 30, 2006",11.40%
"June 30, 2006",10.98%
"March 31, 2006",10.38%
"Dec. 31, 2005",9.40%
"Sept. 30, 2005",8.54%
"June 30, 2005",8.18%
"March 31, 2005",7.91%
"Dec. 31, 2004",7.73%
"Sept. 30, 2004",8.03%
"June 30, 2004",8.12%
"March 31, 2004",7.99%
"Dec. 31, 2003",8.26%
"Sept. 30, 2003",5.54%
"June 30, 2003",5.82%
"March 31, 2003",6.34%
"Dec. 31, 2002",6.46%
"Sept. 30, 2002",6.68%
"June 30, 2002",6.36%
"March 31, 2002",6.58%
"Dec. 31, 2001",6.80%
"Sept. 30, 2001",8.62%
"June 30, 2001",9.06%
"March 31, 2001",9.01%
"Dec. 31, 2000",8.76%
"Sept. 30, 2000",10.96%
"June 30, 2000",11.15%
"March 31, 2000",9.93%
"Dec. 31, 1999",10.82%
"Sept. 30, 1999",10.77%
"June 30, 1999",11.53%
"March 31, 1999",13.51%
"Dec. 31, 1998",13.70%
"Sept. 30, 1998",13.74%
"June 30, 1998",13.81%
"March 31, 1998",13.56%
"Dec. 31, 1997",13.65%
"Sept. 30, 1997",14.40%
"June 30, 1997",14.25%
"March 31, 1997",14.55%
"Dec. 31, 1996",14.39%
"Sept. 30, 1996",13.71%
"June 30, 1996",13.36%
"March 31, 1996",10.73%
"Dec. 31, 1995",9.68%
"Sept. 30, 1995",9.56%
"June 30, 1995",9.08%
"March 31, 1995",11.39%
"Dec. 31, 1994",12.64%
