date,forward_ps_ratio_1y
"March 19, 2020",1.320
"March 18, 2020",1.400
"March 17, 2020",1.339
"March 16, 2020",1.209
"March 13, 2020",1.380
"March 12, 2020",1.308
"March 11, 2020",1.499
"March 10, 2020",1.542
"March 9, 2020",1.478
"March 6, 2020",1.606
"March 5, 2020",1.616
"March 4, 2020",1.688
"March 3, 2020",1.585
"March 2, 2020",1.602
"Feb. 28, 2020",1.554
"Feb. 27, 2020",1.615
"Feb. 26, 2020",1.684
"Feb. 25, 2020",1.682
"Feb. 24, 2020",1.761
"Feb. 21, 2020",1.797
"Feb. 20, 2020",1.790
"Feb. 19, 2020",1.825
"Feb. 18, 2020",1.830
"Feb. 14, 2020",1.839
"Feb. 13, 2020",1.826
"Feb. 12, 2020",1.834
"Feb. 11, 2020",1.848
"Feb. 10, 2020",1.848
"Feb. 7, 2020",1.845
"Feb. 6, 2020",1.844
"Feb. 5, 2020",1.828
"Feb. 4, 2020",1.810
"Feb. 3, 2020",1.781
"Jan. 31, 2020",1.799
"Jan. 30, 2020",1.825
"Jan. 29, 2020",1.816
"Jan. 28, 2020",1.830
"Jan. 27, 2020",1.810
"Jan. 24, 2020",1.811
"Jan. 23, 2020",1.795
"Jan. 22, 2020",1.777
"Jan. 21, 2020",1.784
"Jan. 17, 2020",1.782
"Jan. 16, 2020",1.782
"Jan. 15, 2020",1.762
"Jan. 14, 2020",1.742
"Jan. 13, 2020",1.754
"Jan. 10, 2020",1.733
"Jan. 9, 2020",1.737
"Jan. 8, 2020",1.721
"Jan. 7, 2020",1.736
"Jan. 6, 2020",1.730
"Jan. 3, 2020",1.732
"Jan. 2, 2020",1.672
"Dec. 31, 2019",1.630
"Dec. 30, 2019",1.739
"Dec. 27, 2019",1.747
"Dec. 26, 2019",1.741
"Dec. 24, 2019",1.732
"Dec. 23, 2019",1.739
"Dec. 20, 2019",1.715
"Dec. 19, 2019",1.700
"Dec. 18, 2019",1.689
"Dec. 17, 2019",1.717
"Dec. 16, 2019",1.713
"Dec. 13, 2019",1.715
"Dec. 12, 2019",1.704
"Dec. 11, 2019",1.714
"Dec. 10, 2019",1.706
"Dec. 9, 2019",1.701
"Dec. 6, 2019",1.717
"Dec. 5, 2019",1.713
"Dec. 4, 2019",1.707
"Dec. 3, 2019",1.694
"Dec. 2, 2019",1.702
"Nov. 29, 2019",1.735
"Nov. 27, 2019",1.750
"Nov. 26, 2019",1.742
"Nov. 25, 2019",1.731
"Nov. 22, 2019",1.734
"Nov. 21, 2019",1.732
"Nov. 20, 2019",1.743
"Nov. 19, 2019",1.734
"Nov. 18, 2019",1.743
"Nov. 15, 2019",1.746
"Nov. 14, 2019",1.731
"Nov. 13, 2019",1.720
"Nov. 12, 2019",1.714
"Nov. 11, 2019",1.692
"Nov. 8, 2019",1.695
"Nov. 7, 2019",1.681
"Nov. 6, 2019",1.685
"Nov. 5, 2019",1.658
"Nov. 4, 2019",1.662
"Nov. 1, 2019",1.683
"Oct. 31, 2019",1.672
"Oct. 30, 2019",1.680
"Oct. 29, 2019",1.647
"Oct. 28, 2019",1.650
"Oct. 25, 2019",1.645
"Oct. 24, 2019",1.663
"Oct. 23, 2019",1.656
"Oct. 22, 2019",1.658
"Oct. 21, 2019",1.660
"Oct. 18, 2019",1.653
"Oct. 17, 2019",1.667
"Oct. 16, 2019",1.692
"Oct. 15, 2019",1.692
"Oct. 14, 2019",1.692
"Oct. 11, 2019",1.686
"Oct. 10, 2019",1.710
"Oct. 9, 2019",1.700
"Oct. 8, 2019",1.689
"Oct. 7, 2019",1.697
"Oct. 4, 2019",1.702
"Oct. 3, 2019",1.680
"Oct. 2, 2019",1.672
"Oct. 1, 2019",1.698
"Sept. 30, 2019",1.724
"Sept. 27, 2019",1.723
"Sept. 26, 2019",1.746
