date,pe_ratio
"March 19, 2020",14.32
"March 18, 2020",15.20
"March 17, 2020",14.53
"March 16, 2020",13.12
"March 13, 2020",14.98
"March 12, 2020",14.19
"March 11, 2020",16.27
"March 10, 2020",16.74
"March 9, 2020",16.05
"March 6, 2020",17.43
"March 5, 2020",17.53
"March 4, 2020",18.32
"March 3, 2020",17.20
"March 2, 2020",17.38
"Feb. 28, 2020",16.86
"Feb. 27, 2020",17.53
"Feb. 26, 2020",18.27
"Feb. 25, 2020",18.25
"Feb. 24, 2020",19.11
"Feb. 21, 2020",19.50
"Feb. 20, 2020",19.42
"Feb. 19, 2020",19.80
"Feb. 18, 2020",19.85
"Feb. 14, 2020",19.96
"Feb. 13, 2020",19.81
"Feb. 12, 2020",19.90
"Feb. 11, 2020",20.05
"Feb. 10, 2020",20.04
"Feb. 7, 2020",20.02
"Feb. 6, 2020",20.01
"Feb. 5, 2020",19.84
"Feb. 4, 2020",19.63
"Feb. 3, 2020",19.32
"Jan. 31, 2020",19.51
"Jan. 30, 2020",19.87
"Jan. 29, 2020",19.77
"Jan. 28, 2020",19.93
"Jan. 27, 2020",19.71
"Jan. 24, 2020",19.71
"Jan. 23, 2020",19.54
"Jan. 22, 2020",19.34
"Jan. 21, 2020",19.42
"Jan. 17, 2020",19.40
"Jan. 16, 2020",19.40
"Jan. 15, 2020",19.19
"Jan. 14, 2020",18.97
"Jan. 13, 2020",19.10
"Jan. 10, 2020",18.86
"Jan. 9, 2020",18.91
"Jan. 8, 2020",18.73
"Jan. 7, 2020",18.89
"Jan. 6, 2020",18.83
"Jan. 3, 2020",18.86
"Jan. 2, 2020",18.20
"Dec. 31, 2019",17.75
"Dec. 30, 2019",18.63
"Dec. 27, 2019",18.71
"Dec. 26, 2019",18.65
"Dec. 24, 2019",18.54
"Dec. 23, 2019",18.63
"Dec. 20, 2019",18.37
"Dec. 19, 2019",18.21
"Dec. 18, 2019",18.09
"Dec. 17, 2019",18.39
"Dec. 16, 2019",18.34
"Dec. 13, 2019",18.37
"Dec. 12, 2019",18.25
"Dec. 11, 2019",18.36
"Dec. 10, 2019",18.27
"Dec. 9, 2019",18.22
"Dec. 6, 2019",18.39
"Dec. 5, 2019",18.34
"Dec. 4, 2019",18.28
"Dec. 3, 2019",18.14
"Dec. 2, 2019",18.23
"Nov. 29, 2019",18.59
"Nov. 27, 2019",18.74
"Nov. 26, 2019",18.65
"Nov. 25, 2019",18.54
"Nov. 22, 2019",18.57
"Nov. 21, 2019",18.55
"Nov. 20, 2019",18.66
"Nov. 19, 2019",18.57
"Nov. 18, 2019",18.67
"Nov. 15, 2019",18.70
"Nov. 14, 2019",18.54
"Nov. 13, 2019",18.43
"Nov. 12, 2019",18.36
"Nov. 11, 2019",18.13
"Nov. 8, 2019",18.15
"Nov. 7, 2019",18.00
"Nov. 6, 2019",18.05
"Nov. 5, 2019",17.76
"Nov. 4, 2019",17.80
"Nov. 1, 2019",18.02
"Oct. 31, 2019",17.90
"Oct. 30, 2019",18.00
"Oct. 29, 2019",17.64
"Oct. 28, 2019",17.67
"Oct. 25, 2019",17.62
"Oct. 24, 2019",17.81
"Oct. 23, 2019",17.73
"Oct. 22, 2019",17.76
"Oct. 21, 2019",17.78
"Oct. 18, 2019",17.70
"Oct. 17, 2019",17.92
"Oct. 16, 2019",18.20
"Oct. 15, 2019",18.19
"Oct. 14, 2019",18.18
"Oct. 11, 2019",18.13
"Oct. 10, 2019",18.39
"Oct. 9, 2019",18.28
"Oct. 8, 2019",18.16
"Oct. 7, 2019",18.24
"Oct. 4, 2019",18.30
"Oct. 3, 2019",18.06
"Oct. 2, 2019",17.97
"Oct. 1, 2019",18.26
"Sept. 30, 2019",18.54
"Sept. 27, 2019",18.90
"Sept. 26, 2019",19.15
"Sept. 25, 2019",19.03
"Sept. 24, 2019",18.97
"Sept. 23, 2019",18.89
"Sept. 20, 2019",18.92
"Sept. 19, 2019",19.17
"Sept. 18, 2019",19.35
"Sept. 17, 2019",19.20
"Sept. 16, 2019",19.14
"Sept. 13, 2019",18.76
"Sept. 12, 2019",18.84
"Sept. 11, 2019",18.59
"Sept. 10, 2019",18.58
"Sept. 9, 2019",18.53
"Sept. 6, 2019",18.84
"Sept. 5, 2019",18.77
"Sept. 4, 2019",18.96
"Sept. 3, 2019",18.75
"Aug. 30, 2019",18.72
"Aug. 29, 2019",18.73
"Aug. 28, 2019",18.57
"Aug. 27, 2019",18.52
"Aug. 26, 2019",18.53
"Aug. 23, 2019",18.37
"Aug. 22, 2019",18.81
"Aug. 21, 2019",18.66
"Aug. 20, 2019",18.60
"Aug. 19, 2019",18.54
"Aug. 16, 2019",18.37
"Aug. 15, 2019",18.20
"Aug. 14, 2019",17.98
"Aug. 13, 2019",18.38
"Aug. 12, 2019",18.37
"Aug. 9, 2019",18.37
"Aug. 8, 2019",18.38
"Aug. 7, 2019",18.00
"Aug. 6, 2019",17.87
"Aug. 5, 2019",17.47
"Aug. 2, 2019",17.64
"Aug. 1, 2019",17.69
"July 31, 2019",17.65
"July 30, 2019",17.84
"July 29, 2019",18.01
"July 26, 2019",18.00
"July 25, 2019",18.05
"July 24, 2019",17.98
"July 23, 2019",17.44
"July 22, 2019",17.43
"July 19, 2019",17.40
"July 18, 2019",17.36
"July 17, 2019",17.47
"July 16, 2019",17.80
"July 15, 2019",17.92
"July 12, 2019",18.00
"July 11, 2019",17.94
"July 10, 2019",17.94
"July 9, 2019",18.02
"July 8, 2019",17.99
"July 5, 2019",18.03
"July 3, 2019",18.05
"July 2, 2019",17.91
"July 1, 2019",17.62
"June 30, 2019",17.72
"June 28, 2019",18.58
"June 27, 2019",18.35
"June 26, 2019",18.37
"June 25, 2019",18.42
"June 24, 2019",18.39
"June 21, 2019",18.36
"June 20, 2019",18.54
"June 19, 2019",18.18
"June 18, 2019",18.06
"June 17, 2019",17.82
"June 14, 2019",17.89
"June 13, 2019",17.84
"June 12, 2019",17.66
"June 11, 2019",17.58
"June 10, 2019",17.97
"June 7, 2019",18.15
"June 6, 2019",18.01
"June 5, 2019",18.02
"June 4, 2019",17.85
"June 3, 2019",17.61
"May 31, 2019",17.30
"May 30, 2019",17.47
"May 29, 2019",17.34
"May 28, 2019",17.27
"May 24, 2019",17.31
"May 23, 2019",17.38
"May 22, 2019",17.44
"May 21, 2019",17.58
"May 20, 2019",17.48
"May 17, 2019",17.27
"May 16, 2019",17.34
"May 15, 2019",17.07
"May 14, 2019",17.18
"May 13, 2019",17.14
"May 10, 2019",17.44
"May 9, 2019",17.34
"May 8, 2019",17.08
"May 7, 2019",16.91
"May 6, 2019",17.15
"May 3, 2019",17.07
"May 2, 2019",16.99
"May 1, 2019",16.96
"April 30, 2019",17.03
"April 29, 2019",16.79
"April 26, 2019",16.78
"April 25, 2019",16.80
"April 24, 2019",16.87
"April 23, 2019",17.02
"April 22, 2019",16.11
"April 18, 2019",16.06
"April 17, 2019",15.87
"April 16, 2019",15.84
"April 15, 2019",15.77
"April 12, 2019",15.83
"April 11, 2019",15.62
"April 10, 2019",15.28
