date,ps_ratio
"March 19, 2020",1.491
"March 18, 2020",1.582
"March 17, 2020",1.513
"March 16, 2020",1.366
"March 13, 2020",1.559
"March 12, 2020",1.478
"March 11, 2020",1.694
"March 10, 2020",1.742
"March 9, 2020",1.670
"March 6, 2020",1.815
"March 5, 2020",1.826
"March 4, 2020",1.908
"March 3, 2020",1.791
"March 2, 2020",1.810
"Feb. 28, 2020",1.755
"Feb. 27, 2020",1.825
"Feb. 26, 2020",1.902
"Feb. 25, 2020",1.900
"Feb. 24, 2020",1.990
"Feb. 21, 2020",2.03
"Feb. 20, 2020",2.021
"Feb. 19, 2020",2.062
"Feb. 18, 2020",2.067
"Feb. 14, 2020",2.078
"Feb. 13, 2020",2.063
"Feb. 12, 2020",2.072
"Feb. 11, 2020",2.087
"Feb. 10, 2020",2.087
"Feb. 7, 2020",2.084
"Feb. 6, 2020",2.083
"Feb. 5, 2020",2.065
"Feb. 4, 2020",2.044
"Feb. 3, 2020",2.011
"Jan. 31, 2020",2.032
"Jan. 30, 2020",2.068
"Jan. 29, 2020",2.059
"Jan. 28, 2020",2.074
"Jan. 27, 2020",2.052
"Jan. 24, 2020",2.052
"Jan. 23, 2020",2.035
"Jan. 22, 2020",2.014
"Jan. 21, 2020",2.022
"Jan. 17, 2020",2.020
"Jan. 16, 2020",2.020
"Jan. 15, 2020",1.998
"Jan. 14, 2020",1.975
"Jan. 13, 2020",1.988
"Jan. 10, 2020",1.964
"Jan. 9, 2020",1.969
"Jan. 8, 2020",1.950
"Jan. 7, 2020",1.967
"Jan. 6, 2020",1.960
"Jan. 3, 2020",1.963
"Jan. 2, 2020",1.895
"Dec. 31, 2019",1.848
"Dec. 30, 2019",1.910
"Dec. 27, 2019",1.919
"Dec. 26, 2019",1.912
"Dec. 24, 2019",1.902
"Dec. 23, 2019",1.910
"Dec. 20, 2019",1.884
"Dec. 19, 2019",1.868
"Dec. 18, 2019",1.855
"Dec. 17, 2019",1.886
"Dec. 16, 2019",1.882
"Dec. 13, 2019",1.884
"Dec. 12, 2019",1.872
"Dec. 11, 2019",1.883
"Dec. 10, 2019",1.874
"Dec. 9, 2019",1.869
"Dec. 6, 2019",1.886
"Dec. 5, 2019",1.881
"Dec. 4, 2019",1.875
"Dec. 3, 2019",1.860
"Dec. 2, 2019",1.870
"Nov. 29, 2019",1.906
"Nov. 27, 2019",1.922
"Nov. 26, 2019",1.913
"Nov. 25, 2019",1.901
"Nov. 22, 2019",1.905
"Nov. 21, 2019",1.902
"Nov. 20, 2019",1.914
"Nov. 19, 2019",1.905
"Nov. 18, 2019",1.915
"Nov. 15, 2019",1.918
"Nov. 14, 2019",1.902
"Nov. 13, 2019",1.890
"Nov. 12, 2019",1.883
"Nov. 11, 2019",1.859
"Nov. 8, 2019",1.862
"Nov. 7, 2019",1.846
"Nov. 6, 2019",1.851
"Nov. 5, 2019",1.821
"Nov. 4, 2019",1.826
"Nov. 1, 2019",1.848
"Oct. 31, 2019",1.836
"Oct. 30, 2019",1.846
"Oct. 29, 2019",1.809
"Oct. 28, 2019",1.813
"Oct. 25, 2019",1.807
"Oct. 24, 2019",1.827
"Oct. 23, 2019",1.819
"Oct. 22, 2019",1.822
"Oct. 21, 2019",1.823
"Oct. 18, 2019",1.816
"Oct. 17, 2019",1.838
"Oct. 16, 2019",1.866
"Oct. 15, 2019",1.866
"Oct. 14, 2019",1.865
"Oct. 11, 2019",1.860
"Oct. 10, 2019",1.886
"Oct. 9, 2019",1.875
"Oct. 8, 2019",1.863
"Oct. 7, 2019",1.871
"Oct. 4, 2019",1.877
"Oct. 3, 2019",1.853
"Oct. 2, 2019",1.844
"Oct. 1, 2019",1.873
"Sept. 30, 2019",1.902
"Sept. 27, 2019",1.924
"Sept. 26, 2019",1.949
"Sept. 25, 2019",1.936
"Sept. 24, 2019",1.93
"Sept. 23, 2019",1.923
"Sept. 20, 2019",1.926
"Sept. 19, 2019",1.951
"Sept. 18, 2019",1.969
"Sept. 17, 2019",1.954
"Sept. 16, 2019",1.947
"Sept. 13, 2019",1.909
"Sept. 12, 2019",1.917
"Sept. 11, 2019",1.892
"Sept. 10, 2019",1.891
"Sept. 9, 2019",1.886
"Sept. 6, 2019",1.917
"Sept. 5, 2019",1.910
"Sept. 4, 2019",1.930
"Sept. 3, 2019",1.908
"Aug. 30, 2019",1.905
"Aug. 29, 2019",1.906
"Aug. 28, 2019",1.889
"Aug. 27, 2019",1.884
"Aug. 26, 2019",1.886
"Aug. 23, 2019",1.869
"Aug. 22, 2019",1.914
"Aug. 21, 2019",1.899
"Aug. 20, 2019",1.893
"Aug. 19, 2019",1.887
"Aug. 16, 2019",1.870
"Aug. 15, 2019",1.852
"Aug. 14, 2019",1.830
"Aug. 13, 2019",1.871
"Aug. 12, 2019",1.870
"Aug. 9, 2019",1.870
"Aug. 8, 2019",1.870
"Aug. 7, 2019",1.832
"Aug. 6, 2019",1.819
"Aug. 5, 2019",1.778
"Aug. 2, 2019",1.795
"Aug. 1, 2019",1.801
"July 31, 2019",1.796
"July 30, 2019",1.815
"July 29, 2019",1.833
"July 26, 2019",1.832
"July 25, 2019",1.837
"July 24, 2019",1.830
"July 23, 2019",1.774
"July 22, 2019",1.774
"July 19, 2019",1.770
"July 18, 2019",1.767
"July 17, 2019",1.778
"July 16, 2019",1.812
"July 15, 2019",1.824
"July 12, 2019",1.832
"July 11, 2019",1.826
"July 10, 2019",1.826
"July 9, 2019",1.834
"July 8, 2019",1.831
"July 5, 2019",1.835
"July 3, 2019",1.837
"July 2, 2019",1.823
"July 1, 2019",1.793
"June 30, 2019",1.803
"June 28, 2019",1.841
"June 27, 2019",1.818
"June 26, 2019",1.820
"June 25, 2019",1.826
"June 24, 2019",1.823
"June 21, 2019",1.820
"June 20, 2019",1.837
"June 19, 2019",1.801
"June 18, 2019",1.790
"June 17, 2019",1.766
"June 14, 2019",1.773
"June 13, 2019",1.768
"June 12, 2019",1.750
"June 11, 2019",1.742
"June 10, 2019",1.780
"June 7, 2019",1.799
"June 6, 2019",1.785
"June 5, 2019",1.786
"June 4, 2019",1.769
"June 3, 2019",1.745
"May 31, 2019",1.714
"May 30, 2019",1.732
"May 29, 2019",1.718
"May 28, 2019",1.711
"May 24, 2019",1.716
"May 23, 2019",1.722
"May 22, 2019",1.728
"May 21, 2019",1.742
"May 20, 2019",1.732
"May 17, 2019",1.712
"May 16, 2019",1.719
"May 15, 2019",1.692
"May 14, 2019",1.702
"May 13, 2019",1.698
"May 10, 2019",1.729
"May 9, 2019",1.718
"May 8, 2019",1.692
"May 7, 2019",1.676
"May 6, 2019",1.700
"May 3, 2019",1.692
"May 2, 2019",1.684
"May 1, 2019",1.680
"April 30, 2019",1.688
"April 29, 2019",1.664
"April 26, 2019",1.663
"April 25, 2019",1.665
"April 24, 2019",1.672
"April 23, 2019",1.687
"April 22, 2019",1.596
"April 18, 2019",1.591
"April 17, 2019",1.572
"April 16, 2019",1.570
"April 15, 2019",1.563
"April 12, 2019",1.568
"April 11, 2019",1.548
"April 10, 2019",1.515
"April 9, 2019",1.533
"April 8, 2019",1.548
"April 5, 2019",1.532
"April 4, 2019",1.518
"April 3, 2019",1.505
"April 2, 2019",1.535
"April 1, 2019",1.541
"March 31, 2019",1.52
"March 29, 2019",1.601
"March 28, 2019",1.577
"March 27, 2019",1.568
"March 26, 2019",1.573
"March 25, 2019",1.569
"March 22, 2019",1.569
"March 21, 2019",1.595
"March 20, 2019",1.579
"March 19, 2019",1.582
"March 18, 2019",1.588
"March 15, 2019",1.58
"March 14, 2019",1.593
"March 13, 2019",1.619
"March 12, 2019",1.611
"March 11, 2019",1.624
"March 8, 2019",1.606
"March 7, 2019",1.617
"March 6, 2019",1.618
"March 5, 2019",1.631
"March 4, 2019",1.626
"March 1, 2019",1.651
"Feb. 28, 2019",1.651
"Feb. 27, 2019",1.641
"Feb. 26, 2019",1.632
"Feb. 25, 2019",1.632
"Feb. 22, 2019",1.639
"Feb. 21, 2019",1.625
"Feb. 20, 2019",1.639
"Feb. 19, 2019",1.628
"Feb. 15, 2019",1.639
"Feb. 14, 2019",1.606
"Feb. 13, 2019",1.624
"Feb. 12, 2019",1.622
"Feb. 11, 2019",1.601
"Feb. 8, 2019",1.608
"Feb. 7, 2019",1.601
"Feb. 6, 2019",1.600
"Feb. 5, 2019",1.598
"Feb. 4, 2019",1.594
"Feb. 1, 2019",1.550
"Jan. 31, 2019",1.546
"Jan. 30, 2019",1.556
"Jan. 29, 2019",1.558
"Jan. 28, 2019",1.536
"Jan. 25, 2019",1.531
"Jan. 24, 2019",1.522
"Jan. 23, 2019",1.513
"Jan. 22, 2019",1.492
"Jan. 18, 2019",1.509
"Jan. 17, 2019",1.487
"Jan. 16, 2019",1.453
"Jan. 15, 2019",1.472
"Jan. 14, 2019",1.480
"Jan. 11, 2019",1.482
"Jan. 10, 2019",1.480
"Jan. 9, 2019",1.443
"Jan. 8, 2019",1.440
"Jan. 7, 2019",1.430
"Jan. 4, 2019",1.414
"Jan. 3, 2019",1.377
"Jan. 2, 2019",1.412
"Dec. 31, 2018",1.397
"Dec. 28, 2018",1.412
"Dec. 27, 2018",1.404
"Dec. 26, 2018",1.360
"Dec. 24, 2018",1.326
"Dec. 21, 2018",1.387
"Dec. 20, 2018",1.434
"Dec. 19, 2018",1.481
"Dec. 18, 2018",1.511
"Dec. 17, 2018",1.509
"Dec. 14, 2018",1.555
"Dec. 13, 2018",1.580
"Dec. 12, 2018",1.581
"Dec. 11, 2018",1.579
"Dec. 10, 2018",1.613
"Dec. 7, 2018",1.543
"Dec. 6, 2018",1.548
"Dec. 4, 2018",1.550
"Dec. 3, 2018",1.604
"Nov. 30, 2018",1.624
"Nov. 29, 2018",1.635
"Nov. 28, 2018",1.621
"Nov. 27, 2018",1.596
"Nov. 26, 2018",1.596
"Nov. 23, 2018",1.597
"Nov. 21, 2018",1.591
"Nov. 20, 2018",1.588
"Nov. 19, 2018",1.592
"Nov. 16, 2018",1.628
"Nov. 15, 2018",1.651
"Nov. 14, 2018",1.64
"Nov. 13, 2018",1.653
"Nov. 12, 2018",1.649
"Nov. 9, 2018",1.693
"Nov. 8, 2018",1.668
"Nov. 7, 2018",1.675
"Nov. 6, 2018",1.657
"Nov. 5, 2018",1.639
"Nov. 2, 2018",1.618
"Nov. 1, 2018",1.618
"Oct. 31, 2018",1.588
"Oct. 30, 2018",1.573
"Oct. 29, 2018",1.550
"Oct. 26, 2018",1.649
"Oct. 25, 2018",1.656
"Oct. 24, 2018",1.682
"Oct. 23, 2018",1.737
"Oct. 22, 2018",1.766
"Oct. 19, 2018",1.774
"Oct. 18, 2018",1.773
"Oct. 17, 2018",1.802
"Oct. 16, 2018",1.822
"Oct. 15, 2018",1.790
"Oct. 12, 2018",1.771
"Oct. 11, 2018",1.764
"Oct. 10, 2018",1.820
"Oct. 9, 2018",1.877
"Oct. 8, 2018",1.892
"Oct. 5, 2018",1.877
"Oct. 4, 2018",1.889
"Oct. 3, 2018",1.878
"Oct. 2, 2018",1.887
"Oct. 1, 2018",1.881
"Sept. 30, 2018",1.870
"Sept. 28, 2018",1.948
"Sept. 27, 2018",1.948
"Sept. 26, 2018",1.930
