date,receivables_turnover
"Dec. 31, 2019",1.280
"Sept. 30, 2019",1.153
"June 30, 2019",1.099
"March 31, 2019",1.136
"Dec. 31, 2018",1.196
"Sept. 30, 2018",1.196
"June 30, 2018",1.138
"March 31, 2018",1.056
"Dec. 31, 2017",1.436
"Sept. 30, 2017",1.388
"June 30, 2017",1.425
"March 31, 2017",1.314
"Dec. 31, 2016",1.608
"Sept. 30, 2016",1.267
"June 30, 2016",1.294
"March 31, 2016",1.306
"Dec. 31, 2015",1.646
"Sept. 30, 2015",1.458
"June 30, 2015",1.711
"March 31, 2015",1.628
"Dec. 31, 2014",1.15
"Sept. 30, 2014",1.776
"June 30, 2014",1.782
"March 31, 2014",1.762
"Dec. 31, 2013",1.809
"Sept. 30, 2013",1.651
"June 30, 2013",1.654
"March 31, 2013",1.636
"Dec. 31, 2012",1.863
"Sept. 30, 2012",1.826
"June 30, 2012",1.794
"March 31, 2012",1.767
"Dec. 31, 2011",1.940
"Sept. 30, 2011",1.854
"June 30, 2011",1.758
"March 31, 2011",1.731
"Dec. 31, 2010",2.133
"Sept. 30, 2010",1.792
"June 30, 2010",1.736
"March 31, 2010",1.632
"Dec. 31, 2009",1.991
"Sept. 30, 2009",1.765
"June 30, 2009",1.811
"March 31, 2009",1.821
"Dec. 31, 2008",1.829
"Sept. 30, 2008",1.994
"June 30, 2008",2.077
"March 31, 2008",1.931
"Dec. 31, 2007",2.198
"Sept. 30, 2007",2.181
"June 30, 2007",2.101
"March 31, 2007",1.953
"Dec. 31, 2006",2.292
"Sept. 30, 2006",2.081
"June 30, 2006",2.166
"March 31, 2006",1.958
"Dec. 31, 2005",2.268
"Sept. 30, 2005",2.109
"June 30, 2005",2.180
"March 31, 2005",2.037
"Dec. 31, 2004",2.510
"Sept. 30, 2004",2.244
"June 30, 2004",2.281
"March 31, 2004",2.072
"Dec. 31, 2003",2.365
"Sept. 30, 2003",2.322
"June 30, 2003",2.140
"March 31, 2003",1.894
"Dec. 31, 2002",2.107
"Sept. 30, 2002",1.796
"June 30, 2002",1.678
"March 31, 2002",1.493
"Dec. 31, 2001",1.872
"Sept. 30, 2001",1.636
"June 30, 2001",1.538
"March 31, 2001",1.199
"Dec. 31, 2000",1.663
"Sept. 30, 2000",1.422
"June 30, 2000",1.459
"March 31, 2000",1.282
"Dec. 31, 1999",1.592
"Sept. 30, 1999",1.354
"June 30, 1999",1.329
"March 31, 1999",1.399
"Dec. 31, 1998",1.543
"Sept. 30, 1998",1.226
"June 30, 1998",1.219
"March 31, 1998",1.188
"Dec. 31, 1997",1.556
"Sept. 30, 1997",1.257
"June 30, 1997",1.295
"March 31, 1997",1.303
"Dec. 31, 1996",1.499
"Sept. 30, 1996",1.320
"June 30, 1996",1.481
"March 31, 1996",1.276
"Dec. 31, 1995",1.573
"Sept. 30, 1995",1.500
"June 30, 1995",1.576
"March 31, 1995",1.612
