date,return_on_assets
"Dec. 31, 2019",13.13%
"Sept. 30, 2019",12.72%
"June 30, 2019",12.66%
"March 31, 2019",12.17%
"Dec. 31, 2018",11.03%
"Sept. 30, 2018",6.55%
"June 30, 2018",5.38%
"March 31, 2018",4.86%
"Dec. 31, 2017",4.07%
"Sept. 30, 2017",7.34%
"June 30, 2017",10.22%
"March 31, 2017",10.29%
"Dec. 31, 2016",10.50%
"Sept. 30, 2016",11.01%
"June 30, 2016",8.10%
"March 31, 2016",8.29%
"Dec. 31, 2015",8.77%
"Sept. 30, 2015",9.25%
"June 30, 2015",9.43%
"March 31, 2015",9.47%
"Dec. 31, 2014",9.80%
"Sept. 30, 2014",8.59%
"June 30, 2014",8.46%
"March 31, 2014",8.27%
"Dec. 31, 2013",7.75%
"Sept. 30, 2013",7.83%
"June 30, 2013",7.48%
"March 31, 2013",7.30%
"Dec. 31, 2012",7.13%
"Sept. 30, 2012",7.52%
"June 30, 2012",7.59%
"March 31, 2012",7.56%
"Dec. 31, 2011",7.31%
"Sept. 30, 2011",8.18%
"June 30, 2011",7.79%
"March 31, 2011",7.99%
"Dec. 31, 2010",8.07%
"Sept. 30, 2010",7.53%
"June 30, 2010",8.22%
"March 31, 2010",8.05%
"Dec. 31, 2009",8.56%
"Sept. 30, 2009",9.00%
"June 30, 2009",9.30%
"March 31, 2009",10.11%
"Dec. 31, 2008",10.70%
"Sept. 30, 2008",10.88%
"June 30, 2008",10.80%
"March 31, 2008",10.49%
"Dec. 31, 2007",10.41%
"Sept. 30, 2007",10.16%
"June 30, 2007",9.78%
"March 31, 2007",9.19%
"Dec. 31, 2006",8.91%
"Sept. 30, 2006",8.39%
"June 30, 2006",7.77%
"March 31, 2006",7.43%
"Dec. 31, 2005",6.76%
"Sept. 30, 2005",6.09%
"June 30, 2005",5.69%
"March 31, 2005",5.09%
"Dec. 31, 2004",4.82%
"Sept. 30, 2004",4.73%
"June 30, 2004",4.45%
"March 31, 2004",4.28%
"Dec. 31, 2003",4.12%
"Sept. 30, 2003",1.39%
"June 30, 2003",1.62%
"March 31, 2003",1.94%
"Dec. 31, 2002",1.79%
"Sept. 30, 2002",-2.33%
"June 30, 2002",-2.60%
"March 31, 2002",-3.24%
"Dec. 31, 2001",-3.56%
"Sept. 30, 2001",1.82%
"June 30, 2001",-1.20%
"March 31, 2001",-1.53%
"Dec. 31, 2000",-1.70%
"Sept. 30, 2000",-1.04%
"June 30, 2000",2.05%
"March 31, 2000",1.79%
"Dec. 31, 1999",1.31%
"Sept. 30, 1999",0.74%
"June 30, 1999",1.09%
"March 31, 1999",2.21%
"Dec. 31, 1998",3.43%
"Sept. 30, 1998",4.25%
"June 30, 1998",4.31%
"March 31, 1998",4.38%
"Dec. 31, 1997",4.44%
"Sept. 30, 1997",4.70%
"June 30, 1997",4.61%
"March 31, 1997",4.98%
"Dec. 31, 1996",5.37%
"Sept. 30, 1996",5.22%
"June 30, 1996",5.72%
"March 31, 1996",4.55%
"Dec. 31, 1995",3.78%
"Sept. 30, 1995",3.53%
"June 30, 1995",3.36%
