date,springate_score
"Dec. 31, 2019",1.462
"Sept. 30, 2019",1.438
"June 30, 2019",1.410
"March 31, 2019",1.376
"Dec. 31, 2018",1.282
"Sept. 30, 2018",1.277
"June 30, 2018",1.244
"March 31, 2018",1.241
"Dec. 31, 2017",1.220
"Sept. 30, 2017",1.140
"June 30, 2017",1.108
"March 31, 2017",1.078
"Dec. 31, 2016",1.058
"Sept. 30, 2016",1.043
"June 30, 2016",0.9698
"March 31, 2016",1.034
"Dec. 31, 2015",1.113
"Sept. 30, 2015",1.114
"June 30, 2015",1.180
"March 31, 2015",1.214
"Dec. 31, 2014",1.187
"Sept. 30, 2014",1.241
"June 30, 2014",1.228
"March 31, 2014",1.205
"Dec. 31, 2013",1.159
"Sept. 30, 2013",1.160
"June 30, 2013",1.161
"March 31, 2013",1.161
"Dec. 31, 2012",1.150
"Sept. 30, 2012",1.200
"June 30, 2012",1.194
"March 31, 2012",1.162
"Dec. 31, 2011",1.140
"Sept. 30, 2011",1.189
"June 30, 2011",1.146
"March 31, 2011",1.166
"Dec. 31, 2010",1.169
"Sept. 30, 2010",1.192
"June 30, 2010",1.220
"March 31, 2010",1.232
"Dec. 31, 2009",1.249
"Sept. 30, 2009",1.216
"June 30, 2009",1.262
"March 31, 2009",1.339
"Dec. 31, 2008",1.395
"Sept. 30, 2008",1.462
"June 30, 2008",1.455
"March 31, 2008",1.473
"Dec. 31, 2007",1.427
"Sept. 30, 2007",1.404
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",
"Dec. 31, 2000",0.6561
"Sept. 30, 2000",0.7338
"June 30, 2000",0.7216
"March 31, 2000",0.6965
"Dec. 31, 1999",0.7399
"Sept. 30, 1999",0.6926
"June 30, 1999",0.7632
"March 31, 1999",0.8244
"Dec. 31, 1998",0.8463
"Sept. 30, 1998",0.9266
"June 30, 1998",0.9452
"March 31, 1998",0.9585
"Dec. 31, 1997",0.9692
"Sept. 30, 1997",1.002
"June 30, 1997",0.9998
"March 31, 1997",1.085
"Dec. 31, 1996",1.141
"Sept. 30, 1996",1.154
"June 30, 1996",1.159
"March 31, 1996",1.145
"Dec. 31, 1995",1.112
"Sept. 30, 1995",1.040
"June 30, 1995",1.016
