date,times_interest_earned
"Dec. 31, 2019",12.09
"Sept. 30, 2019",11.33
"June 30, 2019",10.80
"March 31, 2019",10.39
"Dec. 31, 2018",9.740
"Sept. 30, 2018",9.833
"June 30, 2018",9.611
"March 31, 2018",9.558
"Dec. 31, 2017",9.058
"Sept. 30, 2017",8.403
"June 30, 2017",8.603
"March 31, 2017",8.343
"Dec. 31, 2016",8.170
"Sept. 30, 2016",8.276
"June 30, 2016",8.422
"March 31, 2016",9.559
"Dec. 31, 2015",11.56
"Sept. 30, 2015",12.28
"June 30, 2015",13.56
"March 31, 2015",14.24
"Dec. 31, 2014",14.76
"Sept. 30, 2014",15.00
"June 30, 2014",14.51
"March 31, 2014",14.02
"Dec. 31, 2013",12.87
"Sept. 30, 2013",13.20
"June 30, 2013",12.43
"March 31, 2013",11.94
"Dec. 31, 2012",11.63
"Sept. 30, 2012",11.60
"June 30, 2012",11.56
"March 31, 2012",11.37
"Dec. 31, 2011",11.26
"Sept. 30, 2011",11.79
"June 30, 2011",11.56
"March 31, 2011",11.77
"Dec. 31, 2010",11.94
"Sept. 30, 2010",12.20
"June 30, 2010",13.23
"March 31, 2010",13.81
"Dec. 31, 2009",14.59
"Sept. 30, 2009",15.28
"June 30, 2009",15.08
"March 31, 2009",15.08
"Dec. 31, 2008",14.93
"Sept. 30, 2008",14.43
"June 30, 2008",14.59
"March 31, 2008",19.25
"Dec. 31, 2007",28.43
"Sept. 30, 2007",58.04
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",
"Dec. 31, 2000",5.568
"Sept. 30, 2000",7.582
"June 30, 2000",7.934
"March 31, 2000",6.626
"Dec. 31, 1999",9.344
"Sept. 30, 1999",9.406
"June 30, 1999",10.49
"March 31, 1999",6.203
"Dec. 31, 1998",5.975
"Sept. 30, 1998",4.067
"June 30, 1998",3.134
"March 31, 1998",3.219
"Dec. 31, 1997",3.300
"Sept. 30, 1997",3.515
"June 30, 1997",3.448
"March 31, 1997",3.504
"Dec. 31, 1996",3.904
"Sept. 30, 1996",4.486
"June 30, 1996",5.742
"March 31, 1996",5.596
"Dec. 31, 1995",4.781
"Sept. 30, 1995",4.512
"June 30, 1995",4.150
"March 31, 1995",5.771
"Dec. 31, 1994",6.510
